sequence,viewer,renderer,webgl,model,view,sha256,proof_bytes,transfer_size_bytes,bounds_xyz_mm,model_url,screenshot,screenshot_sha256,status
1,three,Three.js r185,WebGL2,standard,front,4106f6617dd292abc33992edf33e6e6f5534e2448e17e449e3fb15753d8f0c62,9896600,9896900,"[482.6,45.15,581.5799999999999]",http://127.0.0.1:8927/models/Cisco-N9K-C93180YC-FX-standard.glb?gate=final-01-1787556943940,qa/webgl-loads/three/standard/01-front.png,88c0ee7885aeb93e7f8874e6294cd586b04652f18d5e84d5a7dae0b6ea05ebd4,PASS
2,three,Three.js r185,WebGL2,standard,rear,4106f6617dd292abc33992edf33e6e6f5534e2448e17e449e3fb15753d8f0c62,9896600,9896900,"[482.6,45.15,581.5799999999999]",http://127.0.0.1:8927/models/Cisco-N9K-C93180YC-FX-standard.glb?gate=final-02-1787556945198,qa/webgl-loads/three/standard/02-rear.png,2bc3547c3eefe14592c94b98d94bee7dc658bd68670b2b4635e05cbeb964225f,PASS
3,three,Three.js r185,WebGL2,standard,left,4106f6617dd292abc33992edf33e6e6f5534e2448e17e449e3fb15753d8f0c62,9896600,9896900,"[482.6,45.15,581.5799999999999]",http://127.0.0.1:8927/models/Cisco-N9K-C93180YC-FX-standard.glb?gate=final-03-1787556946472,qa/webgl-loads/three/standard/03-left.png,2547f4fd3dbed9911c998686e4eff42f29f5e579a09ed31f3e453aa3e6d342f9,PASS
4,three,Three.js r185,WebGL2,standard,right,4106f6617dd292abc33992edf33e6e6f5534e2448e17e449e3fb15753d8f0c62,9896600,9896900,"[482.6,45.15,581.5799999999999]",http://127.0.0.1:8927/models/Cisco-N9K-C93180YC-FX-standard.glb?gate=final-04-1787556947712,qa/webgl-loads/three/standard/04-right.png,6a8ec12c443e1731932c5e0827eb5e4871054ca54f4a904338ea3086f0f01df0,PASS
5,three,Three.js r185,WebGL2,standard,top,4106f6617dd292abc33992edf33e6e6f5534e2448e17e449e3fb15753d8f0c62,9896600,9896900,"[482.6,45.15,581.5799999999999]",http://127.0.0.1:8927/models/Cisco-N9K-C93180YC-FX-standard.glb?gate=final-05-1787556948948,qa/webgl-loads/three/standard/05-top.png,4715c438d47c339b3a299da8eb7e18db1ffd55b2253aaac2b7404c4e6a32c629,PASS
6,three,Three.js r185,WebGL2,standard,bottom,4106f6617dd292abc33992edf33e6e6f5534e2448e17e449e3fb15753d8f0c62,9896600,9896900,"[482.6,45.15,581.5799999999999]",http://127.0.0.1:8927/models/Cisco-N9K-C93180YC-FX-standard.glb?gate=final-06-1787556950337,qa/webgl-loads/three/standard/06-bottom.png,2c25f6d005c41be5db2db71b86abaaeef4921c2b457bfdfbbbebe4982975dedc,PASS
7,three,Three.js r185,WebGL2,standard,front-left,4106f6617dd292abc33992edf33e6e6f5534e2448e17e449e3fb15753d8f0c62,9896600,9896900,"[482.6,45.15,581.5799999999999]",http://127.0.0.1:8927/models/Cisco-N9K-C93180YC-FX-standard.glb?gate=final-07-1787556951830,qa/webgl-loads/three/standard/07-front-left.png,d4c35bd83b8ac4371dd9350fe4521c8a4166f2f69e1d0590d1de6f9e3a3ae6aa,PASS
8,three,Three.js r185,WebGL2,standard,front-right,4106f6617dd292abc33992edf33e6e6f5534e2448e17e449e3fb15753d8f0c62,9896600,9896900,"[482.6,45.15,581.5799999999999]",http://127.0.0.1:8927/models/Cisco-N9K-C93180YC-FX-standard.glb?gate=final-08-1787556953389,qa/webgl-loads/three/standard/08-front-right.png,c7decd8b990fbbd9ab4f8d408ace0fb7d55d16725e1b980da27bc827cd57c033,PASS
9,three,Three.js r185,WebGL2,standard,rear-left,4106f6617dd292abc33992edf33e6e6f5534e2448e17e449e3fb15753d8f0c62,9896600,9896900,"[482.6,45.15,581.5799999999999]",http://127.0.0.1:8927/models/Cisco-N9K-C93180YC-FX-standard.glb?gate=final-09-1787556954963,qa/webgl-loads/three/standard/09-rear-left.png,daf285eea4cd81def497c056599cd6485cd2bfb975fb5511252564d8c7765e4d,PASS
10,three,Three.js r185,WebGL2,standard,rear-right,4106f6617dd292abc33992edf33e6e6f5534e2448e17e449e3fb15753d8f0c62,9896600,9896900,"[482.6,45.15,581.5799999999999]",http://127.0.0.1:8927/models/Cisco-N9K-C93180YC-FX-standard.glb?gate=final-10-1787556956506,qa/webgl-loads/three/standard/10-rear-right.png,5c7e7e473e190015def5a82e42d598086b6d5e5d99bdf12d87fd66720ad632fc,PASS
