sequence,viewer,renderer,webgl,model,view,sha256,proof_bytes,model_last_modified_http,transfer_size_bytes,bounds_xyz_mm,model_url,screenshot,screenshot_sha256,status
1,three,Three.js r185,WebGL2,standard,front,0d6f8bbfd0993a33014b887ab6c4deabbb94b7a01c79abcecc9c57b04a3e740a,9883884,"Mon, 24 Aug 2026 08:14:51 GMT",9884184,"[482.6,45.15,581.5799999999999]",http://127.0.0.1:8927/models/Cisco-N9K-C93180YC-FX-standard.glb?gate=final-01-1787559453967,qa/webgl-loads/three/standard/01-front.png,89a79cd5fda75bf8b7690ad0546cb1f5c8f6c633b376191073c3aa95abe306e1,PASS
2,three,Three.js r185,WebGL2,standard,rear,0d6f8bbfd0993a33014b887ab6c4deabbb94b7a01c79abcecc9c57b04a3e740a,9883884,"Mon, 24 Aug 2026 08:14:51 GMT",9884184,"[482.6,45.15,581.5799999999999]",http://127.0.0.1:8927/models/Cisco-N9K-C93180YC-FX-standard.glb?gate=final-02-1787559455212,qa/webgl-loads/three/standard/02-rear.png,56146dc6e8127c086d77aff6299dcf2d3298e5d84a88eb9377e3a7f12f409ebb,PASS
3,three,Three.js r185,WebGL2,standard,left,0d6f8bbfd0993a33014b887ab6c4deabbb94b7a01c79abcecc9c57b04a3e740a,9883884,"Mon, 24 Aug 2026 08:14:51 GMT",9884184,"[482.6,45.15,581.5799999999999]",http://127.0.0.1:8927/models/Cisco-N9K-C93180YC-FX-standard.glb?gate=final-03-1787559456489,qa/webgl-loads/three/standard/03-left.png,236a127d99eba9cf1233b84c6cc1ebcb3b42ced3fe4bb37d246a3985403d1143,PASS
4,three,Three.js r185,WebGL2,standard,right,0d6f8bbfd0993a33014b887ab6c4deabbb94b7a01c79abcecc9c57b04a3e740a,9883884,"Mon, 24 Aug 2026 08:14:51 GMT",9884184,"[482.6,45.15,581.5799999999999]",http://127.0.0.1:8927/models/Cisco-N9K-C93180YC-FX-standard.glb?gate=final-04-1787559457701,qa/webgl-loads/three/standard/04-right.png,6b0793a0f237ee95513a9d3e962ee79c0e7b57fb90699cbedfbded7aa313d989,PASS
5,three,Three.js r185,WebGL2,standard,top,0d6f8bbfd0993a33014b887ab6c4deabbb94b7a01c79abcecc9c57b04a3e740a,9883884,"Mon, 24 Aug 2026 08:14:51 GMT",9884184,"[482.6,45.15,581.5799999999999]",http://127.0.0.1:8927/models/Cisco-N9K-C93180YC-FX-standard.glb?gate=final-05-1787559458916,qa/webgl-loads/three/standard/05-top.png,c3c84e4c9135a99e2732382b1974fbfee994c3bbe2174bcc3a83ee1b1e0c9501,PASS
6,three,Three.js r185,WebGL2,standard,bottom,0d6f8bbfd0993a33014b887ab6c4deabbb94b7a01c79abcecc9c57b04a3e740a,9883884,"Mon, 24 Aug 2026 08:14:51 GMT",9884184,"[482.6,45.15,581.5799999999999]",http://127.0.0.1:8927/models/Cisco-N9K-C93180YC-FX-standard.glb?gate=final-06-1787559460248,qa/webgl-loads/three/standard/06-bottom.png,7fb8c87d732fd1462fb366d825b6c101b8e21e4734353ad0cccf4a511463a037,PASS
7,three,Three.js r185,WebGL2,standard,front-left,0d6f8bbfd0993a33014b887ab6c4deabbb94b7a01c79abcecc9c57b04a3e740a,9883884,"Mon, 24 Aug 2026 08:14:51 GMT",9884184,"[482.6,45.15,581.5799999999999]",http://127.0.0.1:8927/models/Cisco-N9K-C93180YC-FX-standard.glb?gate=final-07-1787559461652,qa/webgl-loads/three/standard/07-front-left.png,dcddf3b8afedb2652038f5427a437b7f3d7bbe061c7e76b1c91acae11022b197,PASS
8,three,Three.js r185,WebGL2,standard,front-right,0d6f8bbfd0993a33014b887ab6c4deabbb94b7a01c79abcecc9c57b04a3e740a,9883884,"Mon, 24 Aug 2026 08:14:51 GMT",9884184,"[482.6,45.15,581.5799999999999]",http://127.0.0.1:8927/models/Cisco-N9K-C93180YC-FX-standard.glb?gate=final-08-1787559462946,qa/webgl-loads/three/standard/08-front-right.png,49a05be7f2179273c9806e5a3e12ddd7e69ee96d9c357414da5fde1580ec4527,PASS
9,three,Three.js r185,WebGL2,standard,rear-left,0d6f8bbfd0993a33014b887ab6c4deabbb94b7a01c79abcecc9c57b04a3e740a,9883884,"Mon, 24 Aug 2026 08:14:51 GMT",9884184,"[482.6,45.15,581.5799999999999]",http://127.0.0.1:8927/models/Cisco-N9K-C93180YC-FX-standard.glb?gate=final-09-1787559464166,qa/webgl-loads/three/standard/09-rear-left.png,52c0985725a3aeec5863f044a8f6c1ede629ff3d9043f02d766e257c6a865e46,PASS
10,three,Three.js r185,WebGL2,standard,rear-right,0d6f8bbfd0993a33014b887ab6c4deabbb94b7a01c79abcecc9c57b04a3e740a,9883884,"Mon, 24 Aug 2026 08:14:51 GMT",9884184,"[482.6,45.15,581.5799999999999]",http://127.0.0.1:8927/models/Cisco-N9K-C93180YC-FX-standard.glb?gate=final-10-1787559465433,qa/webgl-loads/three/standard/10-rear-right.png,8693877cca2ca7fefcf1287c514c1c0a4415d5f0a721371360d4a7a2e98ce185,PASS
