path,sha256,pixel_dimensions,classification,inspection_result,intended_role
source/originals/user-screenshot.png,00861cf47eb85ee4f20fc3dc3fc850820368df4e3db7b2721b3226dfca8c1921,1006x1134,USER_SCREENSHOT,"Inspected original; target row identified near bottom",request evidence
source/originals/user-screenshot-N9KC93180YC-row.png,dc4f35b16756256b9c9768a3ca2ed59bf0cc064a315ea53a39795a0fd7e01e32,1006x102,USER_SCREENSHOT_CROP,"Inspected original; front/rear about 204x34 pixels each; labels unreadable",configuration lock but insufficient identity
source/originals/user-screenshot-N9KC93180YC-views-upscaled.png,49e9d592ea3e5e5fed81599b35c30c6a97dfacdf2ed486db7a068e987a523f4a,1880x328,DERIVED_INSPECTION_CROP,"Inspected; interpolation adds no identity evidence",inspection only
qa/reference/screenshot-front-nearest-8x.png,da0a98b9f69ce2db569722285cd0ffe8811e50141379ebac12c301f145e265b5,1632x272,DERIVED_NEAREST_NEIGHBOR,"Inspected; 48+6 layout visible; model badge absent",inspection only
qa/reference/screenshot-front-label-nearest-20x.png,501b672c50f95a98218f215c250a37a801af98d952fb7194961a6b3d202455f1,840x360,DERIVED_NEAREST_NEIGHBOR,"Inspected; no recoverable PID text",inspection only
qa/reference/screenshot-rear-nearest-8x.png,8471e80a2dd7d31e1bb409c9855c9ecccf22662a396dfaefb2873ef28b7b4e64,1632x272,DERIVED_NEAREST_NEIGHBOR,"Inspected; 2 PSU and 4 fan pattern visible; I/O unreadable",inspection only
qa/reference/screenshot-rear-io-nearest-20x.png,28a2941210cab13f264cbf1b54076238786105b1c9729a5f3a2fec4847ae8939,720x680,DERIVED_NEAREST_NEIGHBOR,"Inspected; port grid likelihood cannot support exact PID",inspection only
source/originals/cisco-ex-port-side-500695.jpg,d48fdaf1b11a12bdc493ad46c0e2de79e3ed22867de1a8ab5f7e5e868ff5c012,718x168,OFFICIAL_TECHNICAL_DIAGRAM,"Inspected original; EX front/side features",candidate geometry
source/originals/cisco-ex-psu-side-500696.jpg,014d926b09e960af9e015a75d9542a9568e15144dc792fae177d52666ba83272,712x162,OFFICIAL_TECHNICAL_DIAGRAM,"Inspected original; EX rear/side features",candidate geometry
source/originals/cisco-fx-port-side-501191.jpg,f937af7121fe2276359b2632591881beb661ff46b738cbf12c59f24eabde229f,718x168,OFFICIAL_TECHNICAL_DIAGRAM,"Inspected original; FX front/side features",candidate geometry
source/originals/cisco-fx-psu-side-501192.jpg,0c91cd575f89f205419fb55a92cd17dd297ade94f0c7148dc9dca7451ef3772c,712x162,OFFICIAL_TECHNICAL_DIAGRAM,"Inspected original; FX rear/side features",candidate geometry
source/originals/cisco-fx3s-port-side-502822.jpg,335eaed0dbee426969fd17b6904336cc410d2042d993744192242fb11f5d5e97,715x164,OFFICIAL_TECHNICAL_DIAGRAM,"Inspected original; timing/GNSS front differentiators",candidate geometry
source/originals/cisco-fx3s-psu-side-502823.jpg,b462ba99b335b45ef7c5ddbdcafd50002f9d4e3a015aac7a7769dc794578c4b0,718x119,OFFICIAL_TECHNICAL_DIAGRAM,"Inspected original; ToD rear differentiator",candidate geometry
source/pdf-pages/cisco-ex-overview-physical-009.png,1221e59a38b9a3d3777920955138f5ef205375a11c6d94783b38a5a29a2054c5,1275x1650,PDF_PAGE_RENDER,"Inspected original; printed page 3 front/rear callouts",official candidate evidence
source/pdf-pages/cisco-ex-dimensions-physical-051.png,135102b56204562af8eabd51d33b33e7f50256546228f5b2338da61026b7c3db,1275x1650,PDF_PAGE_RENDER,"Inspected original; printed page 45 dimensions",official candidate evidence
source/pdf-pages/cisco-ex-modules-physical-052.png,4721b6827ba85836e84dc3cd9b063dc78a77a6dd6849564aad3a5fd8bb28077d,1275x1650,PDF_PAGE_RENDER,"Inspected original; printed page 46 fan/PSU PIDs",official candidate evidence
source/pdf-pages/cisco-fx-overview-physical-009.png,862669c217ba5ff5578ba0875743269c88bc08eb80c7bae8c5e6e9dea328f064,1275x1650,PDF_PAGE_RENDER,"Inspected original; printed page 3 FX front",official candidate evidence
source/pdf-pages/cisco-fx-overview-rear-physical-010.png,7db4e88cc70b607cdf597b0a5b47ffa7de253839c77a54dd98f85f9d5cf5b443,1275x1650,PDF_PAGE_RENDER,"Inspected original; printed page 4 FX rear and airflow colors",official candidate evidence
source/pdf-pages/cisco-fx-dimensions-physical-067.png,f5893ac023de40e7c4877a74355f6f40d202026cad663def5d3fe95ad80a6b95,1275x1650,PDF_PAGE_RENDER,"Inspected original; printed page 61 FX and FX3S dimensions",official candidate evidence
source/pdf-pages/cisco-fx-modules-physical-068.png,965b4d421c0d515efbfd25cdb023849f4e697ab51daf8df6ba4965e2f416d940,1275x1650,PDF_PAGE_RENDER,"Inspected original; printed page 62 fan/PSU PIDs",official candidate evidence
source/pdf-pages/cisco-fx3-overview-physical-009.png,669cb27e6057f0f450be074c24454d3c70721b182a7e723b78e2534b0f501947,1275x1650,PDF_PAGE_RENDER,"Inspected original; printed page 3 FX3 front",official candidate evidence
source/pdf-pages/cisco-fx3-overview-rear-physical-010.png,5541c2913a3cd363e5060abc71654266af10a80030cd53142cfb8def6f60f3cc,1275x1650,PDF_PAGE_RENDER,"Inspected original; printed page 4 FX3 rear",official candidate evidence
source/pdf-pages/cisco-fx3-dimensions-physical-055.png,266714250b6aeecc6d8f615e3c1c8ccf11f72289b8b90d700525b10f3618677c,1275x1650,PDF_PAGE_RENDER,"Inspected original; printed page 49 dimensions",official candidate evidence
source/pdf-pages/cisco-fx3-modules-physical-056.png,0f9437dc6d54be7dbd4b83acb63eb14bb3cce493cd50ff20cfac41029f7fac77,1275x1650,PDF_PAGE_RENDER,"Inspected original; printed page 50 fan/PSU PIDs",official candidate evidence
source/third-party/pios-ex-gallery-1.jpg,c68555ed55bd41f7f08d1c3e53aa562e6a6d61b52a6825c2bc021216194d3dcc,2000x2000,REAL_PHOTO,"Inspected original; EX badge and top/front visible",candidate EX binding source only
source/third-party/pios-ex-gallery-2.jpg,cfe14859b379a9c41c4fe9eb23b7786cf1efcc7470d40fa0b70ad5ff6351178d,2000x2000,REAL_PHOTO,"Inspected original; EX blue AC rear/top",candidate EX binding source only
source/third-party/pios-ex-gallery-3.jpg,8423f8633af5c949ed7c72a62c115091304ead589df346d35475425a8adda828,2000x2000,REAL_PHOTO,"Inspected original; EX front close-up",candidate EX binding source only
source/third-party/pios-ex-gallery-4.jpg,78cfcfcb913035137eb6502a3466f7b3d4bd33d47e4c93e1528af24d972dba0e,2000x2000,REAL_PHOTO,"Inspected original; EX rear-right close-up",candidate EX binding source only
source/third-party/pios-ex-gallery-5.jpg,11b40218a963a216e6465ae41a58ad6a091cfcc30a31edf09cf5254cc13cf49f,2000x2000,REAL_PHOTO_COMPOSITE,"Inspected original; exact EX front/rear pair on one canvas",candidate EX supporting source
source/third-party/ormsystems-fx.webp,995ef3d0714252b6626cf482a76d3b7d4e8e77c607d5c394c7f9ef877608aa3c,600x600,PRODUCT_RENDER,"Inspected original; generic three-quarter FX front",candidate FX supporting source
source/third-party/made-in-china-fx-rear.webp,7a28b0af73499544f7be26d7b168fd76b70841347c3e62f51f63093805957025,960x960,REAL_PHOTO,"Inspected original; FX 500W AC and L1/L2 rear",candidate FX binding source only
source/third-party/ebay-fx3.jpg,688f72bdd33171a562e03eb898302d1c760c42f3d52f4a27fda64b28a5063368,1200x744,REAL_PHOTO,"Inspected original; FX3 blue 650W AC rear/top and ToD cluster",candidate FX3 binding source only
source/third-party/made-in-china-fx3s.webp,7ac75bc9e791a6194bf6e270ba124c309aa9e426c3439d15d031be8bb7fd5ff4,497x498,MISMATCHED_STOCK_PHOTO,"Inspected original; visible RJ45 port layout contradicts claimed FX3S",rejected
source/third-party/zion-fx3-blue.png,a06d0402d5499b505aeb9d71c9230c864a7cba02946e9fee86d2bd1818119f89,1200x1200,RESELLER_COMPOSITE,"Inspected original; detached modules bags and watermark",rejected
qa/browser/cisco-ex-overview.png,5596056a7e482b29361a3522108a6179e8daca3069763469342254f1cffb2925,1280x720,BROWSER_SCREENSHOT,"Inspected original; rendered official EX guide identity and update date",dynamic-page evidence
qa/reference/pdf-candidates/ex-contact.png,e4ad16468bd212bee25a8a0ac6ad036e7e3126edb6ccaaae27a9a6257e0bf2dd,1610x824,PDF_CANDIDATE_CONTACT_SHEET,"Inspected original; ten low-resolution candidate pages scanned to select printed pages 3 45 46",page-selection staging only
qa/reference/pdf-candidates/fx-contact.png,93b823157164bb4bb6d28527d563c0db7642f89d098e950e66b7ee09a303603d,1610x824,PDF_CANDIDATE_CONTACT_SHEET,"Inspected original; ten low-resolution candidate pages scanned to select printed pages 3 4 61 62",page-selection staging only
qa/reference/pdf-candidates/fx3-contact.png,7abab38a2a5640d2c62aed3571416283a34f3a365f8b9b898c1edb2b77515887,1610x824,PDF_CANDIDATE_CONTACT_SHEET,"Inspected original; ten low-resolution candidate pages scanned to select printed pages 3 4 49 50",page-selection staging only
