source_id,local_path,url,accessed_at,claimed_model,variant,view_or_dimension,authority,source_class,visual_origin,primary_identity_style_reference,image_inspection_notes,proves,limitations
USER-001,source/originals/user-screenshot.png,local-user-attachment,2026-08-24,N9KC93180YC,unsuffixed,table screenshot,provided,user-screenshot,screen-captured-image,no,"Inspected at original 1006x1134; target is the Cisco row near the bottom",requested normalized label and front/rear thumbnail pairing,"No readable chassis PID, module PID, or airflow label"
USER-002,source/originals/user-screenshot-N9KC93180YC-row.png,local-user-attachment,2026-08-24,N9KC93180YC,unsuffixed,front and rear thumbnails,provided,user-screenshot,screen-captured-image,no,"Inspected at original 1006x102 and with nearest-neighbor crops; each device elevation is only about 204x34 source pixels",48+6 front port silhouette; 2 PSU and 4 fan common rear silhouette,"Too small for exact PID, rear I/O text, PSU wattage, or PI/PE color"
CISCO-EX-PDF,source/originals/cisco-n93180yc-ex-nxos-hig.pdf,https://www.cisco.com/c/en/us/td/docs/switches/datacenter/nexus9000/hw/n93180ycex_hig/guide/b_n93180ycex_nxos_mode_hardware_install_guide.pdf,2026-08-24,N9K-C93180YC-EX,48-port,overview dimensions and module options,official,hardware-installation-guide,official-document,no,"Text extracted; printed pages 3 45 46 rendered at 150 dpi and visually inspected",445x571x44 mm; 48 SFP28 plus 6 QSFP28; 4 fans; two 650W AC choices; EX rear I/O,"Candidate only because user suffix is absent"
CISCO-FX-PDF,source/originals/cisco-n93180yc-fx-nxos-hig.pdf,https://www.cisco.com/c/en/us/td/docs/switches/datacenter/nexus9000/hw/n93180ycfx_hig/guide/b_n93180ycFX_nxos_hardware_installation_guide.pdf,2026-08-24,N9K-C93180YC-FX,48-port,overview dimensions and module options,official,hardware-installation-guide,official-document,no,"Text extracted; printed pages 3 4 61 62 rendered at 150 dpi and visually inspected",439x571x44 mm; 48 SFP28 plus 6 QSFP28; 4 fans; two 500W AC choices; L1/L2 rear I/O,"Candidate only because user suffix is absent"
CISCO-FX3-PDF,source/originals/cisco-n93180yc-fx3-nxos-hig.pdf,https://www.cisco.com/c/en/us/td/docs/dcn/hw/nx-os/nexus9000/93180yc-fx3/cisco-nexus-93180yc-fx3-nx-os-mode-switch-hardware-installation-guide.pdf,2026-08-24,N9K-C93180YC-FX3,48-port,overview dimensions and module options,official,hardware-installation-guide,official-document,no,"Text extracted; printed pages 3 4 49 50 rendered at 150 dpi and visually inspected",439x496x44 mm; timing/GNSS front; ToD rear; 35CFM fan family; two 650W AC choices,"Layout appears less compatible with screenshot but unreadable source cannot prove exclusion"
CISCO-EX-FIG-F,source/originals/cisco-ex-port-side-500695.jpg,https://www.cisco.com/c/dam/en/us/td/i/500001-600000/500001-510000/500001-501000/500695.jpg,2026-08-24,N9K-C93180YC-EX,48-port,front three-quarter,official,manual-figure,technical-diagram,no,"Inspected at original 718x168",EX front layout and long 571 mm chassis silhouette,"Line art does not establish color/material"
CISCO-EX-FIG-R,source/originals/cisco-ex-psu-side-500696.jpg,https://www.cisco.com/c/dam/en/us/td/i/500001-600000/500001-510000/500001-501000/500696.jpg,2026-08-24,N9K-C93180YC-EX,AC shown,rear three-quarter,official,manual-figure,technical-diagram,no,"Inspected at original 712x162",EX PSU/fan/I-O order,"Line art does not identify screenshot airflow"
CISCO-FX-FIG-F,source/originals/cisco-fx-port-side-501191.jpg,https://www.cisco.com/c/dam/en/us/td/i/500001-600000/500001-510000/501001-502000/501191.jpg,2026-08-24,N9K-C93180YC-FX,48-port,front three-quarter,official,manual-figure,technical-diagram,no,"Inspected at original 718x168",FX front layout is nearly indistinguishable from EX at screenshot scale,"Line art does not establish color/material"
CISCO-FX-FIG-R,source/originals/cisco-fx-psu-side-501192.jpg,https://www.cisco.com/c/dam/en/us/td/i/500001-600000/500001-510000/501001-502000/501192.jpg,2026-08-24,N9K-C93180YC-FX,AC shown,rear three-quarter,official,manual-figure,technical-diagram,no,"Inspected at original 712x162",FX two PSU four fan and L1/L2 rear cluster,"Screenshot pixels are insufficient for a reliable port-label match"
CISCO-FX3S-FIG-F,source/originals/cisco-fx3s-port-side-502822.jpg,https://www.cisco.com/c/dam/en/us/td/i/500001-600000/500001-510000/502001-503000/502822.jpg,2026-08-24,N9K-C93180YC-FX3/FX3S,48-port,front orthographic,official,manual-figure,technical-diagram,no,"Inspected at original 715x164",timing/GNSS connectors distinguish FX3 generation,"User screenshot left panel is unreadable"
