sequence,started_utc,completed_utc,viewer,renderer,webgl,model,model_sha256,expected_file_bytes,view,run,model_url,load_duration_ms,resource_duration_ms,transfer_size_bytes,decoded_body_size_bytes,mesh_node_count,bounds_xyz_mm,screenshot,status
1,2026-08-24T07:36:58.869Z,2026-08-24T07:37:01.563Z,three,Three.js r180,WebGL2,standard,80dc0f2030145a0b2320c2d4fbc76a5144d1af62ceb0ad0be91974d6b3043c66,25463576,front,final-01-1787557018869,http://127.0.0.1:8936/models/Cisco-N9K-C9336C-FX2-standard.glb?gate=final-01-1787557018869,927,138,25463876,25463576,654,439.000000 x 44.000000 x 623.000000,qa/webgl-loads/three/standard/01-front.png,PASS
2,2026-08-24T07:37:01.563Z,2026-08-24T07:37:04.210Z,three,Three.js r180,WebGL2,standard,80dc0f2030145a0b2320c2d4fbc76a5144d1af62ceb0ad0be91974d6b3043c66,25463576,rear,final-02-1787557021563,http://127.0.0.1:8936/models/Cisco-N9K-C9336C-FX2-standard.glb?gate=final-02-1787557021563,886,163,25463876,25463576,654,439.000000 x 44.000000 x 623.000000,qa/webgl-loads/three/standard/02-rear.png,PASS
3,2026-08-24T07:37:04.210Z,2026-08-24T07:37:06.939Z,three,Three.js r180,WebGL2,standard,80dc0f2030145a0b2320c2d4fbc76a5144d1af62ceb0ad0be91974d6b3043c66,25463576,left,final-03-1787557024210,http://127.0.0.1:8936/models/Cisco-N9K-C9336C-FX2-standard.glb?gate=final-03-1787557024210,945,190,25463876,25463576,654,439.000000 x 44.000000 x 623.000000,qa/webgl-loads/three/standard/03-left.png,PASS
4,2026-08-24T07:37:06.939Z,2026-08-24T07:37:09.610Z,three,Three.js r180,WebGL2,standard,80dc0f2030145a0b2320c2d4fbc76a5144d1af62ceb0ad0be91974d6b3043c66,25463576,right,final-04-1787557026939,http://127.0.0.1:8936/models/Cisco-N9K-C9336C-FX2-standard.glb?gate=final-04-1787557026939,911,137,25463876,25463576,654,439.000000 x 44.000000 x 623.000000,qa/webgl-loads/three/standard/04-right.png,PASS
5,2026-08-24T07:37:09.610Z,2026-08-24T07:37:12.450Z,three,Three.js r180,WebGL2,standard,80dc0f2030145a0b2320c2d4fbc76a5144d1af62ceb0ad0be91974d6b3043c66,25463576,top,final-05-1787557029610,http://127.0.0.1:8936/models/Cisco-N9K-C9336C-FX2-standard.glb?gate=final-05-1787557029610,919,171,25463876,25463576,654,439.000000 x 44.000000 x 623.000000,qa/webgl-loads/three/standard/05-top.png,PASS
6,2026-08-24T07:37:12.450Z,2026-08-24T07:37:15.437Z,three,Three.js r180,WebGL2,standard,80dc0f2030145a0b2320c2d4fbc76a5144d1af62ceb0ad0be91974d6b3043c66,25463576,bottom,final-06-1787557032450,http://127.0.0.1:8936/models/Cisco-N9K-C9336C-FX2-standard.glb?gate=final-06-1787557032450,937,156,25463876,25463576,654,439.000000 x 44.000000 x 623.000000,qa/webgl-loads/three/standard/06-bottom.png,PASS
7,2026-08-24T07:37:15.437Z,2026-08-24T07:37:18.571Z,three,Three.js r180,WebGL2,standard,80dc0f2030145a0b2320c2d4fbc76a5144d1af62ceb0ad0be91974d6b3043c66,25463576,front-left,final-07-1787557035437,http://127.0.0.1:8936/models/Cisco-N9K-C9336C-FX2-standard.glb?gate=final-07-1787557035437,1133,134,25463876,25463576,654,439.000000 x 44.000000 x 623.000000,qa/webgl-loads/three/standard/07-front-left.png,PASS
8,2026-08-24T07:37:18.571Z,2026-08-24T07:37:21.424Z,three,Three.js r180,WebGL2,standard,80dc0f2030145a0b2320c2d4fbc76a5144d1af62ceb0ad0be91974d6b3043c66,25463576,front-right,final-08-1787557038571,http://127.0.0.1:8936/models/Cisco-N9K-C9336C-FX2-standard.glb?gate=final-08-1787557038571,985,151,25463876,25463576,654,439.000000 x 44.000000 x 623.000000,qa/webgl-loads/three/standard/08-front-right.png,PASS
9,2026-08-24T07:37:21.424Z,2026-08-24T07:37:24.309Z,three,Three.js r180,WebGL2,standard,80dc0f2030145a0b2320c2d4fbc76a5144d1af62ceb0ad0be91974d6b3043c66,25463576,rear-left,final-09-1787557041424,http://127.0.0.1:8936/models/Cisco-N9K-C9336C-FX2-standard.glb?gate=final-09-1787557041424,1052,134,25463876,25463576,654,439.000000 x 44.000000 x 623.000000,qa/webgl-loads/three/standard/09-rear-left.png,PASS
10,2026-08-24T07:37:24.310Z,2026-08-24T07:37:27.076Z,three,Three.js r180,WebGL2,standard,80dc0f2030145a0b2320c2d4fbc76a5144d1af62ceb0ad0be91974d6b3043c66,25463576,rear-right,final-10-1787557044309,http://127.0.0.1:8936/models/Cisco-N9K-C9336C-FX2-standard.glb?gate=final-10-1787557044309,898,125,25463876,25463576,654,439.000000 x 44.000000 x 623.000000,qa/webgl-loads/three/standard/10-rear-right.png,PASS
11,2026-08-24T07:37:27.076Z,2026-08-24T07:37:28.052Z,three,Three.js r180,WebGL2,web,18f0cb525689dfea1df6dd5ee4c18a1ffa34b0ff0d95df97f980b32beb5a4d1b,1282004,front,final-11-1787557047076,http://127.0.0.1:8936/models/Cisco-N9K-C9336C-FX2-web.glb?gate=final-11-1787557047076,325,10,1282304,1282004,654,439.000000 x 44.000000 x 623.000000,qa/webgl-loads/three/web/11-front.png,PASS
12,2026-08-24T07:37:28.052Z,2026-08-24T07:37:29.102Z,three,Three.js r180,WebGL2,web,18f0cb525689dfea1df6dd5ee4c18a1ffa34b0ff0d95df97f980b32beb5a4d1b,1282004,rear,final-12-1787557048052,http://127.0.0.1:8936/models/Cisco-N9K-C9336C-FX2-web.glb?gate=final-12-1787557048052,412,18,1282304,1282004,654,439.000000 x 44.000000 x 623.000000,qa/webgl-loads/three/web/12-rear.png,PASS
