id,url,accessed_at,claimed_model,variant,view_or_dimension,authority,source_class,visual_origin,primary_identity_style_reference,pdf_page_or_figure,proves,limitations,local_path,sha256
S01,https://www.cisco.com/c/en/us/td/docs/switches/datacenter/nexus9000/hw/n9336cfx2_hig/guide/b_n9336cFX2_nxos_hardware_installation_guide/b_n9336cFX2_nxos_hardware_installation_guide_chapter_01.html,2026-08-24,N9K-C9336C-FX2,"all supported FRUs",overview/front/rear,official,manual,technical-diagram,no,"Figures 1-2; manual pages 1-4","1RU; 36 ports; exact front/rear order; supported exact PSU/fan PIDs; side screw/grounding holes",line art does not establish color/material,source/originals/cisco-N9K-C9336C-FX2-hardware-installation-guide.pdf,082de2d988d805d8c5084c73cba8a73e21514bf31316a17289f41882b9c04134
S02,https://www.cisco.com/c/en/us/td/docs/switches/datacenter/nexus9000/hw/n9336cfx2_hig/guide/b_n9336cFX2_nxos_hardware_installation_guide/b_n9336cFX2_nxos_hardware_installation_guide_appendix_0111.html,2026-08-24,N9K-C9336C-FX2,"installed chassis",dimensions,official,manual,technical-diagram,no,manual page 49,"439 x 44 x 623 mm with handles; 1RU; module counts/weights",does not isolate body depth,source/pdf-pages/fx2-hig/page-55.png,2bce34af7732e7e5fead9f282c31be6427873f90a27017814a09c0522ba52f0e
S03,https://serverlama.com/cdn/shop/files/N9K-C9336C-FX2front.jpg?v=1747814953&width=1500,2026-08-24,N9K-C9336C-FX2,"front independent of rear FRUs",front,secondary,retailer,real-photograph,yes,,"straight front material/style; control panel; 18x2 cages; branding; no ears",page text has incorrect PSU spec but photographed front PID is readable and front is configuration-independent,source/third-party/serverlama-front.jpg,8ed3afe4195affd43834dbdfc1044da0b0c82aba23c73d074addb26914bd1e74
S04,https://content.etilize.com/Alternate-Image2/1045693780.jpg,2026-08-24,N9K-C9336C-FX2,"port-side intake rear",rear,authorized,retailer,real-photograph,yes,,"straight rear orientation; red PI hardware; PSU/fan/management order",page does not list individual FRU PIDs; cross-checked by S05/S06,source/third-party/pcnation-alternate2.jpg,bf103629f073b559bfecdcb59c6fa62e73040fbee95a66da5f6fdc5f8c0cc303
S05,https://res.cloudinary.com/dmwxtja1g/image/upload/v1/media/catalog/product/c/i/cisco_nexus_n9k-c9336c-fx2_36x_40100g_qsfp28_rear_zoom_1_1.jpg,2026-08-24,N9K-C9336C-FX2,"2x1100W intake; 3x NXA-FAN-65CFM-PI",rear-right-top oblique,authorized,retailer,real-photograph,no,,"readable fan PIDs; red PI latches; PSU/fan handle relief; top/rear/side material",oblique and white background; exact PSU label not visible,source/third-party/etb-intake-rear-pi2.jpg,9ae5f5d56aa37e2aebb37bf4aed4c239e3ac34804d3ffd2529fd1f6f1e360fb0
S06,https://dedicatednetworksinc.com/product/cisco-n9k-c9336c-fx2-managed-switch-36x-100gb-qsfp28-40gb-qsfp28-intake/,2026-08-24,N9K-C9336C-FX2,"2x NXA-PAC-1100W-PI2; 3x NXA-FAN-65CFM-PI",configuration BOM,secondary,retailer,real-photograph,no,,"exact requested BOM and intake direction",product photo is generic placeholder; used only for text configuration proof,,
S07,https://i.ebayimg.com/images/g/LekAAeSwkvJqKxp5/s-l1600.jpg,2026-08-24,N9K-C9336C-FX2,"bare chassis exterior",front-left-top oblique,secondary,marketplace,real-photograph,yes,,"physical left side not mirrored; top; exact front PID and layout",front perspective and seller listing image,source/third-party/ebay-lonestar-1.jpg,d23b8673b7eb4ca6d8d317701522a2f29a8014a2b798eb1ab54e656baadc6aff
S08,https://serverlama.com/cdn/shop/files/N9K-C9336C-FX2angledside.jpg?v=1747814953&width=1500,2026-08-24,N9K-C9336C-FX2,"bare chassis exterior",front-right-top oblique,secondary,retailer,real-photograph,yes,,"physical right side not mirrored; top; exact front PID and layout",page text has incorrect PSU spec; side/top are configuration-independent,source/third-party/serverlama-angled-side.jpg,ee3e830d806b26c5f1f7d9d7c0514618fc7216cec31347105940e6073ddbb9d1
S09,https://serverlama.com/cdn/shop/files/N9K-C9336C-FX2angledtop.jpg?v=1747814953&width=1500,2026-08-24,N9K-C9336C-FX2,"bare chassis exterior",top-front oblique,secondary,retailer,real-photograph,yes,,"top cover material; vent band; labels; seams and fasteners",not orthographic; reconstructed with S07/S08/official diagrams,source/third-party/serverlama-angled-top.jpg,694f59ae68eac3b7cc85c980820d625d480b848366531e50909f721ac21326d6
S10,https://i.ebayimg.com/images/g/V2wAAOSwI49eX9yj/s-l1200.jpg,2026-08-24,Cisco WS-C3650-48TD-L,"generic Cisco 1U bottom fallback only",underside,secondary,marketplace,real-photograph,no,,"generic same-vendor 1U sheet-metal underside material reference",wrong model; no mechanical detail may be copied,source/third-party/generic-bottom-cisco-catalyst3650.jpg,6078c4cb123138bf467c0619fb300724a7432ca69aa59961337f2b8f9957343e
