face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence
front,QSFP28 ports,36,2,18,"port pairs 1/2 through 35/36 across the face",dominant front feature,centered across front,18 recessed vertical two-port cages,dark metal cages in light-gray chassis,https://www.cisco.com/c/en/us/td/docs/switches/datacenter/nexus9000/hw/n9336cfx2_hig/guide/b_n9336cFX2_nxos_hardware_installation_guide/b_n9336cFX2_nxos_hardware_installation_guide_chapter_01.html,VERIFIED
front,chassis LED group,3,1,3,"BCN; STS; ENV",small,far left,recessed indicators,black label area with status lenses,https://www.cisco.com/c/en/us/td/docs/switches/datacenter/nexus9000/hw/n9336cfx2_hig/guide/b_n9336cFX2_nxos_hardware_installation_guide/b_n9336cFX2_nxos_hardware_installation_guide_chapter_01.html,VERIFIED
front,lane selector button,1,1,1,not applicable,small,far left below lane LEDs,shallow push button,black control area,https://www.cisco.com/c/en/us/td/docs/switches/datacenter/nexus9000/hw/n9336cfx2_hig/guide/b_n9336cFX2_nxos_hardware_installation_guide/b_n9336cFX2_nxos_hardware_installation_guide_chapter_01.html,VERIFIED
rear,AC power-supply modules,2,1,2,"PSU slot 1; then fans and management; PSU slot 2",large end modules,both rear ends,hot-swappable modules with IEC inlets,"dark grille; black IEC inlet; burgundy PI pull tab",/root/.codex/attachments/6a010f6b-ae9b-41fb-95ff-f3eb06548688/codex-clipboard-125b3551-b9d1-4a93-ac51-15efd4ea24e5.png,BLOCKED_EXACT_PID_750W_VS_1100W_PI2_VS_1100W_PI3
rear,fan modules,3,1,3,"fan slot 1; fan slot 2; fan slot 3",three equal modules,between PSU slot 1 and management cluster,deep hot-swappable trays,dark vented faces with PI airflow required,https://www.cisco.com/c/en/us/td/docs/switches/datacenter/nexus9000/hw/n9336cfx2_hig/guide/b_n9336cFX2_nxos_hardware_installation_guide/b_n9336cFX2_nxos_hardware_installation_guide_chapter_01.html,BLOCKED_EXACT_PID_NXA_FAN_VS_NXA_SFAN
rear,out-of-band management RJ-45,1,1,1,first in management cluster,small,immediately right of fan slot 3,recessed jack,metal-shielded RJ-45,https://www.cisco.com/c/en/us/td/docs/switches/datacenter/nexus9000/hw/n9336cfx2_hig/guide/b_n9336cFX2_nxos_hardware_installation_guide/b_n9336cFX2_nxos_hardware_installation_guide_chapter_01.html,VERIFIED
rear,RS-232 console port,1,1,1,second in management cluster,small,right of RJ-45 management,recessed connector,dark connector in light-gray panel,https://www.cisco.com/c/en/us/td/docs/switches/datacenter/nexus9000/hw/n9336cfx2_hig/guide/b_n9336cFX2_nxos_hardware_installation_guide/b_n9336cFX2_nxos_hardware_installation_guide_chapter_01.html,VERIFIED
rear,out-of-band management SFP,1,1,1,third in management cluster,small,right of console,recessed cage,dark SFP cage,https://www.cisco.com/c/en/us/td/docs/switches/datacenter/nexus9000/hw/n9336cfx2_hig/guide/b_n9336cFX2_nxos_hardware_installation_guide/b_n9336cFX2_nxos_hardware_installation_guide_chapter_01.html,VERIFIED
rear,USB port,1,1,1,fourth in management cluster,small,right of SFP,recessed connector,blue USB insert in screenshot,https://www.cisco.com/c/en/us/td/docs/switches/datacenter/nexus9000/hw/n9336cfx2_hig/guide/b_n9336cFX2_nxos_hardware_installation_guide/b_n9336cFX2_nxos_hardware_installation_guide_chapter_01.html,VERIFIED
rear,chassis status LEDs,2,1,2,"BCN; STS",small,below management cluster,shallow indicators,dark lenses,https://www.cisco.com/c/en/us/td/docs/switches/datacenter/nexus9000/hw/n9336cfx2_hig/guide/b_n9336cFX2_nxos_hardware_installation_guide/b_n9336cFX2_nxos_hardware_installation_guide_chapter_01.html,VERIFIED
left,left side panel and mounting details,not finalized,not finalized,not finalized,not finalized,not finalized,left chassis side,not finalized,light-gray sheet metal,https://www.cisco.com/c/en/us/td/docs/switches/datacenter/nexus9000/hw/n9336cfx2_hig/guide/b_n9336cFX2_nxos_hardware_installation_guide/b_n9336cFX2_nxos_hardware_installation_guide_chapter_01.html,PENDING_NOT_RESEARCHED_AFTER_IDENTITY_BLOCK
right,right side panel and grounding details,not finalized,not finalized,not finalized,not finalized,not finalized,right chassis side,not finalized,light-gray sheet metal,https://www.cisco.com/c/en/us/td/docs/switches/datacenter/nexus9000/hw/n9336cfx2_hig/guide/b_n9336cFX2_nxos_hardware_installation_guide/b_n9336cFX2_nxos_hardware_installation_guide_chapter_01.html,PENDING_NOT_RESEARCHED_AFTER_IDENTITY_BLOCK
top,top cover seams and vents,not finalized,not finalized,not finalized,not finalized,not finalized,top chassis surface,not finalized,light-gray sheet metal,https://www.cisco.com/c/en/us/td/docs/switches/datacenter/nexus9000/hw/n9336cfx2_hig/guide/b_n9336cFX2_nxos_hardware_installation_guide/b_n9336cFX2_nxos_hardware_installation_guide_chapter_01.html,PENDING_NOT_RESEARCHED_AFTER_IDENTITY_BLOCK
bottom,underside details,not finalized,not finalized,not finalized,not finalized,not finalized,bottom chassis surface,not finalized,not finalized,,PENDING_NOT_RESEARCHED_AFTER_IDENTITY_BLOCK
