Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Project/rack-device-3d/Cisco-N9KC9336C-FX2/v001/model/08-neutral-studio-calibrated.blend"
Fra:1 Mem:150.48M (Peak 151.57M) | Time:00:00.91 | Syncing N9K-C9336C-FX2
Fra:1 Mem:150.49M (Peak 151.57M) | Time:00:00.91 | Syncing INFERRED_Bottom_folded_sheet
Fra:1 Mem:152.56M (Peak 152.56M) | Time:00:01.73 | Syncing LEFT_sidewall_with_mounting_provi
Fra:1 Mem:152.71M (Peak 152.71M) | Time:00:01.73 | Syncing RIGHT_sidewall_with_mounting_prov
Fra:1 Mem:152.87M (Peak 152.87M) | Time:00:01.73 | Syncing Top_lid_main_sheet
Fra:1 Mem:153.03M (Peak 153.03M) | Time:00:01.73 | Syncing Lid_port_edge_fold
Fra:1 Mem:153.06M (Peak 153.06M) | Time:00:01.73 | Syncing Lid_staggered_punched_vent_2028_t
Fra:1 Mem:176.43M (Peak 200.51M) | Time:00:01.92 | Syncing Lid_vent_side_border_-1
Fra:1 Mem:176.44M (Peak 200.51M) | Time:00:01.92 | Syncing Lid_vent_side_border_1
Fra:1 Mem:176.45M (Peak 200.51M) | Time:00:01.92 | Syncing Interior_under_port_vent_baffle
Fra:1 Mem:176.47M (Peak 200.51M) | Time:00:01.96 | Syncing Port_face_solid_punched_panel
Fra:1 Mem:176.72M (Peak 200.51M) | Time:00:01.96 | Syncing Front_lower_rectangular_vent_stri
Fra:1 Mem:179.93M (Peak 200.51M) | Time:00:02.00 | Syncing Front_lower_control_label_land
Fra:1 Mem:179.94M (Peak 200.51M) | Time:00:02.00 | Syncing Front_lower_right_land
Fra:1 Mem:179.95M (Peak 200.51M) | Time:00:02.00 | Syncing Rear_horizontal_rim_1.25
Fra:1 Mem:179.96M (Peak 200.51M) | Time:00:02.00 | Syncing Rear_horizontal_rim_42.438
Fra:1 Mem:179.97M (Peak 200.51M) | Time:00:02.00 | Syncing Rear_side_rim_-218.46
Fra:1 Mem:179.98M (Peak 200.51M) | Time:00:02.00 | Syncing Rear_side_rim_218.46
Fra:1 Mem:179.99M (Peak 200.51M) | Time:00:02.00 | Syncing Rear_module_divider_160
Fra:1 Mem:180.01M (Peak 200.51M) | Time:00:02.00 | Syncing Rear_module_divider_70
Fra:1 Mem:180.03M (Peak 200.51M) | Time:00:02.00 | Syncing Rear_module_divider_-20
Fra:1 Mem:180.05M (Peak 200.51M) | Time:00:02.00 | Syncing Rear_module_divider_-110
Fra:1 Mem:180.08M (Peak 200.51M) | Time:00:02.00 | Syncing Rear_module_divider_-160
Fra:1 Mem:180.10M (Peak 200.51M) | Time:00:02.00 | Syncing Lid_flush_Phillips_00
Fra:1 Mem:181.13M (Peak 200.51M) | Time:00:02.01 | Syncing Lid_flush_Phillips_-135_-290
Fra:1 Mem:181.13M (Peak 200.51M) | Time:00:02.01 | Syncing Lid_flush_Phillips_-67_-290
Fra:1 Mem:181.13M (Peak 200.51M) | Time:00:02.01 | Syncing Lid_flush_Phillips_0_-290
Fra:1 Mem:181.13M (Peak 200.51M) | Time:00:02.01 | Syncing Lid_flush_Phillips_67_-290
Fra:1 Mem:181.13M (Peak 200.51M) | Time:00:02.01 | Syncing Lid_flush_Phillips_135_-290
Fra:1 Mem:181.13M (Peak 200.51M) | Time:00:02.01 | Syncing Lid_flush_Phillips_207_-290
Fra:1 Mem:181.13M (Peak 200.51M) | Time:00:02.01 | Syncing Lid_flush_Phillips_-204_281
Fra:1 Mem:181.13M (Peak 200.51M) | Time:00:02.01 | Syncing Lid_flush_Phillips_204_281
Fra:1 Mem:181.13M (Peak 200.51M) | Time:00:02.01 | Syncing Lid_flush_Phillips_-132_190
Fra:1 Mem:181.13M (Peak 200.51M) | Time:00:02.01 | Syncing Lid_flush_Phillips_0_190
Fra:1 Mem:181.13M (Peak 200.51M) | Time:00:02.01 | Syncing Lid_flush_Phillips_132_190
Fra:1 Mem:181.13M (Peak 200.51M) | Time:00:02.01 | Syncing Lid_flush_Phillips_-132_229
Fra:1 Mem:181.13M (Peak 200.51M) | Time:00:02.01 | Syncing Lid_flush_Phillips_0_229
Fra:1 Mem:181.13M (Peak 200.51M) | Time:00:02.01 | Syncing Lid_flush_Phillips_132_229
Fra:1 Mem:181.13M (Peak 200.51M) | Time:00:02.01 | Syncing Lid_flush_Phillips_-198_50
Fra:1 Mem:181.13M (Peak 200.51M) | Time:00:02.01 | Syncing Lid_flush_Phillips_198_50
Fra:1 Mem:181.13M (Peak 200.51M) | Time:00:02.01 | Syncing N3K-C3064-ACC-KIT_chassis_bracket
Fra:1 Mem:181.13M (Peak 200.51M) | Time:00:02.01 | Syncing LEFT_EAR_bent_opaque_solid_with_t
Fra:1 Mem:182.78M (Peak 200.51M) | Time:00:02.02 | Syncing LEFT_ear_M4_-284_10.8
Fra:1 Mem:182.80M (Peak 200.51M) | Time:00:02.02 | Syncing LEFT_ear_M4_-284_32.8
Fra:1 Mem:182.82M (Peak 200.51M) | Time:00:02.02 | Syncing LEFT_ear_M4_-256_10.8
Fra:1 Mem:182.85M (Peak 200.51M) | Time:00:02.02 | Syncing LEFT_ear_M4_-256_32.8
Fra:1 Mem:182.87M (Peak 200.51M) | Time:00:02.02 | Syncing RIGHT_EAR_bent_opaque_solid_with_
Fra:1 Mem:183.50M (Peak 200.51M) | Time:00:02.03 | Syncing RIGHT_ear_M4_-284_10.8
Fra:1 Mem:183.52M (Peak 200.51M) | Time:00:02.03 | Syncing RIGHT_ear_M4_-284_32.8
Fra:1 Mem:183.54M (Peak 200.51M) | Time:00:02.03 | Syncing RIGHT_ear_M4_-256_10.8
Fra:1 Mem:183.57M (Peak 200.51M) | Time:00:02.03 | Syncing RIGHT_ear_M4_-256_32.8
Fra:1 Mem:183.58M (Peak 200.51M) | Time:00:02.03 | Syncing 36_BUSINESS_QSFP28_PORTS
Fra:1 Mem:183.59M (Peak 200.51M) | Time:00:02.03 | Syncing Pair01_stainless_shell_29mm_deep
Fra:1 Mem:184.63M (Peak 200.51M) | Time:00:02.04 | Syncing DOUBLE_CAGE_01
Fra:1 Mem:184.63M (Peak 200.51M) | Time:00:02.04 | Syncing Pair01_front_separator_true_perfo
Fra:1 Mem:184.90M (Peak 200.51M) | Time:00:02.04 | Syncing Pair01_internal_cooling_shelf
Fra:1 Mem:184.90M (Peak 200.51M) | Time:00:02.04 | Syncing BUSINESS_PORT_01_QSFP28_EMPTY
Fra:1 Mem:184.91M (Peak 200.51M) | Time:00:02.04 | Syncing Port01_recessed_connector_stop
