Code executed successfully: 21:50:14 | ERROR: Draco mesh compression is not available because library could not be found at /usr/bin/4.0/python/lib/python3.12/site-packages/libextern_draco.so
21:50:14 | INFO: Starting glTF 2.0 export
21:50:14 | INFO: Extracting primitive: Port01_connector_contact_surround
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Port01_guide_-1_-4.25
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Port01_guide_-1_4.25
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Port01_guide_1_-4.25
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Port01_guide_1_4.25
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Port01_recessed_connector_stop
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Port01_spring_-1_-2.8
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Port01_spring_-1_0
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Port01_spring_-1_2.8
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Port01_spring_1_-2.8
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Port01_spring_1_0
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Port01_spring_1_2.8
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Port01_subtle_recessed_contact_row
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Port02_connector_contact_surround
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Port02_guide_-1_-4.25
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Port02_guide_-1_4.25
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Port02_guide_1_-4.25
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Port02_guide_1_4.25
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Port02_recessed_connector_stop
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Port02_spring_-1_-2.8
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Port02_spring_-1_0
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Port02_spring_-1_2.8
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Port02_spring_1_-2.8
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Port02_spring_1_0
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Port02_spring_1_2.8
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Port02_subtle_recessed_contact_row
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Pair01_front_separator_true_perforations
21:50:14 | INFO: Primitives created: 9
21:50:14 | INFO: Extracting primitive: Pair01_internal_cooling_shelf
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Pair01_stainless_shell_29mm_deep
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_BLUE_release_latch_-1
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_BLUE_release_latch_1
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_fine_vertical_thumb_rib_-1_0
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_fine_vertical_thumb_rib_-1_1
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_fine_vertical_thumb_rib_-1_2
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_fine_vertical_thumb_rib_-1_3
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_fine_vertical_thumb_rib_-1_4
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_fine_vertical_thumb_rib_-1_5
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_fine_vertical_thumb_rib_-1_6
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_fine_vertical_thumb_rib_-1_7
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_fine_vertical_thumb_rib_-1_8
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_fine_vertical_thumb_rib_-1_9
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_fine_vertical_thumb_rib_1_0
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_fine_vertical_thumb_rib_1_1
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_fine_vertical_thumb_rib_1_2
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_fine_vertical_thumb_rib_1_3
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_fine_vertical_thumb_rib_1_4
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_fine_vertical_thumb_rib_1_5
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_fine_vertical_thumb_rib_1_6
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_fine_vertical_thumb_rib_1_7
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_fine_vertical_thumb_rib_1_8
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_fine_vertical_thumb_rib_1_9
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_flush_lock_pin_-39
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_flush_lock_pin_39
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_front_frame
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_known_PID
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_latch_thumb_flare_-1
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_latch_thumb_flare_1
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_molded_trapezoid_pull_handle
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_PID_label_recess
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_rear_power_contact_block_-1
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_rear_power_contact_block_1
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_blade_-1_0
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_blade_-1_1
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_blade_-1_2
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_blade_-1_3
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_blade_-1_4
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_blade_-1_5
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_blade_-1_6
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_hub_-1
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_blade_1_0
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_blade_1_1
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_blade_1_2
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_blade_1_3
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_blade_1_4
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_blade_1_5
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_blade_1_6
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_hub_1
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_rotor_housing_-1
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_rotor_housing_1
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_top_retention_rail_-1
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_top_retention_rail_1
21:50:14 | INFO: Primitives created: 1
21:50:14 | INFO: Extracting primitive: Fan1_true_honeycomb_front_grille
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_BLUE_release_latch_-1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_BLUE_release_latch_1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_fine_vertical_thumb_rib_-1_0
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_fine_vertical_thumb_rib_-1_1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_fine_vertical_thumb_rib_-1_2
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_fine_vertical_thumb_rib_-1_3
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_fine_vertical_thumb_rib_-1_4
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_fine_vertical_thumb_rib_-1_5
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_fine_vertical_thumb_rib_-1_6
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_fine_vertical_thumb_rib_-1_7
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_fine_vertical_thumb_rib_-1_8
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_fine_vertical_thumb_rib_-1_9
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_fine_vertical_thumb_rib_1_0
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_fine_vertical_thumb_rib_1_1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_fine_vertical_thumb_rib_1_2
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_fine_vertical_thumb_rib_1_3
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_fine_vertical_thumb_rib_1_4
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_fine_vertical_thumb_rib_1_5
21:50:15 | INFO: Primitives created: 1
