Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Project/rack-device-3d/Cisco-N9KC9336C-FX2/v001/qa/GLB-reimport-verification.blend"
Fra:1 Mem:218.82M (Peak 252.98M) | Time:00:00.48 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port01_connector_contact_surround.001
Fra:1 Mem:220.85M (Peak 252.98M) | Time:00:00.48 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port01_guide_-1_-4.001
Fra:1 Mem:220.88M (Peak 252.98M) | Time:00:00.48 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port01_guide_-1_4.001
Fra:1 Mem:220.91M (Peak 252.98M) | Time:00:00.48 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port01_guide_1_-4.001
Fra:1 Mem:220.94M (Peak 252.98M) | Time:00:00.48 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port01_guide_1_4.001
Fra:1 Mem:220.97M (Peak 252.98M) | Time:00:00.48 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port01_recessed_connector_stop.001
Fra:1 Mem:220.99M (Peak 252.98M) | Time:00:00.48 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port01_spring_-1_-2.001
Fra:1 Mem:221.06M (Peak 252.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port01_spring_-1_0.001
Fra:1 Mem:221.09M (Peak 252.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port01_spring_-1_2.001
Fra:1 Mem:221.12M (Peak 252.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port01_spring_1_-2.001
Fra:1 Mem:221.15M (Peak 252.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port01_spring_1_0.001
Fra:1 Mem:221.18M (Peak 252.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port01_spring_1_2.001
Fra:1 Mem:221.20M (Peak 252.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port01_subtle_recessed_contact_row.001
Fra:1 Mem:221.24M (Peak 252.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port02_connector_contact_surround.001
Fra:1 Mem:221.27M (Peak 252.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port02_guide_-1_-4.001
Fra:1 Mem:221.30M (Peak 252.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port02_guide_-1_4.001
Fra:1 Mem:221.33M (Peak 252.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port02_guide_1_-4.001
Fra:1 Mem:221.36M (Peak 252.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port02_guide_1_4.001
Fra:1 Mem:221.39M (Peak 252.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port02_recessed_connector_stop.001
Fra:1 Mem:221.41M (Peak 252.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port02_spring_-1_-2.001
Fra:1 Mem:221.44M (Peak 252.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port02_spring_-1_0.001
Fra:1 Mem:221.51M (Peak 252.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Top_lid_main_sheet.001
Fra:1 Mem:221.51M (Peak 252.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port02_spring_-1_2.001
Fra:1 Mem:221.88M (Peak 252.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port02_spring_1_-2.001
Fra:1 Mem:221.90M (Peak 252.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port02_spring_1_0.001
Fra:1 Mem:221.65M (Peak 252.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port02_spring_1_2.001
Fra:1 Mem:221.74M (Peak 252.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port02_subtle_recessed_contact_row.001
Fra:1 Mem:222.29M (Peak 252.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Pair01_front_separator_true_perforations.001
Fra:1 Mem:223.08M (Peak 252.98M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | RIGHT_sidewall_with_mounting_provisions.001
Fra:1 Mem:223.46M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Rear_side_rim_218.001
Fra:1 Mem:223.46M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Rear_side_rim_-218.001
Fra:1 Mem:223.47M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | USB_symbol_stem.001
Fra:1 Mem:223.06M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Pair01_internal_cooling_shelf.001
Fra:1 Mem:223.07M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | USB_symbol_branch_B.001
Fra:1 Mem:223.07M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Pair01_stainless_shell_29mm_deep.001
Fra:1 Mem:223.07M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | USB_symbol_branch_A.001
Fra:1 Mem:223.07M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | SFP_management_symbol_node_1.001
Fra:1 Mem:223.16M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | SFP_management_symbol_node_0.001
Fra:1 Mem:223.17M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_BLUE_release_latch_-1.001
Fra:1 Mem:223.23M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | SFP_management_symbol_node_-1.001
Fra:1 Mem:223.21M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_BLUE_release_latch_1.001
Fra:1 Mem:223.26M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_-1_0.001
Fra:1 Mem:223.23M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | SFP_management_symbol_line.007
Fra:1 Mem:223.24M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | SFP_management_symbol_line.006
Fra:1 Mem:223.30M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | SFP_management_symbol_line.005
Fra:1 Mem:223.26M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_-1_1.001
Fra:1 Mem:223.26M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | SFP_management_symbol_line.004
Fra:1 Mem:223.26M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | RJ45_management_symbol_node_1.001
Fra:1 Mem:223.28M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_-1_2.001
Fra:1 Mem:223.36M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | RJ45_management_symbol_node_0.001
Fra:1 Mem:223.35M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_-1_3.001
Fra:1 Mem:223.38M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | RJ45_management_symbol_node_-1.001
Fra:1 Mem:223.38M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_-1_4.001
Fra:1 Mem:223.41M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_-1_5.001
Fra:1 Mem:223.43M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_-1_6.001
Fra:1 Mem:223.45M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_-1_7.001
Fra:1 Mem:223.47M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_-1_8.001
Fra:1 Mem:223.49M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_-1_9.001
Fra:1 Mem:223.51M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_1_0.001
Fra:1 Mem:223.53M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_1_1.001
Fra:1 Mem:223.55M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_1_2.001
Fra:1 Mem:223.56M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_1_3.001
Fra:1 Mem:223.58M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_1_4.001
Fra:1 Mem:223.60M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_1_5.001
Fra:1 Mem:223.62M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_1_6.001
Fra:1 Mem:223.64M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_1_7.001
Fra:1 Mem:223.66M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_1_8.001
