Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Project/rack-device-3d/Cisco-N9KC9336C-FX2/v001/qa/GLB-reimport-verification.blend"
Fra:1 Mem:218.62M (Peak 252.38M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port01_connector_contact_surround.001
Fra:1 Mem:220.67M (Peak 252.38M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port01_guide_-1_-4.001
Fra:1 Mem:220.71M (Peak 252.38M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port01_guide_-1_4.001
Fra:1 Mem:220.74M (Peak 252.38M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port01_guide_1_-4.001
Fra:1 Mem:220.77M (Peak 252.38M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port01_guide_1_4.001
Fra:1 Mem:220.81M (Peak 252.38M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port01_recessed_connector_stop.001
Fra:1 Mem:220.83M (Peak 252.38M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port01_spring_-1_-2.001
Fra:1 Mem:220.90M (Peak 252.38M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port01_spring_-1_0.001
Fra:1 Mem:220.93M (Peak 252.38M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port01_spring_-1_2.001
Fra:1 Mem:220.96M (Peak 252.38M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port01_spring_1_-2.001
Fra:1 Mem:220.99M (Peak 252.38M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port01_spring_1_0.001
Fra:1 Mem:221.02M (Peak 252.38M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port01_spring_1_2.001
Fra:1 Mem:221.05M (Peak 252.38M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port01_subtle_recessed_contact_row.001
Fra:1 Mem:221.09M (Peak 252.38M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port02_connector_contact_surround.001
Fra:1 Mem:221.12M (Peak 252.38M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port02_guide_-1_-4.001
Fra:1 Mem:221.15M (Peak 252.38M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port02_guide_-1_4.001
Fra:1 Mem:221.18M (Peak 252.38M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port02_guide_1_-4.001
Fra:1 Mem:221.21M (Peak 252.38M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port02_guide_1_4.001
Fra:1 Mem:221.24M (Peak 252.38M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port02_recessed_connector_stop.001
Fra:1 Mem:221.27M (Peak 252.38M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port02_spring_-1_-2.001
Fra:1 Mem:221.29M (Peak 252.38M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Top_lid_main_sheet.001
Fra:1 Mem:221.65M (Peak 252.38M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port02_spring_-1_0.001
Fra:1 Mem:221.68M (Peak 252.38M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port02_spring_-1_2.001
Fra:1 Mem:221.71M (Peak 252.38M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port02_spring_1_-2.001
Fra:1 Mem:221.73M (Peak 252.38M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port02_spring_1_0.001
Fra:1 Mem:221.76M (Peak 252.38M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port02_spring_1_2.001
Fra:1 Mem:221.51M (Peak 252.38M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Port02_subtle_recessed_contact_row.001
Fra:1 Mem:221.56M (Peak 252.38M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Pair01_front_separator_true_perforations.001
Fra:1 Mem:221.99M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | RIGHT_sidewall_with_mounting_provisions.001
Fra:1 Mem:223.11M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Rear_side_rim_218.001
Fra:1 Mem:223.27M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Rear_side_rim_-218.001
Fra:1 Mem:223.30M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | USB_symbol_stem.001
Fra:1 Mem:223.30M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | USB_symbol_branch_B.001
