Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Project/rack-device-3d/Cisco-N9KC9336C-FX2/v001/model/08-neutral-studio-calibrated.blend"
Fra:1 Mem:134.01M (Peak 134.01M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | INFERRED_Bottom_folded_sheet
Fra:1 Mem:134.01M (Peak 134.01M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Lid_vent_side_border_-1
Fra:1 Mem:134.14M (Peak 134.14M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Lid_vent_side_border_1
Fra:1 Mem:136.48M (Peak 136.48M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Interior_under_port_vent_baffle
Fra:1 Mem:136.94M (Peak 136.94M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port_face_solid_punched_panel
Fra:1 Mem:137.00M (Peak 137.00M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Front_lower_rectangular_vent_strip
Fra:1 Mem:137.35M (Peak 137.35M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Front_lower_control_label_land
Fra:1 Mem:138.41M (Peak 138.41M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Front_lower_right_land
Fra:1 Mem:138.41M (Peak 138.41M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Rear_horizontal_rim_1.25
Fra:1 Mem:138.45M (Peak 138.52M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Rear_horizontal_rim_42.438
Fra:1 Mem:139.88M (Peak 139.88M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Rear_side_rim_218.46
Fra:1 Mem:142.88M (Peak 142.88M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Rear_module_divider_160
Fra:1 Mem:142.88M (Peak 142.88M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Rear_module_divider_70
Fra:1 Mem:143.07M (Peak 143.07M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Rear_module_divider_-20
Fra:1 Mem:143.07M (Peak 143.07M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Rear_module_divider_-110
Fra:1 Mem:143.33M (Peak 143.33M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Rear_module_divider_-160
Fra:1 Mem:143.33M (Peak 143.33M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Lid_flush_Phillips_00
Fra:1 Mem:143.35M (Peak 143.35M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | LEFT_EAR_bent_opaque_solid_with_true_bores
Fra:1 Mem:143.44M (Peak 143.44M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | LEFT_ear_M4_-284_32.8
Fra:1 Mem:143.52M (Peak 143.52M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | LEFT_ear_M4_-256_10.8
Fra:1 Mem:143.52M (Peak 143.52M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | LEFT_ear_M4_-256_32.8
Fra:1 Mem:143.55M (Peak 143.55M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | RIGHT_EAR_bent_opaque_solid_with_true_bores
Fra:1 Mem:143.90M (Peak 143.90M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | RIGHT_ear_M4_-284_10.8
Fra:1 Mem:143.90M (Peak 143.90M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | RIGHT_ear_M4_-284_32.8
