view,three_vs_babylon_standard_mad,three_vs_babylon_web_mad,three_standard_vs_web_mad,visual_feature_review
front,1.656576,1.673445,0.589937,PASS
rear,1.957043,1.975329,0.634124,PASS
left,0.603026,0.615642,0.15662,PASS
right,0.614056,0.627422,0.159713,PASS
top,2.320643,2.385485,0.333531,PASS
bottom,1.761235,1.818841,0.341747,PASS
front-left,1.273981,1.270786,0.452147,PASS
front-right,1.236095,1.236471,0.453888,PASS
rear-left,1.180355,1.186924,0.467688,PASS
rear-right,1.178722,1.180531,0.466353,PASS
