engine,profile,view,model,ready_selector,browser_exit,elapsed_seconds,render,render_bytes,render_sha256,status,stderr_tail
threejs,standard,front,model/Dell-C6420-2.5inch.glb,"body[data-ready=""true""]",0,5.296,qa/final/webgl-renders/threejs/standard/front.png,493456,c1772369fba0600418a9c1431387a3da0db8fb9166a4f040be45100595c32fd6,PASS,
threejs,standard,rear,model/Dell-C6420-2.5inch.glb,"body[data-ready=""true""]",0,5.733,qa/final/webgl-renders/threejs/standard/rear.png,520182,c1dbba1612b9c670cf2812e8c6ee000ca8d2d7b4cd07498c01b1693f29216c5f,PASS,
threejs,standard,left,model/Dell-C6420-2.5inch.glb,"body[data-ready=""true""]",0,5.61,qa/final/webgl-renders/threejs/standard/left.png,275039,c00249be580f317661b933a9220e413b7a05e5098d80551a50cc1d05a7691f9e,PASS,
threejs,standard,right,model/Dell-C6420-2.5inch.glb,"body[data-ready=""true""]",0,5.844,qa/final/webgl-renders/threejs/standard/right.png,293343,9eb1cc0a11d1d37da9067a5b10d10c57a23cc16099c03d40f8b801664f73415e,PASS,
threejs,standard,top,model/Dell-C6420-2.5inch.glb,"body[data-ready=""true""]",0,6.434,qa/final/webgl-renders/threejs/standard/top.png,762602,2cd3728d59704d04c3d8d0c55b27f74428ae077bf91ab9358ef44614ad80b6a1,PASS,
threejs,standard,bottom,model/Dell-C6420-2.5inch.glb,"body[data-ready=""true""]",0,5.953,qa/final/webgl-renders/threejs/standard/bottom.png,869670,50d3e7850d2396dec43a50a7e07ce375744f231e2b4b1d1642c7e92ed1360c3f,PASS,
threejs,standard,front-left,model/Dell-C6420-2.5inch.glb,"body[data-ready=""true""]",0,6.303,qa/final/webgl-renders/threejs/standard/front-left.png,483254,04d38fbc1d17b547af8ec58bf70fc8ae27e09dfc52c53241c6e3393d83f8266d,PASS,
threejs,standard,front-right,model/Dell-C6420-2.5inch.glb,"body[data-ready=""true""]",0,6.318,qa/final/webgl-renders/threejs/standard/front-right.png,493222,c5885b05000063652e24b2396c8bc600308268435f13994d68ae8be947294409,PASS,
threejs,standard,rear-left,model/Dell-C6420-2.5inch.glb,"body[data-ready=""true""]",0,6.5,qa/final/webgl-renders/threejs/standard/rear-left.png,502220,b5854e156e5c49c0bf34c13a68c9b85edbc255abe4751cb6384e5664dc99e470,PASS,
threejs,standard,rear-right,model/Dell-C6420-2.5inch.glb,"body[data-ready=""true""]",0,6.508,qa/final/webgl-renders/threejs/standard/rear-right.png,510983,066e5a0820b05e71dabd950084cf9614ade1c5e793c139e79da1a73f8740859c,PASS,
threejs,web,front,model/Dell-C6420-2.5inch-web.glb,"body[data-ready=""true""]",0,5.321,qa/final/webgl-renders/threejs/web/front.png,450120,13900d626960480834719ca5d6e0373fe838c7e0f626ba0322ea4ce16dec9762,PASS,
