face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence
front,2.5-inch drive carrier,24,1,24,carrier 0 through 23 grouped six per sled,each about 1/24 of bay span,between side control housings,recessed bay with projecting latch and lower handle,black textured plastic with orange release and silver-gray handle,https://imgur.com/a/uec15Ij,verified
front,drive carrier orange release,24,1,24,same as carriers,small circular,upper portion of each carrier,projecting button,orange ring on black,https://dl.dell.com/topicspdf/poweredge-c6400_owners-manual_en-us.pdf,verified
front,drive carrier lower handle,24,1,24,same as carriers,tall narrow,lower half of each carrier,shallow projecting hinged geometry,silver-gray metal/plastic,https://imgur.com/a/uec15Ij,verified
front,left control panel,1,1,1,Dell EMC then sled 1 and 2 controls,narrow vertical,far device-left,projects beyond body and drive plane,black plastic with white Dell EMC and blue/green/white icons,https://dl.dell.com/topicspdf/poweredge-c6400_owners-manual_en-us.pdf,verified
front,right control panel,1,1,1,C6400 then sled 3 and 4 controls,narrow vertical,far device-right,projects beyond body and drive plane,black plastic with white C6400 and blue/green/white icons,https://dl.dell.com/topicspdf/poweredge-c6400_owners-manual_en-us.pdf,verified
front,node power buttons,4,2,2,1 and 2 on left panel; 3 and 4 on right panel,small circular,paired vertically on control panels,recessed lens/button,green ring with white power symbol,https://dl.dell.com/topicspdf/poweredge-c6400_owners-manual_en-us.pdf,verified
front,node system-ID buttons,4,2,2,paired below each power button,small circular,control panels,recessed lens/button,white information symbol with blue accents,https://dl.dell.com/topicspdf/poweredge-c6400_owners-manual_en-us.pdf,verified
front,integrated pull handle,2,1,2,left then right,tall loop,immediately inboard of control housings,separate projecting loop geometry,silver galvanized metal,https://imgur.com/a/uec15Ij,verified
front,front mounting/control housing,2,1,2,left and right,narrow vertical,outermost sides,separate geometry extending total width to 482.6 mm,black plastic and silver stamped metal,https://dl.dell.com/topicspdf/poweredge-c6400_Owners-Manual2_en-us.pdf,verified
front,EST information tag,1,1,1,right of drive cage adjacent to right panel,small pull tab,device-right front,recessed/pull-out tab,silver/black,https://dl.dell.com/topicspdf/poweredge-c6400_owners-manual_en-us.pdf,verified
