Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v001/model/07-finish-reviewed.blend"
Fra:1 Mem:98.53M (Peak 98.53M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Side_wall_LEFT
Fra:1 Mem:98.53M (Peak 98.53M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Side_inner_upper_fold
Fra:1 Mem:98.54M (Peak 98.54M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Side_inner_lower_fold
Fra:1 Mem:98.55M (Peak 98.55M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Side_inner_lower_fold.001
Fra:1 Mem:98.57M (Peak 98.57M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node_shelf
Fra:1 Mem:98.58M (Peak 98.58M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Top_seam_internal_overlap
Fra:1 Mem:98.59M (Peak 98.59M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Top_seam_internal_overlap.001
Fra:1 Mem:98.60M (Peak 98.60M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Chassis_bottom_INFERRED
Fra:1 Mem:98.61M (Peak 98.61M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | INFERRED_recessed_bottom_rib.002
Fra:1 Mem:98.65M (Peak 98.65M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | INFERRED_recessed_bottom_rib.003
Fra:1 Mem:98.66M (Peak 98.66M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Front_lower_fold
Fra:1 Mem:98.67M (Peak 98.67M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rack_ear_-1
Fra:1 Mem:98.67M (Peak 98.67M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Captive_screw_base_-1
Fra:1 Mem:98.68M (Peak 98.68M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Steel_rack_handle_-1
Fra:1 Mem:98.69M (Peak 98.69M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rack_ear_1
Fra:1 Mem:98.70M (Peak 98.70M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Control_housing_1
Fra:1 Mem:98.71M (Peak 98.71M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Captive_screw_base_1
Fra:1 Mem:98.71M (Peak 98.71M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Steel_rack_handle_1
Fra:1 Mem:98.73M (Peak 98.73M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drive_cage_rear_shade
Fra:1 Mem:98.73M (Peak 98.73M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drive_bank_separator_0
Fra:1 Mem:98.74M (Peak 98.74M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drive_bank_separator_1
Fra:1 Mem:98.74M (Peak 98.74M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drive_bank_separator_2
Fra:1 Mem:98.75M (Peak 98.75M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Front_side_perforated_flange_-1
Fra:1 Mem:98.78M (Peak 98.78M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rack_captive_thumb_screw_-1
Fra:1 Mem:98.79M (Peak 98.79M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Captive_cross_recess
Fra:1 Mem:98.86M (Peak 98.86M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Captive_cross_recess.001
Fra:1 Mem:98.87M (Peak 98.87M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Front_side_perforated_flange_1
Fra:1 Mem:98.89M (Peak 98.89M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rack_captive_thumb_screw_1
Fra:1 Mem:98.96M (Peak 98.96M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Captive_cross_recess.002
Fra:1 Mem:98.98M (Peak 98.98M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Captive_cross_recess.003
Fra:1 Mem:99.06M (Peak 99.06M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Front_EST_pull_tab
Fra:1 Mem:99.05M (Peak 99.06M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_floor
Fra:1 Mem:99.07M (Peak 99.07M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_side_rail
Fra:1 Mem:99.07M (Peak 99.07M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_side_rail.001
Fra:1 Mem:99.08M (Peak 99.08M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_perforated_rear
Fra:1 Mem:99.38M (Peak 99.38M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_rear_horizontal_lip
