Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v001/model/DELL-PowerEdge-C6420-4N-24SFF.blend"
Fra:1 Mem:105.73M (Peak 105.73M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Side_wall_LEFT
Fra:1 Mem:105.73M (Peak 105.73M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Side_inner_lower_fold
Fra:1 Mem:105.74M (Peak 105.74M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node_shelf
Fra:1 Mem:105.75M (Peak 105.75M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node_shelf.001
Fra:1 Mem:105.76M (Peak 105.76M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | PSU_channel_wall
Fra:1 Mem:105.77M (Peak 105.77M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | PSU_channel_wall.001
Fra:1 Mem:105.78M (Peak 105.78M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Top_seam_internal_overlap
Fra:1 Mem:105.78M (Peak 105.78M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Chassis_bottom_INFERRED
Fra:1 Mem:105.80M (Peak 105.80M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | INFERRED_recessed_bottom_rib
Fra:1 Mem:105.85M (Peak 105.85M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | INFERRED_recessed_bottom_rib.001
Fra:1 Mem:105.85M (Peak 105.85M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Front_lower_fold
Fra:1 Mem:105.85M (Peak 105.85M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Front_upper_fold
Fra:1 Mem:105.87M (Peak 105.87M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Rack_ear_-1
Fra:1 Mem:105.88M (Peak 105.88M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Control_housing_-1
Fra:1 Mem:105.89M (Peak 105.89M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Rack_ear_1
Fra:1 Mem:105.90M (Peak 105.90M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Control_housing_1
Fra:1 Mem:105.91M (Peak 105.91M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Captive_screw_base_1
Fra:1 Mem:105.92M (Peak 105.92M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Drive_cage_rear_shade
Fra:1 Mem:105.93M (Peak 105.93M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Drive_bank_separator_0
