Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v001/model/06-geometry-verified.blend"
Fra:1 Mem:98.02M (Peak 98.02M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Side_wall_LEFT
Fra:1 Mem:98.02M (Peak 98.02M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Side_inner_lower_fold.001
Fra:1 Mem:98.04M (Peak 98.04M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node_shelf
Fra:1 Mem:98.04M (Peak 98.04M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | PSU_channel_wall
Fra:1 Mem:98.05M (Peak 98.05M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | PSU_channel_wall.001
Fra:1 Mem:98.07M (Peak 98.07M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Top_seam_internal_overlap
Fra:1 Mem:98.07M (Peak 98.07M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Top_seam_internal_overlap.001
Fra:1 Mem:98.08M (Peak 98.08M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Chassis_bottom_INFERRED
Fra:1 Mem:98.08M (Peak 98.08M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | INFERRED_recessed_bottom_rib.001
Fra:1 Mem:98.10M (Peak 98.10M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | INFERRED_recessed_bottom_rib.002
Fra:1 Mem:98.13M (Peak 98.13M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | INFERRED_recessed_bottom_rib.003
Fra:1 Mem:98.15M (Peak 98.15M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Front_lower_fold
Fra:1 Mem:98.15M (Peak 98.15M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Front_upper_fold
Fra:1 Mem:98.16M (Peak 98.16M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Control_housing_-1
Fra:1 Mem:98.16M (Peak 98.16M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Captive_screw_base_-1
Fra:1 Mem:98.17M (Peak 98.17M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Steel_rack_handle_-1
Fra:1 Mem:98.19M (Peak 98.19M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rack_ear_1
Fra:1 Mem:98.20M (Peak 98.20M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Control_housing_1
Fra:1 Mem:98.20M (Peak 98.20M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Steel_rack_handle_1
Fra:1 Mem:98.22M (Peak 98.22M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drive_cage_rear_shade
Fra:1 Mem:98.24M (Peak 98.24M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drive_bank_separator_0
Fra:1 Mem:98.24M (Peak 98.24M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drive_bank_separator_1
Fra:1 Mem:98.25M (Peak 98.25M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Front_side_perforated_flange_-1
Fra:1 Mem:98.25M (Peak 98.25M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rack_captive_thumb_screw_-1
Fra:1 Mem:98.28M (Peak 98.28M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Captive_cross_recess
Fra:1 Mem:98.31M (Peak 98.31M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Front_side_perforated_flange_1
Fra:1 Mem:98.37M (Peak 98.37M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Captive_cross_recess.002
Fra:1 Mem:98.43M (Peak 98.43M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Captive_cross_recess.003
Fra:1 Mem:98.44M (Peak 98.44M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Front_EST_pull_tab
Fra:1 Mem:98.46M (Peak 98.46M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_side_rail
Fra:1 Mem:98.49M (Peak 98.49M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_perforated_rear
Fra:1 Mem:98.88M (Peak 98.88M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_rear_horizontal_lip
Fra:1 Mem:98.91M (Peak 98.91M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_rear_horizontal_lip.001
Fra:1 Mem:98.91M (Peak 98.91M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_rear_vertical_lip
Fra:1 Mem:98.89M (Peak 98.91M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_rear_vertical_lip.001
Fra:1 Mem:98.89M (Peak 98.91M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB3_0_sidewall.001
Fra:1 Mem:98.90M (Peak 98.91M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB3_0_horizontalwall.001
Fra:1 Mem:98.90M (Peak 98.91M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB3_0_tongue
Fra:1 Mem:98.91M (Peak 98.91M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB_contact
Fra:1 Mem:98.91M (Peak 98.91M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB_contact.001
Fra:1 Mem:98.91M (Peak 98.91M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB_contact.002
Fra:1 Mem:98.92M (Peak 98.92M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB_contact.003
Fra:1 Mem:98.92M (Peak 98.92M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB3_1_recess_back
Fra:1 Mem:98.92M (Peak 98.92M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB3_1_sidewall
Fra:1 Mem:98.93M (Peak 98.93M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB3_1_horizontalwall
Fra:1 Mem:98.94M (Peak 98.94M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB3_1_horizontalwall.001
Fra:1 Mem:98.94M (Peak 98.94M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB3_1_tongue
Fra:1 Mem:98.95M (Peak 98.95M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB_contact.004
Fra:1 Mem:98.95M (Peak 98.95M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB_contact.005
Fra:1 Mem:98.95M (Peak 98.95M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB_contact.006
Fra:1 Mem:98.95M (Peak 98.95M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB_contact.007
