Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v002/model/13-flat-punched-sheet-normals.blend"
Fra:22 Mem:238.02M (Peak 244.47M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | INFERRED_bottom_formed_sheet
Fra:22 Mem:238.02M (Peak 244.47M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_0_recessed_head
Fra:22 Mem:238.02M (Peak 244.47M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_0_recess_floor
Fra:22 Mem:241.07M (Peak 244.47M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_1_recessed_head
Fra:22 Mem:241.13M (Peak 244.47M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_3_recess_floor
Fra:22 Mem:241.94M (Peak 244.47M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_4_recessed_head
Fra:22 Mem:242.05M (Peak 244.47M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_4_recess_floor
Fra:22 Mem:242.35M (Peak 244.47M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_5_recessed_head
Fra:22 Mem:243.77M (Peak 244.47M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_6_recessed_head
Fra:22 Mem:244.09M (Peak 244.47M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_6_recess_floor
Fra:22 Mem:244.19M (Peak 244.47M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_7_recessed_head
Fra:22 Mem:244.09M (Peak 244.47M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_8_recessed_head
Fra:22 Mem:244.03M (Peak 244.47M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_10_recessed_head
Fra:22 Mem:244.29M (Peak 244.47M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_clinch_0
Fra:22 Mem:244.32M (Peak 244.47M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_rail_latch_outline_1
Fra:22 Mem:244.25M (Peak 244.47M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Left_side_wall_estimated
Fra:22 Mem:245.24M (Peak 245.24M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_integrated_pressings
Fra:22 Mem:245.17M (Peak 245.24M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Main_cover_with_label_pressing
Fra:22 Mem:245.84M (Peak 245.84M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Rear_cover_four_pressed_regions
Fra:22 Mem:246.45M (Peak 246.45M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Underlapping_cover_seam
Fra:22 Mem:246.46M (Peak 246.46M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Cover_traction_pad
Fra:22 Mem:246.48M (Peak 246.48M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Cover_release_recess_back
Fra:22 Mem:246.97M (Peak 246.97M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Cover_release_metal_tab
Fra:22 Mem:246.99M (Peak 246.99M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head
Fra:22 Mem:246.24M (Peak 246.99M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recess_floor
Fra:22 Mem:246.32M (Peak 246.99M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.001
Fra:22 Mem:247.22M (Peak 247.22M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.002
Fra:22 Mem:247.34M (Peak 247.34M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.003
Fra:22 Mem:247.41M (Peak 247.41M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.004
Fra:22 Mem:247.43M (Peak 247.43M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.005
Fra:22 Mem:247.72M (Peak 247.72M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.006
Fra:22 Mem:248.98M (Peak 248.98M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.007
Fra:22 Mem:248.71M (Peak 248.98M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.008
Fra:22 Mem:248.71M (Peak 248.98M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.009
Fra:22 Mem:248.77M (Peak 248.98M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.010
Fra:22 Mem:248.81M (Peak 248.98M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.011
Fra:22 Mem:248.94M (Peak 248.98M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.012
Fra:22 Mem:250.20M (Peak 250.20M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.013
Fra:22 Mem:250.12M (Peak 250.20M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.014
Fra:22 Mem:250.66M (Peak 250.66M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.015
Fra:22 Mem:250.02M (Peak 250.66M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.016
