Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v002/model/DELL-PowerEdge-C6420-4N-24SFF.blend"
Fra:22 Mem:238.04M (Peak 242.47M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | INFERRED_bottom_formed_sheet
Fra:22 Mem:238.05M (Peak 242.47M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Cover_skirt_screw_1_recess_floor
Fra:22 Mem:238.23M (Peak 242.47M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_0_recess_floor
Fra:22 Mem:241.33M (Peak 242.47M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_1_recessed_head
Fra:22 Mem:241.76M (Peak 242.47M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_1_recess_floor
Fra:22 Mem:242.38M (Peak 242.47M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_2_recessed_head
Fra:22 Mem:242.46M (Peak 242.47M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_3_recessed_head
Fra:22 Mem:242.47M (Peak 242.47M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_3_recess_floor
Fra:22 Mem:242.88M (Peak 242.88M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_4_recessed_head
Fra:22 Mem:243.07M (Peak 243.07M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_4_recess_floor
Fra:22 Mem:243.13M (Peak 243.13M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_5_recessed_head
Fra:22 Mem:243.20M (Peak 243.20M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_6_recessed_head
Fra:22 Mem:243.15M (Peak 243.20M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_6_recess_floor
Fra:22 Mem:243.09M (Peak 243.20M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_7_recessed_head
Fra:22 Mem:243.08M (Peak 243.20M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_8_recessed_head
Fra:22 Mem:245.16M (Peak 245.16M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_9_recessed_head
Fra:22 Mem:244.87M (Peak 245.16M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_10_recessed_head
Fra:22 Mem:244.76M (Peak 245.16M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_1_clinch_0
Fra:22 Mem:244.05M (Peak 245.16M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Side_rail_latch_outline_1
Fra:22 Mem:243.89M (Peak 245.16M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_integrated_pressings
Fra:22 Mem:244.76M (Peak 245.16M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Main_cover_with_label_pressing
Fra:22 Mem:244.97M (Peak 245.16M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Rear_cover_four_pressed_regions
Fra:22 Mem:244.99M (Peak 245.16M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Underlapping_cover_seam
Fra:22 Mem:245.55M (Peak 245.55M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Cover_traction_pad
Fra:22 Mem:245.66M (Peak 245.66M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Cover_release_recess_back
Fra:22 Mem:245.87M (Peak 245.87M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Cover_release_metal_tab
Fra:22 Mem:245.88M (Peak 245.88M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head
Fra:22 Mem:245.88M (Peak 245.88M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recess_floor
Fra:22 Mem:245.89M (Peak 245.89M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.001
Fra:22 Mem:246.03M (Peak 246.03M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.002
Fra:22 Mem:246.03M (Peak 246.03M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.003
Fra:22 Mem:246.66M (Peak 246.66M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.004
Fra:22 Mem:246.51M (Peak 246.66M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.005
Fra:22 Mem:247.04M (Peak 247.04M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.006
Fra:22 Mem:247.43M (Peak 247.43M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.007
