Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v002/model/11-clear-original-labels.blend"
Fra:22 Mem:239.30M (Peak 241.34M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | INFERRED_bottom_formed_sheet
Fra:22 Mem:239.31M (Peak 241.34M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_0_recessed_head
Fra:22 Mem:239.31M (Peak 241.34M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_0_recess_floor
Fra:22 Mem:242.81M (Peak 242.81M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_1_recessed_head
Fra:22 Mem:242.82M (Peak 242.82M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_1_recess_floor
Fra:22 Mem:242.99M (Peak 242.99M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_2_recessed_head
Fra:22 Mem:242.83M (Peak 242.99M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_3_recessed_head
Fra:22 Mem:243.63M (Peak 243.63M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_3_recess_floor
Fra:22 Mem:243.88M (Peak 243.88M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_4_recessed_head
Fra:22 Mem:243.91M (Peak 243.91M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_5_recessed_head
Fra:22 Mem:243.78M (Peak 243.91M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_1_fastener_6_recessed_head
