Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v002/qa/GLB-reimport-verification.blend"
Scene switch for render: 'C6420_GLB_REIMPORT_QA' in file: '/root/Blender/DELL-C6420/v002/qa/GLB-reimport-verification.blend'
Fra:1 Mem:342.57M (Peak 351.26M) | Time:00:00.42 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | INFERRED_bottom_formed_sheet.001
Fra:1 Mem:342.58M (Peak 351.26M) | Time:00:00.42 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Right_side_wall.001
Fra:1 Mem:345.67M (Peak 351.26M) | Time:00:00.42 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_upper_inward_return_1.001
Fra:1 Mem:345.73M (Peak 351.26M) | Time:00:00.43 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_lower_inward_hem_1.001
Fra:1 Mem:345.76M (Peak 351.26M) | Time:00:00.43 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Top_cover_side_skirt_1.001
Fra:1 Mem:345.87M (Peak 351.26M) | Time:00:00.43 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Cover_skirt_screw_1_recessed_head.004
Fra:1 Mem:346.56M (Peak 351.26M) | Time:00:00.43 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Cover_skirt_screw_1_recess_floor.004
Fra:1 Mem:346.76M (Peak 351.26M) | Time:00:00.43 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_1_fastener_0_recessed_head.001
Fra:1 Mem:347.25M (Peak 351.26M) | Time:00:00.43 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_1_fastener_0_recess_floor.001
Fra:1 Mem:347.44M (Peak 351.26M) | Time:00:00.43 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_1_fastener_1_recessed_head.001
Fra:1 Mem:347.84M (Peak 351.26M) | Time:00:00.43 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_1_fastener_1_recess_floor.001
Fra:1 Mem:347.85M (Peak 351.26M) | Time:00:00.43 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_1_fastener_2_recessed_head.001
Fra:1 Mem:347.81M (Peak 351.26M) | Time:00:00.43 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_1_fastener_3_recessed_head.001
Fra:1 Mem:348.08M (Peak 351.26M) | Time:00:00.44 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_1_fastener_3_recess_floor.001
