Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v002/qa/GLB-reimport-verification.blend"
Scene switch for render: 'C6420_GLB_REIMPORT_QA' in file: '/root/Blender/DELL-C6420/v002/qa/GLB-reimport-verification.blend'
Fra:1 Mem:342.45M (Peak 350.47M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | INFERRED_bottom_formed_sheet.001
Fra:1 Mem:342.45M (Peak 350.47M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_upper_inward_return_1.001
Fra:1 Mem:345.76M (Peak 350.47M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_lower_inward_hem_1.001
Fra:1 Mem:346.01M (Peak 350.47M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Top_cover_side_skirt_1.001
Fra:1 Mem:346.43M (Peak 350.47M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Cover_skirt_screw_1_recessed_head.004
Fra:1 Mem:346.44M (Peak 350.47M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Cover_skirt_screw_1_recess_floor.004
Fra:1 Mem:346.44M (Peak 350.47M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_1_fastener_0_recessed_head.001
Fra:1 Mem:346.68M (Peak 350.47M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_1_fastener_0_recess_floor.001
Fra:1 Mem:346.77M (Peak 350.47M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_1_fastener_1_recessed_head.001
Fra:1 Mem:347.04M (Peak 350.47M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_1_fastener_1_recess_floor.001
Fra:1 Mem:347.11M (Peak 350.47M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_1_fastener_2_recessed_head.001
Fra:1 Mem:347.80M (Peak 350.47M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_1_fastener_3_recessed_head.001
Fra:1 Mem:347.14M (Peak 350.47M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_1_fastener_3_recess_floor.001
Fra:1 Mem:347.14M (Peak 350.47M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_1_fastener_4_recessed_head.001
Fra:1 Mem:347.22M (Peak 350.47M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_1_fastener_4_recess_floor.001
Fra:1 Mem:347.12M (Peak 350.47M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_1_fastener_5_recessed_head.001
Fra:1 Mem:348.19M (Peak 350.47M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_1_fastener_6_recessed_head.001
Fra:1 Mem:348.18M (Peak 350.47M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_1_fastener_6_recess_floor.001
Fra:1 Mem:348.12M (Peak 350.47M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_1_fastener_7_recessed_head.001
Fra:1 Mem:348.23M (Peak 350.47M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_1_fastener_8_recessed_head.001
Fra:1 Mem:349.08M (Peak 350.47M) | Time:00:00.30 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_1_fastener_9_recessed_head.001
Fra:1 Mem:349.23M (Peak 350.47M) | Time:00:00.30 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_1_fastener_10_recessed_head.001
Fra:1 Mem:349.16M (Peak 350.47M) | Time:00:00.30 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_1_clinch_0.001
Fra:1 Mem:350.12M (Peak 350.47M) | Time:00:00.30 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Side_rail_latch_outline_1.001
Fra:1 Mem:350.87M (Peak 350.87M) | Time:00:00.30 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Left_side_wall_estimated.001
Fra:1 Mem:351.17M (Peak 351.17M) | Time:00:00.30 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_integrated_pressings.001
Fra:1 Mem:351.54M (Peak 351.54M) | Time:00:00.30 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Main_cover_with_label_pressing.001
Fra:1 Mem:351.54M (Peak 351.54M) | Time:00:00.30 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Rear_cover_four_pressed_regions.001
Fra:1 Mem:352.88M (Peak 352.88M) | Time:00:00.30 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU2_woven_extraction_loop.001
Fra:1 Mem:353.45M (Peak 353.45M) | Time:00:00.30 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Underlapping_cover_seam.002
Fra:1 Mem:353.29M (Peak 353.45M) | Time:00:00.30 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Cover_traction_pad.002
Fra:1 Mem:353.43M (Peak 353.45M) | Time:00:00.30 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Cover_release_recess_back.001
Fra:1 Mem:354.09M (Peak 354.09M) | Time:00:00.30 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Cover_release_metal_tab.001
Fra:1 Mem:354.12M (Peak 354.12M) | Time:00:00.30 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.024
Fra:1 Mem:354.38M (Peak 354.38M) | Time:00:00.30 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recess_floor.024
Fra:1 Mem:353.42M (Peak 354.38M) | Time:00:00.30 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.025
Fra:1 Mem:353.62M (Peak 354.38M) | Time:00:00.30 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU2_woven_edge_fibres.001
