subject,field,source_value,normalized_mm,inclusion_notes,source_url,confidence
installed assembly,overall_width,Xa 482.0 mm,482.0,"front rack-ear span/outermost front width",https://www.delltechnologies.com/asset/en-us/products/servers/technical-support/poweredge-r240-technical-guide.pdf,official
chassis body,body_width,Xb 434.0 mm,434.0,"sheet-metal body/rear width; excludes front-ear extension",https://www.delltechnologies.com/asset/en-us/products/servers/technical-support/poweredge-r240-technical-guide.pdf,official
installed assembly,height,Y 42.8 mm,42.8,"actual chassis height; nominal 1U",https://www.delltechnologies.com/asset/en-us/products/servers/technical-support/poweredge-r240-technical-guide.pdf,official
installed assembly,front_projection_without_bezel,Za 22.0 mm,22.0,"outermost factory front feature with security bezel absent",https://www.delltechnologies.com/asset/en-us/products/servers/technical-support/poweredge-r240-technical-guide.pdf,official
installed assembly,front_projection_with_bezel,Za 35.64 mm,35.64,"not used because requested bezel state is absent",https://www.delltechnologies.com/asset/en-us/products/servers/technical-support/poweredge-r240-technical-guide.pdf,official
chassis body,body_depth,Zb 534.496 mm,534.496,"Dell chassis/rack-plane depth for 3.5-inch configuration; excludes outer front and rear protrusions",https://www.delltechnologies.com/asset/en-us/products/servers/technical-support/poweredge-r240-technical-guide.pdf,official
installed assembly,overall_depth,Zc 573.596 mm,573.596,"outermost front to outermost rear feature without security bezel",https://www.delltechnologies.com/asset/en-us/products/servers/technical-support/poweredge-r240-technical-guide.pdf,official
installed assembly,rear_projection,derived 573.596-534.496-22.0,17.100,"residual rear protrusion derived from Dell Zc/Zb/Za convention; used for PSU strap and rear relief envelope",https://www.delltechnologies.com/asset/en-us/products/servers/technical-support/poweredge-r240-technical-guide.pdf,derived-high
front rack hardware,left_ear_extension,(482.0-434.0)/2,24.0,"separate front-only mechanical ear/control assembly",https://www.delltechnologies.com/asset/en-us/products/servers/technical-support/poweredge-r240-technical-guide.pdf,derived-high
front rack hardware,right_ear_extension,(482.0-434.0)/2,24.0,"separate front-only mechanical ear/control assembly",https://www.delltechnologies.com/asset/en-us/products/servers/technical-support/poweredge-r240-technical-guide.pdf,derived-high
