subject,dimension,source_value,normalized_mm,inclusion,source,page,confidence
10-drive-chassis,overall_width_Xa,482.4 mm,482.4,with front rack latches,https://i.dell.com/sites/content/shared-content/data-sheets/en/documents/dell-poweredge-r620-technical-guide.pdf,51,official
10-drive-chassis,body_width_Xb,434.0 mm,434.0,without front rack latches,https://i.dell.com/sites/content/shared-content/data-sheets/en/documents/dell-poweredge-r620-technical-guide.pdf,51,official
10-drive-chassis,height_Y,42.8 mm,42.8,actual chassis height not nominal rack pitch,https://i.dell.com/sites/content/shared-content/data-sheets/en/documents/dell-poweredge-r620-technical-guide.pdf,51,official
10-drive-chassis,front_projection_without_bezel_Za,20.4 mm,20.4,outermost bare-front feature to EIA rack flange,https://i.dell.com/sites/content/shared-content/data-sheets/en/documents/dell-poweredge-r620-technical-guide.pdf,51,official
10-drive-chassis,front_projection_with_bezel_Za,35.0 mm,35.0,not used because bezel absent,https://i.dell.com/sites/content/shared-content/data-sheets/en/documents/dell-poweredge-r620-technical-guide.pdf,51,official
10-drive-chassis,flange_to_rear_body_Zb,731.0 mm,731.0,EIA rack flange to rear chassis body; quoted official ordinate rather than total body depth,https://i.dell.com/sites/content/shared-content/data-sheets/en/documents/dell-poweredge-r620-technical-guide.pdf,51,official
10-drive-chassis,flange_to_rear_most_Zc,752.1 mm,752.1,EIA rack flange to rear-most installed feature; quoted official ordinate rather than total installed depth,https://i.dell.com/sites/content/shared-content/data-sheets/en/documents/dell-poweredge-r620-technical-guide.pdf,51,official
10-drive-chassis,body_depth_without_bezel_Za_plus_Zb,20.4 + 731.0 mm,751.4,front outermost/body face to rear chassis body,https://i.dell.com/sites/content/shared-content/data-sheets/en/documents/dell-poweredge-r620-technical-guide.pdf,51,official-derived-high
10-drive-chassis,installed_depth_without_bezel_Za_plus_Zc,20.4 + 752.1 mm,772.5,front outermost feature to rear-most installed feature,https://i.dell.com/sites/content/shared-content/data-sheets/en/documents/dell-poweredge-r620-technical-guide.pdf,51,official-derived-high
10-drive-chassis,maximum_weight,19.8 kg,19800,fully configured mass; not a geometric scale,https://i.dell.com/sites/content/shared-content/data-sheets/en/documents/dell-poweredge-r620-technical-guide.pdf,51,official
8-drive-chassis-excluded,flange_to_rear_most_Zc,701.3 mm,701.3,excluded shorter physical variant; its bare-front installed total would be 721.7 mm after adding Za,https://i.dell.com/sites/content/shared-content/data-sheets/en/documents/dell-poweredge-r620-technical-guide.pdf,51,official
