path,sha256,pixels,source_class,exact_pid,configuration,face_or_angle,cropping_or_modification,proves_or_excludes,binding_role,inspection_status,source_url_or_parent
source/originals/user-config-lock-screenshot.png,00861cf47eb85ee4f20fc3dc3fc850820368df4e3db7b2721b3226dfca8c1921,1006x1134,user-provided screenshot,yes,"requested R630 2.5-inch row","front and rear thumbnails","full supplied screenshot","delivery identity; 10-bay face; three-riser/dual-PSU silhouette",binding configuration lock,INSPECTED_ORIGINAL,/root/.codex/attachments/6a010f6b-ae9b-41fb-95ff-f3eb06548688/codex-clipboard-125b3551-b9d1-4a93-ac51-15efd4ea24e5.png
source/config-lock/row-3-r630-2.5inch.png,f16c31c90bcb9b26abacf665800525e5b83cff192a57a35821418b479270e2b5,1006x102,derived crop,yes,"requested R630 10×2.5","front and rear thumbnails","lossless crop from user screenshot","exact row/configuration lock",binding crop,INSPECTED_ORIGINAL,source/originals/user-config-lock-screenshot.png
source/config-lock/front-lock-enlarged.png,e99be1c376be91c4a5063e4c42a42982f71c79687d5759bd3514c8b8df433a46,1760x400,derived enlargement,yes,"requested R630 10×2.5",front,"nearest-neighbour diagnostic enlargement","five columns × two rows; bezel absent",diagnostic,INSPECTED_ORIGINAL,source/config-lock/row-3-r630-2.5inch.png
source/config-lock/rear-lock-enlarged.png,d6b646500aea8f6b6fe39eda9291ac5d254f7bb21776afa6070fbb65ced17dc1,1760x400,derived enlargement,yes,"requested three-riser dual-PSU",rear,"nearest-neighbour diagnostic enlargement","rear silhouette and PSU count",diagnostic,INSPECTED_ORIGINAL,source/config-lock/row-3-r630-2.5inch.png
source/pdf-pages/owners-dimensions-page-01.png,761c150074f9e6011ac3ccd520a7cc44da661b8ca4877a3e97bd01eb003bab3b,1819x2573,official PDF render,yes,all chassis variants,dimension diagram,"rendered page; no photo edit","482.4/434/42.8/20.4/731/752.1 mm datums",binding dimensions,INSPECTED_ORIGINAL,https://www.dell.com/support/manuals/en-us/poweredge-r630/r630_om_pub/chassis-dimensions
source/pdf-pages/owners-manual-page-01.png,9d9e2d4565b2ca84b72ef1079034952c626ac1c6a3a2004938edde912cf879a5,1819x2573,official PDF render,yes,10-drive chassis,front diagram,"rendered page","10-drive front identity and controls",binding structure,INSPECTED_ORIGINAL,source/originals/poweredge-r630-owners-manual-en-us-180912.pdf
source/pdf-pages/owners-manual-page-02.png,164742c82b3a2e0bef4c12e7cdcd8b5b76d84168301ba475eedc317e8daf6471,1819x2573,official PDF render,yes,alternate front variants,front diagrams,"rendered page","variant separation; exclude non-10-bay faces",exclusion/support,INSPECTED_ORIGINAL,source/originals/poweredge-r630-owners-manual-en-us-180912.pdf
source/pdf-pages/owners-manual-page-03.png,ceec6686a6d55db8890cb0f6bdd451d3c4ba6243a7bd6e0427d96ef371dbc8d8,1819x2573,official PDF render,yes,front controls,detail diagram,"rendered page","control/button and connector functions",support,INSPECTED_ORIGINAL,source/originals/poweredge-r630-owners-manual-en-us-180912.pdf
source/pdf-pages/owners-manual-page-04.png,04007f568733e52bdbe1e5803dac6e7e7af2beccfd4497edc61f1f840dfc710b,1819x2573,official PDF render,yes,chassis,top/internal diagram,"rendered page","cover/latch and internal assembly context",support,INSPECTED_ORIGINAL,source/originals/poweredge-r630-owners-manual-en-us-180912.pdf
source/pdf-pages/owners-manual-page-05.png,dc44a2d0f843c6449fed2b2c78ebe718fdf97bee55b8bf5b120831c6e295ca03,1819x2573,official PDF render,yes,chassis,rear diagram,"rendered page","rear arrangement variants",support,INSPECTED_ORIGINAL,source/originals/poweredge-r630-owners-manual-en-us-180912.pdf
