subject,field,source_value,normalized_mm,inclusion,source_url,confidence
R720 installed chassis,overall_width_Xa,482.4 mm,482.4,"rack-flange/ear outer span",https://downloads.dell.com/manuals/all-products/esuprt_ser_stor_net/esuprt_poweredge/poweredge-r720_reference-guide_en-us.pdf,official
R720 body,body_width_Xb,444.0 mm,444.0,"sheet-metal body, excludes rack ears",https://downloads.dell.com/manuals/all-products/esuprt_ser_stor_net/esuprt_poweredge/poweredge-r720_reference-guide_en-us.pdf,official
R720 installed chassis,height_Y,87.3 mm,87.3,"2U chassis actual height",https://downloads.dell.com/manuals/all-products/esuprt_ser_stor_net/esuprt_poweredge/poweredge-r720_reference-guide_en-us.pdf,official
R720 body,body_depth_Zb,684.0 mm,684.0,"EIA rack flange to rear body plane",https://downloads.dell.com/manuals/all-products/esuprt_ser_stor_net/esuprt_poweredge/poweredge-r720_reference-guide_en-us.pdf,official
R720 installed chassis,overall_depth_Zc,723.0 mm,723.0,"front outermost feature to rear outermost protrusion",https://downloads.dell.com/manuals/all-products/esuprt_ser_stor_net/esuprt_poweredge/poweredge-r720_reference-guide_en-us.pdf,official
R720 front,front_projection_without_bezel_Za,18.0 mm,18.0,"EIA rack flange to outermost bezel-absent front feature",https://downloads.dell.com/manuals/all-products/esuprt_ser_stor_net/esuprt_poweredge/poweredge-r720_reference-guide_en-us.pdf,official
R720 front,front_projection_with_bezel_Za,32.0 mm,32.0,"reference only; requested assembly has no bezel",https://downloads.dell.com/manuals/all-products/esuprt_ser_stor_net/esuprt_poweredge/poweredge-r720_reference-guide_en-us.pdf,official
R720 ears,rack_ear_each_extension,(482.4-444.0)/2 mm,19.2,"derived symmetrically from official overall/body widths",https://downloads.dell.com/manuals/all-products/esuprt_ser_stor_net/esuprt_poweredge/poweredge-r720_reference-guide_en-us.pdf,derived-high
R720 side source lock,installed_silhouette_ratio,723.0/87.3,8.2818,"left/right canonical PNGs include the full installed front-to-rear silhouette; this is the GLB audit ratio",https://downloads.dell.com/manuals/all-products/esuprt_ser_stor_net/esuprt_poweredge/poweredge-r720_reference-guide_en-us.pdf,official-derived-high
R720 top and bottom source locks,body_plate_ratio,684.0/444.0,1.5405,"central cover/base plate uses flange-to-rear body depth and body width; visible front/rear protrusions are separate geometry",https://downloads.dell.com/manuals/all-products/esuprt_ser_stor_net/esuprt_poweredge/poweredge-r720_reference-guide_en-us.pdf,official-derived-high
