path,visual_origin,face_or_angle,inspection_result,intended_role
source/originals/user-config-lock.png,real-photograph-composite,front+rear row 2,"Exact user authority: R720 16-SFF no bezel; sixteen carriers; all-slot-blank R720 rear; 4xRJ45; dual AC PSU",configuration-lock
qa/reference/user-lock-front-row2.png,derived-crop,front,"Low-resolution crop confirms one horizontal row of sixteen vertical carriers and Dell R720 control zone",binding-support
qa/reference/user-lock-rear-row2.png,derived-crop,rear,"Low-resolution crop confirms seven blank slots, legacy/management I/O, 4xRJ45 and dual PSU",binding-support
source/originals/official-front-sff-low.jpg,technical-diagram,front,"Exact R720 2.5-inch chassis line art; labels 16 drives and control features; not color authority",geometry-support
source/originals/official-rear-low.jpg,technical-diagram,rear,"Exact R720 rear line art; distinguishes R720 from R720xd",geometry-support
source/pdf-pages/technical-guide-p01.png,official-document-render,front,"Page 13 exact R720 16-SFF with/without bezel; inspected at original detail",identity-color-support
source/pdf-pages/technical-guide-p02.png,official-document-render,rear,"Page 14 exact R720 rear official photograph; 7 slots, 4 RJ45, dual 750W",primary-source-parent
source/pdf-pages/technical-guide-p03.png,official-document-render,top-open,"Page 15 exact R720 internal view and R720xd comparison; inspected",geometry-support
source/pdf-pages/technical-guide-p04.png,official-document-render,top-open,"Page 16 R720xd/internal continuation; inspected and rejected for requested identity where R720xd",variant-exclusion
source/pdf-pages/technical-guide-dimensions-p01.png,official-document-render,top+side-dimension,"Page 56 exact dimension diagram and values",dimension-authority
qa/reference/official-tech-guide-front-crop.png,derived-crop,front,"Exact official R720 no-bezel 16-SFF figure; no adjacent variant content",binding-support
qa/reference/official-tech-guide-rear-crop.png,derived-crop,rear,"Exact official R720 rear product image; four RJ45, dual 750W, all blank plates",primary-binding-official-render
qa/reference/official-dimensions-crop.png,derived-crop,top+side-dimension,"Exact official dimensions; conservative bottom ratio source",dimension-and-bottom-support
source/pdf-pages/owners-manual-p01.png,official-document-render,indicator-page,"Inspected; no exterior image used",rejected-nonvisual
