view,three_standard,three_web,babylon_standard,babylon_web,three_standard_vs_web_mad,babylon_standard_vs_web_mad,three_vs_babylon_standard_mad,dimensions,actual_webgl_load,visual_feature_review
front,qa/viewer-threejs/standard/front.png,qa/viewer-threejs/web/front.png,qa/viewer-babylonjs/standard/front.png,qa/viewer-babylonjs/web/front.png,0.2146,0.2172,1.2600,1600x1200,PASS,PASS
rear,qa/viewer-threejs/standard/rear.png,qa/viewer-threejs/web/rear.png,qa/viewer-babylonjs/standard/rear.png,qa/viewer-babylonjs/web/rear.png,0.5520,0.5310,1.1618,1600x1200,PASS,PASS
left,qa/viewer-threejs/standard/left.png,qa/viewer-threejs/web/left.png,qa/viewer-babylonjs/standard/left.png,qa/viewer-babylonjs/web/left.png,0.0820,0.0785,0.7039,1600x1200,PASS,PASS
right,qa/viewer-threejs/standard/right.png,qa/viewer-threejs/web/right.png,qa/viewer-babylonjs/standard/right.png,qa/viewer-babylonjs/web/right.png,0.1089,0.1059,0.5810,1600x1200,PASS,PASS
top,qa/viewer-threejs/standard/top.png,qa/viewer-threejs/web/top.png,qa/viewer-babylonjs/standard/top.png,qa/viewer-babylonjs/web/top.png,0.1887,0.1864,1.5324,1600x1200,PASS,PASS
bottom,qa/viewer-threejs/standard/bottom.png,qa/viewer-threejs/web/bottom.png,qa/viewer-babylonjs/standard/bottom.png,qa/viewer-babylonjs/web/bottom.png,0.4984,0.5010,3.2258,1600x1200,PASS,PASS
front-left,qa/viewer-threejs/standard/front-left.png,qa/viewer-threejs/web/front-left.png,qa/viewer-babylonjs/standard/front-left.png,qa/viewer-babylonjs/web/front-left.png,0.3186,0.1253,1.1322,1600x1200,PASS,PASS
front-right,qa/viewer-threejs/standard/front-right.png,qa/viewer-threejs/web/front-right.png,qa/viewer-babylonjs/standard/front-right.png,qa/viewer-babylonjs/web/front-right.png,0.3607,0.1364,1.0743,1600x1200,PASS,PASS
rear-left,qa/viewer-threejs/standard/rear-left.png,qa/viewer-threejs/web/rear-left.png,qa/viewer-babylonjs/standard/rear-left.png,qa/viewer-babylonjs/web/rear-left.png,0.3825,0.1959,1.1698,1600x1200,PASS,PASS
rear-right,qa/viewer-threejs/standard/rear-right.png,qa/viewer-threejs/web/rear-right.png,qa/viewer-babylonjs/standard/rear-right.png,qa/viewer-babylonjs/web/rear-right.png,0.4255,0.2117,1.0813,1600x1200,PASS,PASS
