kind,description,path,byte_size,sha256
face,front,views/front.png,1752583,2320d50ddebe83fce8caae39701bafa0a93ba98742ff601dad79301dee7e5a9c
face,rear,views/rear.png,2544484,baac2e2c1f76cbd443bca91aa5c9b7dd95472d521ce4a0e5dc0af965565df357
face,left,views/left.png,947978,518ebb11b49466d18ea2e004859513a3bc7ff675924bc92ffc83823162150d8d
face,right,views/right.png,1077784,0a44e2e12fab73aa9ee453b1c91afa0e001bdea98856dade5831e381b9500a71
face,top,views/top.png,4689534,9bad16486b2e6c4c37bcda26c53fdaaa3250dadf9d77124469a19eb8033c2693
face,bottom,views/bottom.png,8382173,b4ca8af92b5078d838e9012b969a102bcaf49896181e84fe95332225a9ca3bc1
model,standard,model/Dell-R720-3.5inch.glb,19085704,ed797eeae6d3daf3fb553479fe1b4a8e92157e383bd69596b4d9c5adfc8b64cf
model,web,model/Dell-R720-3.5inch-web.glb,11344552,3fb84bc99c2164863f1fdecf2fcb035be5e1010872efe8b6cd76e0e04947ce0b
audit,six-face transparency,qa/views-audit.json,3984,0f12959e1e1e0d596c59efc0d172f2ada3e4410762e4a971c85a80052c87ec01
audit,standard GLB,qa/glb-standard-audit.json,33335,28f403d3c222101df1e42a974a25664c1e8259534df8692c043aa5d7fd604170
audit,web GLB,qa/glb-web-audit.json,33334,5f7d290437ecb99f4fd7366b8dd245f8e6056abc4a9490e504a17b016dcb32f0
audit,configuration and structure,qa/structure-audit.json,13377,e33e346596459f4a4102d85f136b70d1cada6776a12ef2d1ccb199203c611103
comparison,40 WebGL render cross-check,qa/comparison-table.csv,2180,d70490b5adee38257c88690cf47751e04a0d438be47fc94412d4c556ec037d77
contact_sheet,babylonjs-standard-obliques,qa/renders/babylonjs-standard-obliques.png,656128,c01ecfa23ddafaff76f3cb1eb3ac8a78432d2dcda5865bfd24a1c5b5519a1a6a
contact_sheet,babylonjs-standard-six,qa/renders/babylonjs-standard-six.png,914150,b8724e7859c07551a146bac9b20b17475301d925bd7f07cd394019e7a5ba431d
contact_sheet,babylonjs-web-obliques,qa/renders/babylonjs-web-obliques.png,658120,b5463b9fa3bcf7016abc8ec590e540c3bc019f810ed00c4da7562abc70e8d0fe
contact_sheet,babylonjs-web-six,qa/renders/babylonjs-web-six.png,923851,616dd7e1b296a806d6381db4b3c2f818bb389c5f2b05836730367109929d835f
contact_sheet,threejs-standard-obliques,qa/renders/threejs-standard-obliques.png,625110,726fd75bdc17f2193643295ec1dcffe042f892472401a7f179b3d3e63463fdfd
contact_sheet,threejs-standard-six,qa/renders/threejs-standard-six.png,913665,32beb4b9dbc2c45ec9cfaec34c5230545d9971cbde03634f4914643bfa500ae1
contact_sheet,threejs-web-obliques,qa/renders/threejs-web-obliques.png,625990,5a98c81bf5b6ca4c3a015170dadf890fe7ec63722a984c9ecd173976850d8486
contact_sheet,threejs-web-six,qa/renders/threejs-web-six.png,922150,30c4eeb27f354f570933f2705554c0cffa0ba35f3d42dd0b0bc403d1442db804
comparison_sheet,bottom,qa/comparisons/bottom.png,4824245,2f67e15eee71544d2d5ef1e3c6b4071e9a4898182b0922376f0be8c6444de21a
comparison_sheet,front,qa/comparisons/front.png,1706995,caeb9b5faffa99cd8dd8331cbaa5082b331f6398bca6409b5f284ee57ba4c32d
comparison_sheet,left,qa/comparisons/left.png,897906,88e3c0a98e77687c3b6d4b171b3dd3d3ef6e345fc045b15ed8245cd83cfa01c2
comparison_sheet,oblique-reference-render,qa/comparisons/oblique-reference-render.png,1867880,612ef74982573087a4b8c4fcbfca4fced14b90330f6c62c2b50ac5ee3a58aedd
comparison_sheet,rear,qa/comparisons/rear.png,2066866,aba622cd6b1167adcfd208ea4e1e64c5e8bdb7092da5f7444257e19a8a007b73
comparison_sheet,right,qa/comparisons/right.png,968010,c411a613b3e3be2399860ed7ef66cf09642654e22fe1c615719c4a9990074636
comparison_sheet,top,qa/comparisons/top.png,2638305,4443cd16b16cd06b6359179c6bbfe7d67b9114e49cbf529418c09e7176c74381
audit,final gate summary,qa/audit.json,3750,6553b966f5a3bd5f2e928b2d4d4703eb3ae0db399c9918b42f3709f457c4f8de
report,final delivery report,qa/final-report.md,4857,fa533a440f8e6db9a6a09e58e056e422a47ad8a451da8b7d80535e9b6030d8ff
