viewer,view,standard_width_px,standard_height_px,web_width_px,web_height_px,metric_width_px,metric_height_px,mean_absolute_rgb_difference_0_to_255,rmse_rgb_0_to_255,standard_sha256,web_sha256,interpretation
model-viewer,front,1280,900,1280,900,640,450,0.383943,5.565415,f8af74d7f9e8aa78f8199d811af706158a16683fb92d93c34872512202ca4356,309305674f9042eebe7e4e4862bdc0f6d5536babc637082969ed82a069807b7e,same geometry/view; metric normalized from captured viewport; texture-budget and viewport differences are expected
model-viewer,rear,1280,900,1280,900,640,450,0.315779,4.924468,a978b7b35b6e35555ede0bf26e773bd501b30ba15e78de4237d44a2093929d86,7b45a8d56a2fb80a0d1a74dfbbf14136f74d0e0edf867901d18f9f4e824f7ded,same geometry/view; metric normalized from captured viewport; texture-budget and viewport differences are expected
model-viewer,left,1280,900,1280,900,640,450,0.254130,4.927079,7a7850225fe16babf005b886f53bf29c49a6569d284176cd2f131188633a3d0f,ff0916730fb27f1f8f23fc25eda32451c5faa3a8d9606019ce6c4ca3464dba04,same geometry/view; metric normalized from captured viewport; texture-budget and viewport differences are expected
model-viewer,right,1280,900,1280,900,640,450,0.211704,4.862426,f76459f59ea282b793e5f673d7a267873d84122823b39df2bcb635bb651d0b74,b4223e9107303b6e9b087df0e97ada976c812d172b7b2799cfd160f817ef7146,same geometry/view; metric normalized from captured viewport; texture-budget and viewport differences are expected
model-viewer,top,1280,900,1280,900,640,450,0.298045,4.892980,46cfb453f9640cd308baca60250d7b36f3cdb6c94411039babf1c81c6f16c020,2e6158badb1ab2e13cd24817ed47ac712bc2b61604c5f4ca91fb7f2df4a07c94,same geometry/view; metric normalized from captured viewport; texture-budget and viewport differences are expected
model-viewer,bottom,1280,720,1280,900,640,450,16.867481,34.421175,43cd50b2b03919c010582b4978c0208aee62de72b2377f05c739c8e95e6b7b8a,77d2cfae3c17f77d64a2202e45f6a39acb5159288e25eb72c4f8d4e28e34df0a,same geometry/view; metric normalized from captured viewport; texture-budget and viewport differences are expected
model-viewer,front-left,1280,720,1280,900,640,450,14.748636,30.700937,e4dfb02b6b7566576ba37475c90c21c0f6fd3d361163788d118ddb6b51cfdf45,db355588ab8344cc9257f8904cf4a078abfcbe797188a08dfa93c0fac53f35a3,same geometry/view; metric normalized from captured viewport; texture-budget and viewport differences are expected
model-viewer,front-right,1280,720,1280,900,640,450,14.331500,29.694729,0cbb276407e45fde46bf9e6ed58cefafd0890bf8bc8a20931584ef3e94cd490e,f5eca9b18f6e16c47317c39b90c98b2149613c0440c29ed1cf36970271256101,same geometry/view; metric normalized from captured viewport; texture-budget and viewport differences are expected
model-viewer,rear-left,1280,720,1280,900,640,450,13.802727,28.565236,38a6eb872dbdfcde08e8c7cc531436142462a0f6bfc9f70fda1e5b698cb4a54a,f346f16e20d75512915a7c5fbd273f92fdb86d1da060b8795219bd4f4cd6d90e,same geometry/view; metric normalized from captured viewport; texture-budget and viewport differences are expected
model-viewer,rear-right,1280,720,1280,900,640,450,13.228907,27.251539,2a63a4b3f406aba053b37b3d4af071d3fcc3fdb396ffd67c1d4e1e2fa1a2b64d,573c9f21cb1c0745c07e782b0753f0ff02d88530fd454881513df683aef2acbb,same geometry/view; metric normalized from captured viewport; texture-budget and viewport differences are expected
threejs,front,1280,720,1280,900,640,450,19.315765,42.446114,6dad01bf29d7738d4ce24dc91f13f8fa6429a1412c0f507c1057cc3f31603f53,cfd82d04de82ac22c54455ca70bee4b2aad989bb6b57c53a6ee524baff27c563,same geometry/view; metric normalized from captured viewport; texture-budget and viewport differences are expected
threejs,rear,1280,720,1280,900,640,450,19.528181,41.634904,87065666847d09786243269d96ec7806aac36cba17b2da580d4e7c3805c94d95,6f0156cf6a45cf887dac7b4166f6a9ccfad6cb57c6edda3eb38617951ceda99f,same geometry/view; metric normalized from captured viewport; texture-budget and viewport differences are expected
threejs,left,1280,720,1280,900,640,450,15.298003,33.252416,0763e8c06ed91d90f437be7ce6839d16f8a5f2f02aee36a23b34e503cd33f1cf,e0288d1b69e108c2ed780ee47206c888d0926f5c888b82d3258e8a8197badfc6,same geometry/view; metric normalized from captured viewport; texture-budget and viewport differences are expected
threejs,right,1280,720,1280,900,640,450,14.504474,31.581692,de9c085f821203ec665b4f72a3056851193712bfce2b6ff43d6281b9aead73a2,44314ba2625d537f0f3f6b953f518ba026d0e0b9126818f4ae4d573c68361162,same geometry/view; metric normalized from captured viewport; texture-budget and viewport differences are expected
