subject,field,source_value,normalized_mm,inclusion_scope,source_url,tolerance_mm,notes
R7515 installed assembly,body_width,Xb 434 mm,434.000,painted chassis body excluding rack ears,https://dl.dell.com/content/manual23687584-dell-emc-poweredge-r7515-technical-specifications.pdf?language=en-us,0.5,Official Table 1
R7515 installed assembly,overall_width,Xa 482 mm,482.000,maximum rack-ear span,https://dl.dell.com/content/manual23687584-dell-emc-poweredge-r7515-technical-specifications.pdf?language=en-us,0.5,Official Table 1
R7515 installed assembly,height,Y 86.8 mm,86.800,2U chassis exterior height,https://dl.dell.com/content/manual23687584-dell-emc-poweredge-r7515-technical-specifications.pdf?language=en-us,0.3,Official Table 1
R7515 installed assembly,front_projection_with_bezel,Za 35.84 mm,35.840,outermost bezel to nominal chassis front reference,https://dl.dell.com/content/manual23687584-dell-emc-poweredge-r7515-technical-specifications.pdf?language=en-us,0.5,Bezel installed by screenshot lock
R7515 installed assembly,front_projection_without_bezel,Za 22 mm,22.000,outermost standard front feature to nominal chassis front reference,https://dl.dell.com/content/manual23687584-dell-emc-poweredge-r7515-technical-specifications.pdf?language=en-us,0.5,Recorded for comparison only
R7515 installed assembly,body_depth,Zb 647.07 mm,647.070,nominal rear wall external surface where system-board I/O resides,https://i.dell.com/sites/csdocuments/product_docs/en/poweredge-r7515-technical-guide.pdf,0.8,Official note on Technical Guide page 46
R7515 installed assembly,rear_extent_from_front_reference,Zc 681.755 mm,681.755,front chassis reference to rearmost installed protrusion including PSU handles/connectors,https://dl.dell.com/content/manual23687584-dell-emc-poweredge-r7515-technical-specifications.pdf?language=en-us,1.0,Official Table 1
R7515 installed assembly,rear_projection,Zc-Zb 34.685 mm,34.685,rearmost visible protrusion behind nominal rear wall,derived from official Zc and Zb,1.2,Derived exact difference
R7515 installed assembly,total_installed_depth,Za with bezel + Zc 717.595 mm,717.595,bezel outermost front to rearmost PSU/connector protrusion,derived from official Za and Zc,1.5,World-space target for complete installed model
R7515 24-SFF,maximum_weight,23.72 kg,n/a,all drives installed,https://dl.dell.com/content/manual23687584-dell-emc-poweredge-r7515-technical-specifications.pdf?language=en-us,n/a,Identity corroboration only
