path,sha256,pixel_width,pixel_height,inspected_at,source_class,claimed_model_configuration,face_or_angle,image_inspection_notes,imagegen_input_role,acceptance,visual_origin
source/originals/official-front-12lff.jpg,25478e27e2b8e6ebb04cd624f1e118feb83adb66b3e6ba4562d2dc92f16321c9,856,345,2026-08-23 original/high detail,Dell official color figure,R7515 12 x 3.5-inch,front,Straight official front figure; exact 3x4 carrier matrix and left/right control wings; callout numbers are outside the product and are not final-texture content.,binding geometry/layout,accepted,official render
source/originals/official-rear-no-rear-drives.jpg,db191572171d0503ec1787fbd625830c67cf4f9345e274fc5c2362c231e691ac,862,329,2026-08-23 original/high detail,Dell official color figure,R7515 no rear drives,rear,"Straight official rear figure; exact Riser 1B slots 2/3, slots 4/5, system I/O/LOM and dual PSU layout.",binding geometry/layout,accepted,official render
source/originals/official-rear-two-drives-rejected-variant.jpg,b141c5fcbf8679dea79bf843dafb57e6b4eb34a5902d7dbb667ad7c792d5f9c1,862,329,2026-08-23 original/high detail,Dell official color figure,R7515 rear 2 x 3.5-inch,rear rejected variant,Exact R7515 but incompatible rear-drive cage/riser option; retained only to prevent accidental mixing.,negative configuration reference,rejected target variant,official render
source/originals/official-system-dimensions.jpg,0749e371f56c398cbc8c12228685924c163b40814bf1bdb3b82aeda7ebec01c5,921,702,2026-08-23 original/high detail,Dell official technical diagram,R7515,top/side dimension envelope,"Official Xa/Xb/Y/Za/Zb/Zc diagram; proves proportions and depth inclusion, not surface detail.",binding dimensions; bottom fallback envelope,accepted,technical diagram
source/originals/user-configuration-lock.png,7efb5b4ccf0095fee7977f6a95083306935b9e63a990fd83bb8883fc49fdfeb9,1034,1320,2026-08-23 original/high detail,user-provided screenshot,R7515 3.5-inch row lock,front+rear row,Original screenshot visually inspected at original detail; row 10 identifies Dell R7515/3.5-inch and excludes adjacent R7525/SFF rows.,binding configuration lock,accepted,user screenshot
source/originals/user-row10-front-8x.png,c1d8c70b5ff2da3905cb4f7c6ccfc7e70748026365f2ef38835f8053f51b219b,1632,304,2026-08-23 original/high detail,user-provided screenshot crop,R7515 12 LFF,front,Upscaled discovery crop; low native resolution but exact carrier/control-wing silhouette and count are visible.,supporting configuration lock,accepted supporting,user screenshot
source/originals/user-row10-lock.png,346f17c583fc2ca3dd0ba560574ff574913f02f5f2c6df0df21cb5b7232242e2,1034,103,2026-08-23 original/high detail,user-provided screenshot crop,R7515 3.5-inch row lock,front+rear elevation thumbnails,"Exact row-10 crop; 12 LFF exposed carriers, no bezel, no-rear-drive rear, four expansion positions and twin PSUs visible.",binding configuration lock,accepted,user screenshot
source/originals/user-row10-rear-8x.png,e8274702a7410b934c4caa3b60bc234f7b190072cd5356db36ab35c1b4dd8814,1616,304,2026-08-23 original/high detail,user-provided screenshot crop,R7515 no-rear-drive rear,rear,"Upscaled discovery crop; low native resolution but no rear drives, port/riser arrangement and twin PSUs are visible.",supporting configuration lock,accepted supporting,user screenshot
source/pdf-pages/dell-emc-poweredge-r7515-technical-guide-p009.png,8e6bcd74c8b870f98ddfae26f1ba4d02a5b6660cce316becb7e9e4f869e0b3ea,1489,2105,2026-08-23 original/high detail,Dell official PDF page render,PowerEdge R7515,document page 009,Rendered Dell Technical Guide page visually inspected in the other-PDF contact sheet; relevant chassis figure/text used only where it matches the locked variant.,supporting official evidence,accepted with figure-level variant filtering,official document render
source/pdf-pages/dell-emc-poweredge-r7515-technical-guide-p010.png,932f9ebc0e5d1cdb788a439498cdfb2ad7c4ea2fef0cba1ac20a8ef470173f51,1489,2105,2026-08-23 original/high detail,Dell official PDF page render,PowerEdge R7515,document page 010,Rendered Dell Technical Guide page visually inspected in the other-PDF contact sheet; relevant chassis figure/text used only where it matches the locked variant.,supporting official evidence,accepted with figure-level variant filtering,official document render
source/pdf-pages/dell-emc-poweredge-r7515-technical-guide-p011.png,3484bd457c977644ebf6aed510c6837ae44c69da2d4095b9fe7b805f4f9d83eb,1489,2105,2026-08-23 original/high detail,Dell official PDF page render,PowerEdge R7515,document page 011,Rendered Dell Technical Guide page visually inspected in the other-PDF contact sheet; relevant chassis figure/text used only where it matches the locked variant.,supporting official evidence,accepted with figure-level variant filtering,official document render
source/pdf-pages/dell-emc-poweredge-r7515-technical-guide-p012.png,2941fd6896177d3400f6dbc3f4ca69e62d3b4e63631492a07db5af88dd6ec961,1489,2105,2026-08-23 original/high detail,Dell official PDF page render,PowerEdge R7515,document page 012,Rendered Dell Technical Guide page visually inspected in the other-PDF contact sheet; relevant chassis figure/text used only where it matches the locked variant.,supporting official evidence,accepted with figure-level variant filtering,official document render
source/pdf-pages/dell-emc-poweredge-r7515-technical-guide-p013.png,f9262dd45805d668b5745492210bf8d141629169a3fd39402ca56173460af548,1489,2105,2026-08-23 original/high detail,Dell official PDF page render,PowerEdge R7515,document page 013,Rendered Dell Technical Guide page visually inspected in the other-PDF contact sheet; relevant chassis figure/text used only where it matches the locked variant.,supporting official evidence,accepted with figure-level variant filtering,official document render
source/pdf-pages/dell-emc-poweredge-r7515-technical-specifications-p005.png,4f4194be41cc4580dfcda85e2a7c9b03e35833eb2a3cfbc0201548c464b48642,1489,2105,2026-08-23 original/high detail,Dell official PDF page render,PowerEdge R7515,document page 005,"Rendered Dell Technical Specifications page visually inspected; proves dimensions, AC PSU options, six-fan requirement, risers, drive and port specifications.",supporting official evidence,accepted with figure-level variant filtering,official document render
source/pdf-pages/dell-emc-poweredge-r7515-technical-specifications-p006.png,138f8993ad577a0eeb9a554a98cc9086020b80a8a6cea03964267fe74253d8d6,1489,2105,2026-08-23 original/high detail,Dell official PDF page render,PowerEdge R7515,document page 006,"Rendered Dell Technical Specifications page visually inspected; proves dimensions, AC PSU options, six-fan requirement, risers, drive and port specifications.",supporting official evidence,accepted with figure-level variant filtering,official document render
source/pdf-pages/dell-emc-poweredge-r7515-technical-specifications-p007.png,be310fcaf9e2383cb7470d813ac343d5511173755a1a68e899b8ddf3edcb709f,1489,2105,2026-08-23 original/high detail,Dell official PDF page render,PowerEdge R7515,document page 007,"Rendered Dell Technical Specifications page visually inspected; proves dimensions, AC PSU options, six-fan requirement, risers, drive and port specifications.",supporting official evidence,accepted with figure-level variant filtering,official document render
source/pdf-pages/dell-emc-poweredge-r7515-technical-specifications-p008.png,181c7cfc958dced1fb488fd3034f1c762dd78d7ed287d094e7d4a44204ac3190,1489,2105,2026-08-23 original/high detail,Dell official PDF page render,PowerEdge R7515,document page 008,"Rendered Dell Technical Specifications page visually inspected; proves dimensions, AC PSU options, six-fan requirement, risers, drive and port specifications.",supporting official evidence,accepted with figure-level variant filtering,official document render
