id,authority,visual_origin,configuration,face_or_subject,local_path,url,proves,limitations
U01,user,configuration-lock,"R7525/2.5-inch row 9",front+rear,source/originals/user-row09-lock.png,user attachment,"delivery row; LCD bezel state; standard rear; dual PSU; no rear drives",low-resolution thumbnail; not material-style authority
O01,official,official-render,"R7525 24 x 2.5",front,source/originals/dell-official-front-24x2.5.jpg,https://dl.dell.com/content/guides/public/Html/r7525_ism_pub/images/GUID-EB46C43D-E61A-477B-8D10-0F7393C3DF7F-low.jpg,"24 carrier count/order; left/right control panels; info tag",unbezeled and annotated
O02,official,official-render,"R7525 standard rear; no rear drive",rear,source/originals/dell-official-rear-standard.jpg,https://dl.dell.com/content/guides/public/Html/r7525_ism_pub/images/GUID-2E85F1F7-047C-4229-BFDD-39F9CC778F22-low.jpg,"riser/BOSS/port/OCP/LOM/dual-2400W-PSU layout",annotated; serial option not installed in this elevation
O03,official,technical-diagram,"R7525 24-drive",dimensions,source/originals/dell-official-chassis-dimensions.jpg,https://www.dell.com/support/manuals/en-us/poweredge-r7525/r7525_ts_pub/chassis-dimensions,"Xa/Xb/Y/Za/Zb/Zc scope and silhouette",diagram only
O04,official,manual-render,"R7525 24 x 2.5 with LCD bezel",front+top-angle,source/pdf-pages/installation-service-bezel-p01.png,https://dl.dell.com/content/manual26894834-dell-poweredge-r7525-installation-and-service-manual.pdf,"exact bezel installed over 24 SFF; lock; hooks; Dell EMC; LCD strip",instruction arrows/callouts
O05,official,manual-render,"R7525 Riser 3 serial option",rear-component,source/originals/dell-official-serial-com-riser3-step1.jpg,https://dl.dell.com/content/guides/public/Html/r7525_ism_pub/images/GUID-929533DC-F19A-46D7-A3F0-E927ECFE780E-low.jpg,"serial bracket/card shape and Riser 3 installation",internal instructional view
O06,official,manual-render,"R7525 Riser 3 serial option",rear-component,source/originals/dell-official-serial-com-riser3-step2.jpg,https://dl.dell.com/content/guides/public/Html/r7525_ism_pub/images/GUID-BC12AF14-B7BB-4CCE-8DC8-CA04F0FA6A92-low.jpg,"Riser 3 identity and serial cable routing",internal instructional view
O07,official,official-3d-ar,"PowerEdge R7525 24 SFF with bezel",all-six+geometry,source/optional-3d/dell-official-ar-r7525-mySceneClone.glb,https://dellarassistant.glare.kaalo.com/IC1400R752500/assets/mySceneClone.glb,"full official 3D/AR assembly; bezel; carriers; top; sides; underside; components",optional evidence only; no mesh copied into independent deliverable
O08,official,official-3d-ar,"PowerEdge R7525 service sequences",component-metadata,source/optional-3d/WebGL_R7525.json,https://dellarassistant.glare.kaalo.com/IC1400R752500/assets/WebGL_R7525.json,"official component names and service sequences",metadata not a texture
T01,secondary,real-photograph,"R7525 24 SFF chassis",front-right-angle,source/third-party/itcreations-r7525-24sff.jpg,https://www.itcreations.com/product/140713,"physical right side; 24 carriers; ear; top cover material",seller logos/watermark; one-PSU rear state not visible
T02,secondary,real-photograph,"R7525 24 SFF chassis",front-near-orthogonal,source/third-party/itcreations-r7525-24sff_1.jpg,https://www.itcreations.com/product/140713,"real 24-carrier front, control panels, ear geometry, photographic material",unbezeled; seller watermark
T03,secondary,real-photograph,"R7525 24 SFF chassis with one PSU",rear-left-angle+physical-left-side,source/third-party/itcreations-r7525-24sff_2.jpg,https://www.itcreations.com/product/140713,"physical left side labels/seams/rail features; top; rear material",wrong PSU population and rear add-in state; not rear configuration authority
T04,secondary,real-photograph,"R7525 24 SFF chassis with one PSU",rear-near-orthogonal,source/third-party/itcreations-r7525-24sff_3.jpg,https://www.itcreations.com/product/140713,"real rear metal/perforation/port material",wrong PSU population; watermark; supporting style only
T05,secondary,real-photograph,"R7525 24 SFF",PowerEdge-tag,source/third-party/itcreations-r7525-24sff_4.jpg,https://www.itcreations.com/product/140713,"factory DELL EMC / PowerEdge / R7525 pull-tag text and placement",close-up only; watermark
T06,secondary,real-photograph,"R7525 24 x 2.5 complete",top-front-angle,source/third-party/allegro-r7525-24sff-main.jpg,https://allegro.pl/produkt/serwer-dell-r7525-24x2-5-epyc-7702p-64gb-2x480gb-ssd-2x25gbe-2xpsu-szyny-bb22b4ba-2044-4739-9427-5b305ab4730b,"top cover, front service label panel, latch, 24 slots, overall proportions",no bezel; marketplace photo
T07,secondary,derivative-product-image,"R7525 with LCD bezel over LFF",bezel-component-style,source/third-party/oemdrivers-r7525-bezel-front.png,https://oemdrivers.com/server-dell-poweredge-r7525,"bezel material, logo, LCD, lattice style only",LFF behind bezel; forbidden as requested chassis/config source

