view,source_reference,threejs_standard,babylonjs_standard,threejs_web,babylonjs_web,three_vs_babylon_standard_mad,three_vs_babylon_web_mad,standard_vs_web_three_mad,feature_review
front,qa/reference/canonical/front.png,qa/viewer-threejs/standard/front.png,qa/viewer-babylonjs/standard/front.png,qa/viewer-threejs/web/front.png,qa/viewer-babylonjs/web/front.png,1.999797,1.998875,0.619793,PASS
rear,qa/reference/canonical/rear.png,qa/viewer-threejs/standard/rear.png,qa/viewer-babylonjs/standard/rear.png,qa/viewer-threejs/web/rear.png,qa/viewer-babylonjs/web/rear.png,4.378086,4.382834,0.316797,PASS
left,qa/reference/canonical/left.png,qa/viewer-threejs/standard/left.png,qa/viewer-babylonjs/standard/left.png,qa/viewer-threejs/web/left.png,qa/viewer-babylonjs/web/left.png,0.513722,0.528598,0.14682,PASS
right,qa/reference/canonical/right.png,qa/viewer-threejs/standard/right.png,qa/viewer-babylonjs/standard/right.png,qa/viewer-threejs/web/right.png,qa/viewer-babylonjs/web/right.png,0.532729,0.55007,0.203693,PASS
top,qa/reference/canonical/top.png,qa/viewer-threejs/standard/top.png,qa/viewer-babylonjs/standard/top.png,qa/viewer-threejs/web/top.png,qa/viewer-babylonjs/web/top.png,1.269946,1.296318,0.255914,PASS
bottom,qa/reference/canonical/bottom.png,qa/viewer-threejs/standard/bottom.png,qa/viewer-babylonjs/standard/bottom.png,qa/viewer-threejs/web/bottom.png,qa/viewer-babylonjs/web/bottom.png,1.588569,1.605586,0.272956,PASS
front-left,qa/reference/oblique/front-left.png,qa/viewer-threejs/standard/front-left.png,qa/viewer-babylonjs/standard/front-left.png,qa/viewer-threejs/web/front-left.png,qa/viewer-babylonjs/web/front-left.png,1.241278,1.355985,0.476786,PASS
front-right,qa/reference/oblique/front-right.png,qa/viewer-threejs/standard/front-right.png,qa/viewer-babylonjs/standard/front-right.png,qa/viewer-threejs/web/front-right.png,qa/viewer-babylonjs/web/front-right.png,1.269707,1.389323,0.518694,PASS
rear-left,qa/reference/oblique/rear-left.png,qa/viewer-threejs/standard/rear-left.png,qa/viewer-babylonjs/standard/rear-left.png,qa/viewer-threejs/web/rear-left.png,qa/viewer-babylonjs/web/rear-left.png,1.840254,1.868181,0.269301,PASS
rear-right,qa/reference/oblique/rear-right.png,qa/viewer-threejs/standard/rear-right.png,qa/viewer-babylonjs/standard/rear-right.png,qa/viewer-threejs/web/rear-right.png,qa/viewer-babylonjs/web/rear-right.png,1.822396,1.85964,0.294078,PASS
