view,threejs_standard_vs_web_nrmse,babylonjs_standard_vs_web_nrmse,threejs_vs_babylonjs_standard_nrmse,standard_web_status,visual_feature_review
front,0.010218,0.012141,0.017397,PASS,PASS
rear,0.00623,0.00551,0.013608,PASS,PASS
left,0.003627,0.00318,0.03031,PASS,PASS
right,0.005843,0.005574,0.0381,PASS,PASS
top,0.005699,0.005504,0.044261,PASS,PASS
bottom,0.009516,0.009144,0.059298,PASS,PASS
front_left,0.007159,0.005152,0.090862,PASS,PASS
front_right,0.007526,0.005476,0.093927,PASS,PASS
rear_left,0.00665,0.004092,0.073484,PASS,PASS
rear_right,0.00682,0.004577,0.07675,PASS,PASS
