path,classification,face_or_angle,exact_configuration,inspection_notes,intended_role
source/originals/user-device-list.png,REAL_PHOTO_DERIVATIVE_SCREENSHOT,row 13 front/rear thumbnails,"row text CE6851; thumbnails derive from Huawei CE6851-48S6Q-HI official image package","delivery-subject selector and thumbnail-source match"
source/official/front.png,REAL_PHOTO,power-side elevation,"CE6851-48S6Q-HI with 2 x PAC-600WA-B and 2 x FAN-40EA-B","Readable model and module suffixes; transparent background; exact screenshot thumbnail source; no rack ears","rear primary binding identity/style source"
source/official/rear.png,REAL_PHOTO,port-side elevation,CE6851-48S6Q-HI,"48 SFP+ and 6 QSFP+ readable; transparent background; exact screenshot thumbnail source; no rack ears","front primary binding identity/style source"
source/official/front_top.png,REAL_PHOTO,power-side elevated,02350JAS-visible-B-modules,"Power side and plain top cover; no seller changes; transparent background","rear/top geometry support"
source/official/rear_left.png,REAL_PHOTO,port-side elevated-left,CE6851-48S6Q-HI,"Port count/order and top vent strip; left side partially visible; transparent background","front/top/left geometry support"
source/official/rear_right.png,REAL_PHOTO,port-side elevated-right,CE6851-48S6Q-HI,"Port count/order; right side and ground-side region partly visible; transparent background","front/top/right geometry support"
source/official/rear_top.png,REAL_PHOTO,port-side elevated centered,CE6851-48S6Q-HI,"Port face and full top vent strip; transparent background","front/top geometry support"
source/third-party/revo-ce6851-1.webp,REAL_PHOTO,top orthogonal-ish,"CE6851 exact photographed unit; same gallery shows B modules","Factory top with wear; watermark outside device; port vent strip; rack brackets/handles at edges","top primary binding identity/style source"
source/third-party/revo-ce6851-2.webp,REAL_PHOTO,bottom orthogonal,"CE6851 exact photographed unit; same gallery shows B modules","True underside; labels/ribs/fasteners; watermark outside device; power handles protrude","bottom primary binding identity/style source"
source/third-party/revo-ce6851-3.webp,REAL_PHOTO,right side low angle,"CE6851 exact photographed unit; same gallery shows B modules","Ground stud proves physical right side; rack ear front-left; background/watermark removable","right primary binding identity/style source"
source/third-party/revo-ce6851-4.webp,REAL_PHOTO,power side low angle,"CE6851 with PAC-600WA-B and FAN-40EA-B labels","Device is upside down; cords/retainers visible; seller background/watermark outside device","rear supporting exact-B material reference"
source/third-party/revo-ce6851-5.webp,REAL_PHOTO,left side low angle,"CE6851 exact photographed unit; same gallery shows B modules","No ground stud; rack ear front-right; small label; background/watermark removable","left primary binding identity/style source"
source/third-party/revo-ce6851-6.webp,REAL_PHOTO,port side low angle,"CE6851 exact photographed unit; same gallery shows B modules","Device is upside down; two-hole port-side rack brackets visible; watermark outside device","front ear/relief support"
source/third-party/revo-ce6851-7.webp,REAL_PHOTO,bottom label close-up,"Label reads CE6851-48S6Q-HI","Factory regulatory and qualification labels; exact powder-coat grain","bottom text/material support"
source/third-party/piospartslap-ce6851.jpg,REAL_PHOTO,front/rear collage,"CE6851-48S6Q-HI with F airflow modules","Exact chassis but conflicting F module installation; not target variant","rejected variant comparison only"
source/third-party/linknewnet-ce6851-rear.jpg,REAL_PHOTO,power-side elevation,"CE6851-48S6Q-HI with PAC-600WA-F/FAN-40EA-F","Exact chassis but conflicting F module installation; seller cables","rejected variant comparison only"
source/pdf-pages/hardware-print36-appearance.png,TECHNICAL_DIAGRAM,front rear left right,CE6851-48S6Q-HI,"Official callout diagram; sides not photographic; visually inspected at 1488x2105","side geometry/order support"
source/pdf-pages/hardware-print37-features.png,TECHNICAL_TABLE,component callouts,CE6851-48S6Q-HI,"Confirms slots ports and mounting holes","inventory support"
source/pdf-pages/hardware-print54-airflow.png,TECHNICAL_DIAGRAM,airflow,CE family B/F,"Back-to-front diagram explicitly says air flows in from port side","airflow identity support"
source/pdf-pages/hardware-print82-dimensions.png,TECHNICAL_TABLE,dimensions,CE6851-48S6Q-HI,"442.0 x 420.0 x 43.6 mm visually verified","dimension support"
source/pdf-pages/hardware-print100-ordering-ce6851.png,TECHNICAL_TABLE,ordering,02350JAS,"Maps dual AC + dual fan + port-side intake to 02350JAS / CE6851-HI-B-B0A","full SKU support"
source/pdf-pages/datasheet-page8-dimensions.png,TECHNICAL_TABLE,dimensions,CE6851-48S6Q-HI,"Independent official datasheet table agrees on 442 x 420 x 43.6 mm","dimension cross-check"
source/pdf-pages/datasheet-page9-modules.png,TECHNICAL_TABLE,modules,CE family,"FAN-40EA-B and PAC-600WA-B descriptions inspected","module-direction cross-check"

