name,category,material,visible_feature
Closed_Chassis_Core,chassis,ChassisDark,closed outward-facing body; no visible interior
Canonical_Front_Port_Side,canonical_face,Face_front_SourceLocked_standard,source-locked photographic face
Canonical_Rear_Power_Fan_Side,canonical_face,Face_rear_SourceLocked_standard,source-locked photographic face
Canonical_Left_Body,canonical_face,Face_left_SourceLocked_standard,source-locked photographic face
Canonical_Right_Body,canonical_face,Face_right_SourceLocked_standard,source-locked photographic face
Canonical_Top_Cover,canonical_face,Face_top_SourceLocked_standard,source-locked photographic face
Canonical_Bottom_Stamping,canonical_face,Face_bottom_SourceLocked_standard,source-locked photographic face
Front_SFP_Bank_1_Top,port_frame,CageSilver,separate raised port-bank frame
Front_SFP_Bank_1_Bottom,port_frame,CageSilver,separate raised port-bank frame
Front_SFP_Bank_1_Left,port_frame,CageSilver,separate raised port-bank frame
Front_SFP_Bank_1_Right,port_frame,CageSilver,separate raised port-bank frame
SFPplus_Cage_01,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_03,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_05,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_07,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_09,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_11,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_13,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_15,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_02,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_04,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_06,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_08,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_10,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_12,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_14,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_16,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFP_Bank_1_Latch_Rail,front_port,CageSilver,separate silver latch rail between SFP rows
Front_SFP_Bank_2_Top,port_frame,CageSilver,separate raised port-bank frame
Front_SFP_Bank_2_Bottom,port_frame,CageSilver,separate raised port-bank frame
Front_SFP_Bank_2_Left,port_frame,CageSilver,separate raised port-bank frame
Front_SFP_Bank_2_Right,port_frame,CageSilver,separate raised port-bank frame
SFPplus_Cage_17,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_19,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_21,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_23,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_25,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_27,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_29,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_31,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_18,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_20,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_22,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_24,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_26,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_28,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_30,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_32,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFP_Bank_2_Latch_Rail,front_port,CageSilver,separate silver latch rail between SFP rows
Front_SFP_Bank_3_Top,port_frame,CageSilver,separate raised port-bank frame
Front_SFP_Bank_3_Bottom,port_frame,CageSilver,separate raised port-bank frame
Front_SFP_Bank_3_Left,port_frame,CageSilver,separate raised port-bank frame
Front_SFP_Bank_3_Right,port_frame,CageSilver,separate raised port-bank frame
SFPplus_Cage_33,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_35,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_37,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_39,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_41,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_43,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_45,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_47,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_34,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_36,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_38,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_40,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_42,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_44,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_46,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFPplus_Cage_48,front_port,PortBlack,independent recessed empty 10GE SFP+ cage
SFP_Bank_3_Latch_Rail,front_port,CageSilver,separate silver latch rail between SFP rows
Front_QSFP28_Bank_Top,port_frame,CageSilver,separate raised port-bank frame
Front_QSFP28_Bank_Bottom,port_frame,CageSilver,separate raised port-bank frame
Front_QSFP28_Bank_Left,port_frame,CageSilver,separate raised port-bank frame
Front_QSFP28_Bank_Right,port_frame,CageSilver,separate raised port-bank frame
QSFP28_Cage_1,front_port,PortBlack,independent recessed empty 40/100GE QSFP28 cage
QSFP28_Cage_3,front_port,PortBlack,independent recessed empty 40/100GE QSFP28 cage
QSFP28_Cage_5,front_port,PortBlack,independent recessed empty 40/100GE QSFP28 cage
QSFP28_Cage_2,front_port,PortBlack,independent recessed empty 40/100GE QSFP28 cage
QSFP28_Cage_4,front_port,PortBlack,independent recessed empty 40/100GE QSFP28 cage
QSFP28_Cage_6,front_port,PortBlack,independent recessed empty 40/100GE QSFP28 cage
Front_Top_Perforation_01,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_02,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_03,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_04,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_05,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_06,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_07,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_08,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_09,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_10,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_11,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_12,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_13,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_14,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_15,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_16,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_17,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_18,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_19,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_20,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_21,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_22,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_23,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_24,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_25,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_26,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_27,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_28,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_29,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_30,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_31,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_32,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_33,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_34,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_35,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_36,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_37,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_38,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_39,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_40,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_41,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_42,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_43,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_44,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_45,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_46,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_47,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_48,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_49,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_50,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_51,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_52,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_53,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_54,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_55,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_56,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_57,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_58,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_59,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_60,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_61,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_62,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_63,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_64,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_65,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_66,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_67,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_68,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_69,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_70,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_71,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_72,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_73,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_74,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_75,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_76,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_77,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_78,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_79,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_80,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_81,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_82,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_83,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_84,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_85,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_86,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_87,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_88,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_89,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_90,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_91,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_92,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_93,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_94,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_95,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Top_Perforation_96,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_01,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_02,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_03,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_04,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_05,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_06,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_07,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_08,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_09,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_10,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_11,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_12,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_13,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_14,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_15,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_16,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_17,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_18,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_19,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_20,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_21,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_22,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_23,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_24,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_25,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_26,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_27,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_28,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_29,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_30,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_31,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_32,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_33,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_34,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_35,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_36,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_37,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_38,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_39,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_40,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_41,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_42,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_43,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_44,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_45,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_46,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_47,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_48,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_49,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_50,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_51,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_52,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_53,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_54,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_55,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_56,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_57,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_58,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_59,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_60,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_61,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_62,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_63,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_64,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_65,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_66,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_67,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_68,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_69,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_70,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_71,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_72,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_73,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_74,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_75,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_76,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_77,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_78,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_79,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_80,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_81,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_82,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_83,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_84,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_85,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_86,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_87,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_88,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_89,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_90,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_91,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_92,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_93,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_94,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_95,front_vent,PortBlack,true circular perforation relief at the port face edge
Front_Bottom_Perforation_96,front_vent,PortBlack,true circular perforation relief at the port face edge
Rear_CONSOLE_RJ45,management_port,PortBlack,independent recessed CONSOLE RJ45 behind source-locked surface
Rear_ETH_RJ45,management_port,PortBlack,independent recessed ETH management RJ45 behind source-locked surface
Rear_USB_TypeA,management_port,PortBlack,independent vertical USB Type-A recess behind source-locked surface
Rear_Ground_Stud,rear_fastener,FastenerMetal,separate protective-earth stud geometry outside the exact texture datum
FAN031AF_Module_1,fan_module,FanHousing,independent hot-swap FAN-031A-F / AIR IN module block
FAN031AF_Module_1_Raised_Seam_Top,fan_module,CageSilver,subtle independent hot-swap fan-module seam depth
FAN031AF_Module_1_Raised_Seam_Bottom,fan_module,CageSilver,subtle independent hot-swap fan-module seam depth
FAN031AF_Module_1_Raised_Seam_Left,fan_module,CageSilver,subtle independent hot-swap fan-module seam depth
FAN031AF_Module_1_Raised_Seam_Right,fan_module,CageSilver,subtle independent hot-swap fan-module seam depth
FAN031AF_Blue_AIR_IN_Handle_1,fan_handle,HuaweiAirflowBlue,independent blue AIR IN handle geometry behind exact photo surface
FAN031AF_Module_2,fan_module,FanHousing,independent hot-swap FAN-031A-F / AIR IN module block
FAN031AF_Module_2_Raised_Seam_Top,fan_module,CageSilver,subtle independent hot-swap fan-module seam depth
FAN031AF_Module_2_Raised_Seam_Bottom,fan_module,CageSilver,subtle independent hot-swap fan-module seam depth
FAN031AF_Module_2_Raised_Seam_Left,fan_module,CageSilver,subtle independent hot-swap fan-module seam depth
FAN031AF_Module_2_Raised_Seam_Right,fan_module,CageSilver,subtle independent hot-swap fan-module seam depth
FAN031AF_Blue_AIR_IN_Handle_2,fan_handle,HuaweiAirflowBlue,independent blue AIR IN handle geometry behind exact photo surface
FAN031AF_Module_3,fan_module,FanHousing,independent hot-swap FAN-031A-F / AIR IN module block
FAN031AF_Module_3_Raised_Seam_Top,fan_module,CageSilver,subtle independent hot-swap fan-module seam depth
FAN031AF_Module_3_Raised_Seam_Bottom,fan_module,CageSilver,subtle independent hot-swap fan-module seam depth
FAN031AF_Module_3_Raised_Seam_Left,fan_module,CageSilver,subtle independent hot-swap fan-module seam depth
FAN031AF_Module_3_Raised_Seam_Right,fan_module,CageSilver,subtle independent hot-swap fan-module seam depth
FAN031AF_Blue_AIR_IN_Handle_3,fan_handle,HuaweiAirflowBlue,independent blue AIR IN handle geometry behind exact photo surface
FAN031AF_Module_4,fan_module,FanHousing,independent hot-swap FAN-031A-F / AIR IN module block
FAN031AF_Module_4_Raised_Seam_Top,fan_module,CageSilver,subtle independent hot-swap fan-module seam depth
FAN031AF_Module_4_Raised_Seam_Bottom,fan_module,CageSilver,subtle independent hot-swap fan-module seam depth
FAN031AF_Module_4_Raised_Seam_Left,fan_module,CageSilver,subtle independent hot-swap fan-module seam depth
FAN031AF_Module_4_Raised_Seam_Right,fan_module,CageSilver,subtle independent hot-swap fan-module seam depth
FAN031AF_Blue_AIR_IN_Handle_4,fan_handle,HuaweiAirflowBlue,independent blue AIR IN handle geometry behind exact photo surface
PAC600S12F_600W_AC_PSU_1,power_supply,PSUSilver,independent 600 W AC hot-swap PSU block
PAC600S12F_PSU_1_Raised_Seam_Top,power_supply,CageSilver,subtle independent 600 W AC PSU boundary and seam depth
PAC600S12F_PSU_1_Raised_Seam_Bottom,power_supply,CageSilver,subtle independent 600 W AC PSU boundary and seam depth
PAC600S12F_PSU_1_Raised_Seam_Left,power_supply,CageSilver,subtle independent 600 W AC PSU boundary and seam depth
PAC600S12F_PSU_1_Raised_Seam_Right,power_supply,CageSilver,subtle independent 600 W AC PSU boundary and seam depth
PAC600S12F_Blue_AIR_IN_Handle_1,power_handle,HuaweiAirflowBlue,independent blue AIR IN PSU-handle geometry behind exact photo surface
PAC600S12F_IEC_AC_Inlet_1_Top,power_inlet,PortBlack,subtle independent recessed IEC AC inlet boundary
PAC600S12F_IEC_AC_Inlet_1_Bottom,power_inlet,PortBlack,subtle independent recessed IEC AC inlet boundary
PAC600S12F_IEC_AC_Inlet_1_Left,power_inlet,PortBlack,subtle independent recessed IEC AC inlet boundary
