face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence
front,10GE SFP+ empty cages,48,2,24,"ports 1-48 in alternating top/bottom labels; three banks of 16","small identical cages","full width left 82 percent","recessed cages and latch rails","black cages in silver aluminum panel",https://info.support.huawei.com/info-finder/imagelib/getImgByNames4web?package_name=CE6857-48S6CQ-EI_pic.zip&picture_name=rear.png,VERIFIED
front,SFP+ bank frames,3,1,3,"16 ports per bank, each 2x8","large rectangular frames","left and center","raised silver dividers around recessed cages","silver metal",same-as-above,VERIFIED
front,40/100GE QSFP28 empty cages,6,2,3,"port groups 1-3; breakout sublabels 1-4","about 2.1x SFP cage width","rightmost 18 percent","deep rectangular recess with latch insert","black and silver",same-as-above,VERIFIED
front,top and bottom perforation rows,2,2,1,"continuous","small circular holes","full panel width","true dark recess/relief","silver edge with black openings",same-as-above,VERIFIED
front,status indicators SYS MST ID,3,1,3,"SYS, MST, ID","tiny","lower left","flush","black labels/dark lenses",same-as-above,VERIFIED
front,factory identity printing,2,1,2,"HUAWEI then CE6857-48S6CQ-EI","small readable","lower left-center","flush print","black on silver",same-as-above,VERIFIED
front,40/100GE BREAKOUT printing,1,1,1,"above QSFP group footer","small readable","lower right","flush print","black on silver",same-as-above,VERIFIED
rear,ground screw and earth mark,1,1,1,"far left","medium circular","upper-left","protruding metal fastener","silver/black",https://info.support.huawei.com/info-finder/imagelib/getImgByNames4web?package_name=CE6857-48S6CQ-EI_pic.zip&picture_name=front.png,VERIFIED
rear,ESN and MAC marking area,1,2,1,"SN above MAC","small","left of management ports","flush label area","gray/black",same-as-above,VERIFIED
rear,CONSOLE RJ45,1,1,1,"above ETH","medium","left management cluster","recessed port","black plastic",same-as-above,VERIFIED
rear,ETH management RJ45,1,1,1,"below CONSOLE","medium","left management cluster","recessed port","black plastic",same-as-above,VERIFIED
rear,USB Type-A and indicator column,1,1,1,"USB narrow vertical; SYS/MST/L-A/USB/ID vertical labels","narrow","right of RJ45 stack","recessed connector/flush LEDs","black/gray",same-as-above,VERIFIED
rear,FAN-031A-F modules,4,1,4,"fan slots 1 to 4","equal medium modules","center-left","separate hot-swap blocks with recessed hex grille","silver housing; black grille",same-as-above,VERIFIED
rear,fan blue handles,4,1,4,"FAN-031A-F / AIR IN","medium horizontal handles","across each fan module","projects forward from rear face","white handle with blue label",same-as-above,VERIFIED
rear,600W AC PSU modules,2,1,2,"PWR1 then PWR2 from inner to outer","large modules","right half","separate hot-swap blocks","silver perforated metal",same-as-above,VERIFIED
rear,PSU blue AIR IN handles,2,1,2,"one per PSU","vertical curved handle","between PSU grille and inlet","projects beyond rear","white/blue",same-as-above,VERIFIED
rear,IEC AC inlets,2,1,2,"one at right side of each PSU","medium rectangular","right side of each PSU","deep recess","black plastic",same-as-above,VERIFIED
left,power-side U mounting bracket ear,1,1,1,"rear end only","medium U loop","rear projection","separate projecting geometry","zinc/silver",https://ar.ipd.huawei.com/3d-model/?product=CE6857-48S6CQ-EI&modelNumber=PARM6039&language=en_US,VERIFIED
left,side mounting holes and fasteners,10,3,4,"unique left-side pattern; not mirrored","small circular","rear/middle/front mounting zones","recessed holes and raised screw heads","dark steel/silver",same-as-above,VERIFIED
left,vent patch,1,1,1,"left side only","small rectangular perforation","near power side","dark perforated recess","black openings in dark steel",https://info.support.huawei.com/info-finder/imagelib/getImgByNames4web?package_name=CE6857-48S6CQ-EI_pic.zip&picture_name=rear_left.png,VERIFIED
right,power-side U mounting bracket ear,1,1,1,"rear end only","medium U loop","rear projection","separate projecting geometry","zinc/silver",https://ar.ipd.huawei.com/3d-model/?product=CE6857-48S6CQ-EI&modelNumber=PARM6039&language=en_US,VERIFIED
right,side mounting holes and fasteners,10,3,4,"unique right-side pattern; not mirrored","small circular","rear/middle/front mounting zones","recessed holes and raised screw heads","dark steel/silver",same-as-above,VERIFIED
right,equipotential junction,1,1,1,"two studs in one oval plate","medium","mid-right side","raised oval plate and studs","dark gray/silver",same-as-above,VERIFIED
right,regulatory label,1,1,1,"factory label","small","rear half","flush","white/gray label",https://info.support.huawei.com/info-finder/imagelib/getImgByNames4web?package_name=CE6857-48S6CQ-EI_pic.zip&picture_name=rear_right.png,VERIFIED
top,main cover panel,1,1,1,"plain","full face","entire top","thin closed sheet with edge seams","dark charcoal powder coat with fine grain",https://info.support.huawei.com/info-finder/imagelib/getImgByNames4web?package_name=CE6857-48S6CQ-EI_pic.zip&picture_name=rear_top.png,VERIFIED
top,front fascia red stripe,1,1,1,"continuous","thin","front edge","flush print","Huawei red",same-as-above,VERIFIED
top,Huawei flower and HUAWEI wordmark,1,1,1,"flower then HUAWEI","medium","front-right from port-side viewpoint","flush print","white",same-as-above,VERIFIED
top,factory warning label,1,1,1,"orange/white caution block","small","near power-side corner","flush adhesive label","white/orange/yellow",https://info.support.huawei.com/info-finder/imagelib/getImgByNames4web?package_name=CE6857-48S6CQ-EI_pic.zip&picture_name=front_top.png,VERIFIED
bottom,stamped underside,1,1,1,"official CAD pattern","full face","entire bottom","closed sheet with multiple pressed recesses","light zinc-gray steel",https://ar.ipd.huawei.com/3d-model/?product=CE6857-48S6CQ-EI&modelNumber=PARM6039&language=en_US,VERIFIED
bottom,large recessed service panels,4,2,2,"two large rear rectangles plus two long right-side recesses","large","rear half and right half","inset stamp geometry","light gray",same-as-above,VERIFIED
bottom,small raised/recessed panels,4,2,2,"asymmetric exact CAD layout","medium","front-left and center","stamped geometry","light gray",same-as-above,VERIFIED
bottom,fasteners,12,3,6,"asymmetric CAD positions","small circular","perimeter and central rails","raised/recessed heads","silver/gray",same-as-above,VERIFIED
