id,source_path,url,accessed_at,authority,source_class,visual_origin,claimed_model,face_or_fact,proves,limitations
S01,source/originals/user-device-list.png,user-attachment,2026-08-23,user,user-screenshot,real-photograph,CE6857-48S6CQ-EI,"row 12 front/rear thumbnails","full EI suffix; canonical front/rear choice; blue four-fan and dual-AC rear","small embedded thumbnails"
S02,source/originals/official-gallery-rear.png,https://info.support.huawei.com/info-finder/imagelib/getImgByNames4web?package_name=CE6857-48S6CQ-EI_pic.zip&picture_name=rear.png,2026-08-23,official,product-gallery,real-photograph,CE6857-48S6CQ-EI,canonical front,"48 empty SFP+ in 2x24; 6 empty QSFP28 in 2x3; Huawei/model text and port numbering","Huawei gallery uses rear as its filename for the service-port face"
S03,source/originals/official-gallery-front.png,https://info.support.huawei.com/info-finder/imagelib/getImgByNames4web?package_name=CE6857-48S6CQ-EI_pic.zip&picture_name=front.png,2026-08-23,official,product-gallery,real-photograph,CE6857-48S6CQ-EI,canonical rear,"ground/ESN; CONSOLE over ETH; USB/status; 4 blue FAN-031A-F AIR IN; 2 AC PSUs","Huawei gallery uses front as its filename for the power face"
S04,source/originals/official-gallery-rear_left.png,https://info.support.huawei.com/info-finder/imagelib/getImgByNames4web?package_name=CE6857-48S6CQ-EI_pic.zip&picture_name=rear_left.png,2026-08-23,official,product-gallery,real-photograph,CE6857-48S6CQ-EI,front-left/top,"left-side hole pattern; top finish; port depth and red stripe","perspective, not a flat texture"
S05,source/originals/official-gallery-rear_right.png,https://info.support.huawei.com/info-finder/imagelib/getImgByNames4web?package_name=CE6857-48S6CQ-EI_pic.zip&picture_name=rear_right.png,2026-08-23,official,product-gallery,real-photograph,CE6857-48S6CQ-EI,front-right/top,"right-side asymmetric label/hole pattern; top finish and red stripe","perspective, not a flat texture"
S06,source/originals/official-gallery-front_top.png,https://info.support.huawei.com/info-finder/imagelib/getImgByNames4web?package_name=CE6857-48S6CQ-EI_pic.zip&picture_name=front_top.png,2026-08-23,official,product-gallery,real-photograph,CE6857-48S6CQ-EI,rear/top,"top cover and warning label; rear real materials; exact blue airflow modules","perspective"
S07,source/originals/official-gallery-rear_top.png,https://info.support.huawei.com/info-finder/imagelib/getImgByNames4web?package_name=CE6857-48S6CQ-EI_pic.zip&picture_name=rear_top.png,2026-08-23,official,product-gallery,real-photograph,CE6857-48S6CQ-EI,front/top,"top cover; Huawei fascia; exact service port face","perspective"
S08,source/optional-3d/CE6857-48S6CQ-EI-PARM6039-official.glb,https://ar.ipd.huawei.com/arm_content/services/downloadFileService/downloadByKey/39bfcb9e8939f8c61e8e6a26fbcf2ad2d25fbf29ce952d5621106849211fedc4/temp.glb,2026-08-23,official,public-3d,official-render,CE6857-48S6CQ-EI,all six faces,"exact side asymmetry; bottom stamping; power-side U brackets; depth ordering","optional official original is preserved unchanged and is not copied into the new build"
S09,source/originals/CloudEngine-Hardware-Description-pre-V200R020.pdf,https://iq-terra.ru/upload/iblock/402/vmx06ym2910bngs6bigw73vmzok95kjj.pdf,2026-08-23,official-document-copy,hardware-manual,technical-diagram,CE6857-48S6CQ-EI,"identity/configuration/dimensions","pages 287-295 of printed manual: 48+6 ports, management layout, 4 fans, 2 power, airflow, 442x420x43.6 mm, 02352CHS","third-party host; document itself is Huawei Issue 36, 2021-03-10"
S10,source/originals/CE6857-48S6CQ-EI-02352CHQ-datasheet.pdf,https://www.hi-network.com/action/download?file=huawei-ce6857-48s6cq-ei-brochure-datasheet,2026-08-23,secondary,datasheet,technical-diagram,CE6857-48S6CQ-EI,"dimensions/ports/side holes","independent corroboration of 43.6x442x420, 1U, 48 SFP+, 6 QSFP28","reseller compilation"
S11,source/third-party/mf-telecom-ce6857.jpg,https://ueeshop.ly200-cdn.com/u_file/UPBB/UPBB755/2509/09/products/CE6857-48S6CQ-EI-2-175120801c.jpg,2026-08-23,secondary,retailer,real-photograph,CE6857-48S6CQ-EI,front,"corroborates empty 48+6 port face","small stock image"
S12,source/third-party/opticaltransceiver-ce6857-front.jpg,https://www.opticaltransceiver-module.com/photo/ps179724305-ce6857_48s6cq_ei_switch_48_port_with_2_ac_power_supply_original_new_in_stock.jpg,2026-08-23,secondary,retailer,real-photograph,mislabelled,"rejected","image shows RJ45 access ports and is not CE6857-48S6CQ-EI","REJECTED family/title mismatch"
