view,reference,three_standard,babylon_standard,three_sheet,babylon_sheet,locked_checks,status
front,qa/reference/orthographic-canvases/front.png,qa/renders/three/standard/front.png,qa/renders/babylon/standard/front.png,qa/comparisons/three-standard/front.png,qa/comparisons/babylon-standard/front.png,"3 upper + 5 lower SFF; Huawei/RH1288 V3/Intel marks; DVD; 2 USB; recessed VGA; front-only ears",PASS
rear,qa/reference/orthographic-canvases/rear.png,qa/renders/three/standard/rear.png,qa/renders/babylon/standard/rear.png,qa/comparisons/three-standard/rear.png,qa/comparisons/babylon-standard/rear.png,"4 GE; management; 2 USB; VGA; serial; 2 PCIe blanks; 2 AC PSU; no rear ears",PASS
left,qa/reference/orthographic-canvases/left.png,qa/renders/three/standard/left.png,qa/renders/babylon/standard/left.png,qa/comparisons/three-standard/left.png,qa/comparisons/babylon-standard/left.png,"rear at image left; front at image right; independent pins/slot; no right-side vent",PASS
right,qa/reference/orthographic-canvases/right.png,qa/renders/three/standard/right.png,qa/renders/babylon/standard/right.png,qa/comparisons/three-standard/right.png,qa/comparisons/babylon-standard/right.png,"front at image left; independent long rail channel and rear side vent",PASS
top,qa/reference/orthographic-canvases/top.png,qa/renders/three/standard/top.png,qa/renders/babylon/standard/top.png,qa/comparisons/three-standard/top.png,qa/comparisons/babylon-standard/top.png,"front at image bottom; two cover seams; narrow recessed/near-flush latch; factory labels",PASS
bottom,qa/reference/orthographic-canvases/bottom.png,qa/renders/three/standard/bottom.png,qa/renders/babylon/standard/bottom.png,qa/comparisons/three-standard/bottom.png,qa/comparisons/babylon-standard/bottom.png,"conservative opaque sheet; no unsupported labels/vents/feet/holes; side silhouette preserved",PASS_WITH_BOTTOM_FALLBACK
frontLeft,"source/originals/huawei-gallery-rh1288-v3-02.jpg; source/third-party/carrierone-huawei-v3-1u-iso.jpg",qa/renders/three/standard/frontLeft.png,qa/renders/babylon/standard/frontLeft.png,,,"front relief and independent physical-left continuity",PASS
frontRight,"source/originals/huawei-gallery-rh1288-v3-01.jpg; source/third-party/khabtelecom-rh1288-v3.jpg",qa/renders/three/standard/frontRight.png,qa/renders/babylon/standard/frontRight.png,,,"front relief; right rail channel; rear-side vent",PASS
rearLeft,"source/originals/huawei-gallery-rh1288-v3-02.jpg; source/third-party/lnc-rh1288-v3-rear.jpg",qa/renders/three/standard/rearLeft.png,qa/renders/babylon/standard/rearLeft.png,,,"rear SM212/dual-AC continuity and physical-left shell",PASS
rearRight,"source/originals/huawei-gallery-rh1288-v3-01.jpg; source/third-party/qg-rh1288-v3-rear.jpg",qa/renders/three/standard/rearRight.png,qa/renders/babylon/standard/rearRight.png,,,"rear SM212/dual-AC continuity and physical-right vent",PASS
