path,role,bytes,sha256,status
model/Huawei-RH1288V3-2.5inch.glb,standard self-contained GLB,18455732,e46479d199d482ca6bb2e0d0b48dc93776198e057ee17ab61c20d60894bee6ca,PASS
model/Huawei-RH1288V3-2.5inch-web.glb,web self-contained GLB,7037964,3a975b224eea0ea9f957b3c3ccc3289dd38dcf507b4eea04db2cdebb80cca5ba,PASS
views/front.png,transparent canonical front,1347546,9611e1989eeb6cc9b5878785132afcf68a9ff9e82918cc13f53632450ee441fc,PASS
views/rear.png,transparent canonical rear,1837778,cfa598cc4759442806368c194b7aac4ff8b89eeab7f95f9be6b0625c99378b78,PASS
views/left.png,transparent canonical physical left,629011,27036b18bab453b618a50e2ce5478a30c782590b221612ca498a8d7441873f2c,PASS
views/right.png,transparent canonical physical right,732783,450b94a5416fa09f9874b4d50717b30c4c43d6614d3924e717a064b7d0e1a401,PASS
views/top.png,transparent canonical top,7256616,91dcbf64ae964bed8614e25b4b7065c6c2f07d133620e03302136f5231d008b6,PASS
views/bottom.png,transparent conservative bottom,8899107,0f86f6566967417bbc4016620aac1aaa5b929b9885645c9bf3de40d54fb8c046,PASS_WITH_BOTTOM_FALLBACK
source/identity-manifest.md,assembly identity,,,PASS
source/face-source-lock.csv,six-face lineage,,,PASS
source/feature-inventory.csv,visible feature build specification,,,PASS
source/dimension-ledger.csv,dimension sources and scope,,,PASS
source/evidence.md,source matrix and search log,,,PASS
source/optional-3d/README.md,official 3D discovery record,,,PASS_NOT_AVAILABLE
qa/views-audit.json,six-view structural audit,,,PASS
qa/audits/glb-standard.json,standard GLB structural audit,,,PASS
qa/audits/glb-web.json,web GLB structural audit,,,PASS
qa/viewer-matrix.csv,40 independent-viewer loads,,,PASS
qa/viewer-parity.csv,standard/web render parity,,,PASS
qa/comparison-matrix.csv,orthographic and oblique comparison index,,,PASS_WITH_BOTTOM_FALLBACK
qa/feature-verification.csv,final one-to-one feature checklist,,,PASS_WITH_BOTTOM_FALLBACK
qa/final-qa.md,human-readable final QA,,,PASS_WITH_BOTTOM_FALLBACK
