viewer,model,view,width_px,height_px,load_result,path
three,standard,front,1600,900,READY,qa/renders/three/standard/front.png
three,standard,rear,1600,900,READY,qa/renders/three/standard/rear.png
three,standard,left,1600,900,READY,qa/renders/three/standard/left.png
three,standard,right,1600,900,READY,qa/renders/three/standard/right.png
three,standard,top,1600,900,READY,qa/renders/three/standard/top.png
three,standard,bottom,1600,900,READY,qa/renders/three/standard/bottom.png
three,standard,frontLeft,1600,900,READY,qa/renders/three/standard/frontLeft.png
three,standard,frontRight,1600,900,READY,qa/renders/three/standard/frontRight.png
three,standard,rearLeft,1600,900,READY,qa/renders/three/standard/rearLeft.png
three,standard,rearRight,1600,900,READY,qa/renders/three/standard/rearRight.png
three,web,front,1600,900,READY,qa/renders/three/web/front.png
three,web,rear,1600,900,READY,qa/renders/three/web/rear.png
three,web,left,1600,900,READY,qa/renders/three/web/left.png
three,web,right,1600,900,READY,qa/renders/three/web/right.png
three,web,top,1600,900,READY,qa/renders/three/web/top.png
three,web,bottom,1600,900,READY,qa/renders/three/web/bottom.png
three,web,frontLeft,1600,900,READY,qa/renders/three/web/frontLeft.png
three,web,frontRight,1600,900,READY,qa/renders/three/web/frontRight.png
three,web,rearLeft,1600,900,READY,qa/renders/three/web/rearLeft.png
three,web,rearRight,1600,900,READY,qa/renders/three/web/rearRight.png
babylon,standard,front,1600,900,READY,qa/renders/babylon/standard/front.png
babylon,standard,rear,1600,900,READY,qa/renders/babylon/standard/rear.png
babylon,standard,left,1600,900,READY,qa/renders/babylon/standard/left.png
babylon,standard,right,1600,900,READY,qa/renders/babylon/standard/right.png
babylon,standard,top,1600,900,READY,qa/renders/babylon/standard/top.png
babylon,standard,bottom,1600,900,READY,qa/renders/babylon/standard/bottom.png
babylon,standard,frontLeft,1600,900,READY,qa/renders/babylon/standard/frontLeft.png
babylon,standard,frontRight,1600,900,READY,qa/renders/babylon/standard/frontRight.png
babylon,standard,rearLeft,1600,900,READY,qa/renders/babylon/standard/rearLeft.png
babylon,standard,rearRight,1600,900,READY,qa/renders/babylon/standard/rearRight.png
babylon,web,front,1600,900,READY,qa/renders/babylon/web/front.png
babylon,web,rear,1600,900,READY,qa/renders/babylon/web/rear.png
babylon,web,left,1600,900,READY,qa/renders/babylon/web/left.png
babylon,web,right,1600,900,READY,qa/renders/babylon/web/right.png
babylon,web,top,1600,900,READY,qa/renders/babylon/web/top.png
babylon,web,bottom,1600,900,READY,qa/renders/babylon/web/bottom.png
babylon,web,frontLeft,1600,900,READY,qa/renders/babylon/web/frontLeft.png
babylon,web,frontRight,1600,900,READY,qa/renders/babylon/web/frontRight.png
babylon,web,rearLeft,1600,900,READY,qa/renders/babylon/web/rearLeft.png
babylon,web,rearRight,1600,900,READY,qa/renders/babylon/web/rearRight.png
