viewer,view,rmse_quantum,normalized_rmse,status
three,front,182.953,0.00279169,PASS
three,rear,307.338,0.00468967,PASS
three,left,73.9600,0.00112856,PASS
three,right,144.963,0.00221200,PASS
three,top,216.841,0.00330879,PASS
three,bottom,66.1693,0.00100968,PASS
three,frontLeft,325.311,0.00496394,PASS
three,frontRight,324.130,0.00494590,PASS
three,rearLeft,308.830,0.00471244,PASS
three,rearRight,332.058,0.00506689,PASS
babylon,front,233.395,0.00356138,PASS
babylon,rear,429.840,0.00655894,PASS
babylon,left,193.873,0.00295831,PASS
babylon,right,107.435,0.00163936,PASS
babylon,top,238.871,0.00364493,PASS
babylon,bottom,112.299,0.00171357,PASS
babylon,frontLeft,218.436,0.00333312,PASS
babylon,frontRight,219.200,0.00334478,PASS
babylon,rearLeft,292.505,0.00446334,PASS
babylon,rearRight,284.918,0.00434757,PASS
