face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence
front,LFF drive carrier fronts,4,1,4,"slot 0; slot 1; slot 2; slot 3","four equal 3.5-inch carriers","full-width lower/front field between ears","independent recessed bays with carrier handles and narrow gaps","black molded plastic; honeycomb grille; lime-green status stripe","https://rozetka.com.ua/ua/596556760/p596556760/",verified
front,front mounting ears,2,1,2,"Huawei/logo ear; RH1288 V3/Intel ear","narrow vertical ears outside 436 mm body","far left and far right","separate protruding mechanical parts with bottom lime-green strip","black textured plastic/painted metal","source/third-party/rozetka-596556760-02-665499150.jpg",verified
front,Huawei logo and wordmark,1,1,1,"left ear","small","left mounting ear","flush print","white on black","source/third-party/rozetka-596556760-02-665499150.jpg",verified
front,RH1288 V3 model badge,1,1,1,"right ear above Intel badge","small","right mounting ear","flush readable print","white on black","source/third-party/rozetka-596556760-02-665499150.jpg",verified
front,Intel Xeon badge,1,1,1,"right ear below model badge","small","right mounting ear","slightly raised decal","blue/white","source/third-party/rozetka-596556760-02-665499150.jpg",verified
front,pull-out ESN label plate,1,1,1,"above second LFF bay","medium thin slot","upper front band left of operator panel","recessed slot with pull tab","black","source/pdf-pages/whitepaper-physical-012.png",verified
front,fault-diagnosis/operator indicator group,1,1,1,"3-digit diagnostic display; health; network; NMI; power; UID","medium","upper band above bays 2-3","recessed/flush controls","black panel with dark display and small indicator icons","source/pdf-pages/whitepaper-physical-012.png",verified
front,USB 2.0 ports,2,1,2,"USB; USB","small","upper-right operator band","recessed rectangular ports","black with silver shells","source/pdf-pages/whitepaper-physical-012.png",verified
front,VGA DB15 port,1,1,1,"VGA","small","front far right inside body","recessed connector with two screw posts","blue insert; silver shell","source/third-party/rozetka-596556760-02-665499150.jpg",verified
front,carrier grille honeycomb,4,1,4,"one grille per carrier","large","carrier faces","opaque dark recess texture/relief; not alpha","matte black","source/third-party/rozetka-596556760-02-665499150.jpg",verified
rear,full-height PCIe blank,1,1,1,"upper rear left as viewed from rear","large horizontal","above four-GE FlexIO group","recessed perforated factory blank","galvanized silver","source/third-party/lnc-RH1288-V3-4GE-rear.jpg",verified
rear,half-height PCIe blank,1,1,1,"upper rear center-left as viewed from rear","medium horizontal","above management/USB area","recessed perforated factory blank","galvanized silver","source/third-party/lnc-RH1288-V3-4GE-rear.jpg",verified
rear,SM212 visible GE service ports,4,1,4,"GE1; GE2; GE3; GE4","four equal RJ45","lower rear left as viewed from rear","four separate recessed sockets","black interiors; silver bezel","source/third-party/lnc-RH1288-V3-4GE-rear.jpg",verified
rear,iBMC management RJ45,1,1,1,"Mgmt","single RJ45","right of GE group as viewed from rear","recessed","black/silver","source/pdf-pages/whitepaper-physical-014.png",verified
rear,USB 3.0 ports,2,1,2,"USB; USB","two equal","right of Mgmt port as viewed from rear","recessed","blue inserts; silver shells","source/third-party/lnc-RH1288-V3-4GE-rear.jpg",verified
rear,UID indicator,1,1,1,"UID","tiny","between USB and VGA area","flush","blue/white","source/pdf-pages/whitepaper-physical-014.png",verified
rear,VGA DB15 port,1,1,1,"VGA","small","center-right before serial as viewed from rear","recessed with screw posts","blue insert; silver shell","source/third-party/lnc-RH1288-V3-4GE-rear.jpg",verified
rear,serial DB9 port,1,1,1,"serial","small","right of VGA before PSUs as viewed from rear","recessed with screw posts","teal panel; black insert","source/third-party/lnc-RH1288-V3-4GE-rear.jpg",verified
rear,AC PSU modules,2,1,2,"PSU1; PSU2","two equal modules","rear right as viewed from rear; device physical left","independent hot-swap blocks","galvanized silver/black/lime green","https://rozetka.com.ua/ua/596556760/p596556760/",verified
rear,PSU fan grilles,2,1,2,"one per PSU","large circular","inside each PSU rear face","recessed circular fan with cross guard","black/dark gray","source/third-party/rozetka-596556760-03-665499153.jpg",verified
rear,IEC C14 AC inlets,2,1,2,"one per PSU","medium","inside each PSU rear face","recessed sockets","black","source/third-party/rozetka-596556760-03-665499153.jpg",verified
rear,PSU release levers,2,1,2,"one per PSU","small vertical","right edge of each PSU face as viewed from rear","protruding hot-swap lever","lime green","source/third-party/rozetka-596556760-03-665499153.jpg",verified
rear,PSU pull handles,2,1,2,"one per PSU","medium curved","across each PSU fan area","protruding curved handle; seller cable straps excluded","black","source/third-party/rozetka-596556760-03-665499153.jpg",verified
left,galvanized side panel,1,1,1,"front to rear","748:43","device physical left","folded sheet-metal wall with cover seam","galvanized silver with real wear","source/third-party/rozetka-596556760-04-665499157.jpg",verified
left,rail attachment landmarks,6,1,6,"front/rear asymmetric studs and slots","small","mid/lower side line","shallow stamped studs/keyholes","galvanized silver/dark recess","source/originals/Huawei-product-gallery-extracted/1080P_PNG/02.png",verified-by-multiple-reference
left,side seams and folded lips,3,1,3,"front fixed section; removable cover; rear lip","thin","top and end edges","shallow relief","galvanized silver","source/third-party/rozetka-596556760-04-665499157.jpg",verified-by-multiple-reference
