path_or_glob,count,claimed_model,configuration,face_or_angle,visual_origin,inspection_result,imagegen_role
qa/reference/user-screenshot-row10-crop.png,1,Huawei RH1288 V3,"4LFF front; four-GE rear; dual AC","front and rear thumbnails",user-screenshot,"tenth readable row verified; distinct from RH1288 V5 and 2.5-inch row","binding row/variant/order support"
source/originals/Huawei-product-gallery-RH1288-V3_01.jpg,1,RH1288 V3,"8SFF; excluded front","front-right three-quarter",official-photograph,"exact generation but wrong front depth/variant; right side and material usable","supporting right-side/material only"
source/originals/Huawei-product-gallery-RH1288-V3_02.jpg,1,RH1288 V3,"two-port FlexIO; excluded rear","rear-left three-quarter",official-photograph,"exact generation but wrong rear NIC and SFF depth; left side/PSU material usable","supporting left-side/material only"
source/originals/Huawei-product-gallery-extracted/1080P_PNG/01.png,1,RH1288 V3,"8SFF; excluded front","front-right three-quarter",official-photograph,"1920x1080 original archive member inspected; alpha canvas has opaque/striped non-product regions","supporting right-side/material only"
source/originals/Huawei-product-gallery-extracted/1080P_PNG/02.png,1,RH1288 V3,"two-port FlexIO; excluded rear","rear-left three-quarter",official-photograph,"1920x1080 original archive member inspected; wrong rear NIC","supporting left-side/PSU material only"
source/originals/Huawei-product-gallery-extracted/720P_PNG/01.png,1,RH1288 V3,"8SFF; excluded front","front-right three-quarter",official-photograph,"720p duplicate inspected","not a primary input"
source/originals/Huawei-product-gallery-extracted/720P_PNG/02.png,1,RH1288 V3,"two-port FlexIO; excluded rear","rear-left three-quarter",official-photograph,"720p duplicate inspected","not a primary input"
source/pdf-pages/datasheet-page-01.png,1,RH1288 V3,"4LFF dimensions/specs","specification page",document-render,"1U; 4x3.5; five fans; two PSUs; 436x748x43 verified","dimension/configuration support"
source/pdf-pages/datasheet-page-02.png,1,RH1288 V3,"4LFF clean front plus SFF comparison","front/top and front elevations",document-render,"exact four-LFF clean elevation and top material inspected","front/top binding diagram support"
source/pdf-pages/datasheet-page-03.png,1,RH1288 V3,"SFF-only views","front elevations",document-render,"wrong front variants; no direct use","excluded comparison"
source/pdf-pages/datasheet-page-04.png,1,RH1288 V3,"four-GE rear","rear elevation",document-render,"selected rear I/O/PCIe/dual-PSU order verified","rear binding diagram support"
source/pdf-pages/datasheet-page-05.png,1,RH1288 V3,"specification continuation","specification page",document-render,"dimensions and component counts cross-checked","dimension/configuration support"
source/pdf-pages/whitepaper-physical-011.png,1,RH1288 V3,"8SFF excluded front","front technical view",document-render,"exact generation, wrong front variant","excluded comparison"
source/pdf-pages/whitepaper-physical-012.png,1,RH1288 V3,"4LFF front","front technical view",document-render,"Figure 4-3 exact feature order inspected","front binding technical support"
source/pdf-pages/whitepaper-physical-013.png,1,RH1288 V3,"10GE rear excluded","rear technical view",document-render,"wrong NIC option recorded","excluded rear comparison"
source/pdf-pages/whitepaper-physical-014.png,1,RH1288 V3,"four-GE rear","rear technical view",document-render,"Figure 4-6 exact four-GE order inspected","rear binding technical support"
source/pdf-pages/whitepaper-physical-022.png,1,RH1288 V3,"component structure","exploded technical view",document-render,"chassis, five fans, PSUs, backplane and risers inspected","supporting side/geometry/configuration"
source/pdf-pages/whitepaper-physical-077.png,1,RH1288 V3,"certification section","document page",document-render,"downloaded relevant-range check; no visual geometry role","not an imagegen input"
source/third-party/rozetka-596556760-01-665499147.jpg,1,RH1288 V3,"4LFF stock composite","front/top",real-photo-composite,"exact LFF stock image; oversized Intel graphic excluded","support only"
source/third-party/rozetka-596556760-02-665499150.jpg,1,RH1288 V3,"4LFF; four carriers; no bezel","straight front",real-photograph,"exact real front; seller NL SAS labels and room background identified","PRIMARY front identity/style"
source/third-party/rozetka-596556760-03-665499153.jpg,1,RH1288 V3,"two-GE rear; 2x460W AC","straight rear",real-photograph,"wrong rear NIC; exact AC PSU/material and PCIe blank style","rear material/PSU support only"
source/third-party/rozetka-596556760-04-665499157.jpg,1,RH1288 V3,"4LFF closed","front/top elevated",real-photograph,"entire top, labels, vent rows, latch, front ears and LFF depth inspected","PRIMARY top; left support"
source/third-party/rozetka-596556760-05-665499160.jpg,1,RH1288 V3,"4LFF closed","rear/top/right-side oblique",real-photograph,"right edge, cover, rear edge and 748 mm shell inspected","PRIMARY right geometry/style"
source/third-party/rozetka-596556760-06-665499164.jpg,1,RH1288 V3,"4LFF; two-GE rear; 2x460W AC","rear/top elevated",real-photograph,"top/rear/left edge and PSU material inspected; wrong rear NIC excluded","top/left/rear-material support"
source/third-party/rozetka-596556760-07-665499168.jpg,1,RH1288 V3,"4LFF open; five fans","top-down open chassis",real-photograph,"exact sidewall silhouette, backplane, five fans, risers and model label inspected","side geometry/configuration support"
source/third-party/rozetka-596556760-08-665499173.jpg,1,RH1288 V3,"4LFF open; five fans","open front-left oblique",real-photograph,"five fan modules and sidewalls inspected","configuration support"
source/third-party/rozetka-596556760-09-665499177.jpg,1,RH1288 V3,"4LFF open; five fans","top-down interior",real-photograph,"fan positions 1-5 and blank position inspected","fan proof"
source/third-party/rozetka-596556760-10-665499184.jpg,1,RH1288 V3,"4LFF open; five fans","top-down whole chassis",real-photograph,"full 748 mm shell and both sidewall edges inspected","side geometry support"
source/third-party/rozetka-596556760-11-665499191.jpg,1,RH1288 V3,"4LFF open","interior close-up",real-photograph,"air duct removed; CPU/DIMM/fans inspected","configuration support only"
source/third-party/rozetka-596556760-12-665499198.jpg,1,RH1288 V3,"4LFF open","rear-interior oblique",real-photograph,"rear riser and sidewall structure inspected","geometry support"
source/third-party/rozetka-596556760-13-665499205.jpg,1,RH1288 V3,"460W AC PSU modules","PSU close-up",real-photograph,"DPS-460DB-1 A, 460W Platinum, Huawei P/N 02130957 readable","PSU configuration proof"
source/third-party/rozetka-596556760-14-665499209.jpg,1,RH1288 V3,"460W AC PSU modules","rear/PSU oblique",real-photograph,"module geometry, inlet, fan, lever and edge inspected","PSU geometry support"
source/third-party/rozetka-596556760-15-665499214.jpg,1,RH1288 V3,"service-label diagram","top label close-up",real-photograph,"front/rear and fan service diagram inspected; alternate rear faces noted","technical cross-check"
source/third-party/rozetka-596449957/*.jpg,15,RH1288 V3,"independent 4LFF listing; same photographed sequence","front/rear/top/open/PSU/service label",real-photographs,"all 15 originals inspected individually; same exact source shoot with separate encodings; two-GE rear excluded","independent cross-check, no primary promotion"
source/third-party/rozetka-595931176/*.jpg,15,RH1288 V3,"independent 4LFF listing; same photographed sequence","front/rear/top/open/PSU/service label",real-photographs,"all 15 originals inspected individually; same exact source shoot with separate encodings; two-GE rear excluded","independent cross-check, no primary promotion"
source/third-party/carrierone-RH1288-V3-4LFF-front.jpg,1,RH1288 V3,"4LFF","straight front",real-photograph,"exact low-resolution clean carrier face inspected","front supporting reference"
source/third-party/carrierone-RH1288-V3-family-iso.jpg,1,RH1288 V3,"family/SFF ambiguous","isometric top",official-render-derivative,"smooth CGI-like render; not exact 4LFF proof","rejected as primary"
source/third-party/carrierone-RH1288-V3-family-rear.jpg,1,RH1288 V3,"two-GE rear","rear technical view",technical-diagram,"wrong NIC option","excluded rear comparison"
