face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence,status
front,2.5-inch carrier fronts,24,1,24,slots 0-23,uniform narrow carriers,between mounting ears,recessed bays with projecting handles,black honeycomb with green indicator strip,https://www.doit.com.cn/subject/hcc2015/pdf/7.pdf,verified,READY
front,left mounting ear,1,1,1,Huawei ear at physical left,full 2U height,left front,projects forward with mounting flange,black plastic/metal with Huawei logo and USB,https://www.doit.com.cn/subject/hcc2015/pdf/7.pdf,verified,READY
front,right mounting ear,1,1,1,diagnostic controls at physical right,full 2U height,right front,projects forward with mounting flange,black plastic/metal with diagnostics and VGA,https://www.doit.com.cn/subject/hcc2015/pdf/7.pdf,verified,READY
front,front I/O/control groups,1,1,1,"fault tube; health; UID; power; NMI; VGA; USB; four NIC indicators",small,right and ears,flush/recessed,mixed black blue green,https://www.doit.com.cn/subject/hcc2015/pdf/7.pdf,verified,READY
rear,AC PSU modules,2,2,1,stacked at one official rear side,large,right rear in official convention,projecting hot-swap blocks,silver/black fan with green/yellow latch,https://www.doit.com.cn/subject/hcc2015/pdf/7.pdf,verified,READY
rear,I/O modules and onboard slots,3,variable,variable,I/O module 1; onboard slots 4/5; I/O module 2,large,left and center rear,recessed slot banks and separate covers,silver perforated metal,https://www.doit.com.cn/subject/hcc2015/pdf/7.pdf,verified,READY
rear,fixed port group,1,1,7,"flex NIC; USB 3.0; Mgmt; LAN; VGA; serial",small,lower center,flush/recessed,mixed metal black blue green,https://www.doit.com.cn/subject/hcc2015/pdf/7.pdf,verified,READY
rear,rear disk modules,0,0,0,none,none,none,none,none,https://pdfcoffee.com/user-manual-rh2288-v3-pdf-free.html,verified,READY
left,side panel vents/fasteners,1,1,1,independent physical-left topology,full depth,left side,flush holes and shallow relief,silver zinc sheet metal,https://www.burrillandco.com/pz62d396d-cz5b0326a-used-huawei-fusion-server-rh2288-v3-2u-rack-server-750w.html,medium,READY
right,side panel fasteners/seams,1,1,1,independent physical-right topology with no copied left vent,full depth,right side,flush holes and shallow relief,silver zinc sheet metal,https://www.qgserver.com/fusionserver-rh2288-v3-2u-rack-server,high,READY
top,cover panels and latch,1,1,1,front service panel then main cover,full footprint,top,transverse seam/perforation and raised latch,silver zinc sheet metal,https://download.huawei.com/mdl/imgDownload/1ec24825533741b8a0e458d081ff371b,verified,READY
bottom,underside,1,1,1,conservative non-identifying fallback,full footprint,bottom,closed flat sheet with no unsupported relief,silver zinc sheet metal,,fallback,GENERIC_BOTTOM_FALLBACK
