file,sha256,dimensions,visual_class,exact_device_content,face_or_angle,accepted_role,inspection_result
content-3,3e78b9b22ca7342e3b362f85a1d678ceed015a67be993e406eea516cb999b405,2800x1659,REAL_PHOTO,"H22M-03 label visible; 12-LFF complete unit",front-top three-quarter,"top primary; front/style support",ACCEPT_WITH_SELLER_OVERLAY_EXCLUSION
content-4,0b9af9dcc55c87785710ada5d329bd6bfa9d6c793c09fc6de7ef934460c82570,2623x1888,REAL_PHOTO,"RH2288 V3 badge; 12-LFF complete unit",front-top three-quarter,"front geometry/style support",ACCEPT_WITH_SELLER_OVERLAY_EXCLUSION
content-5,affcdcf0a548b8b5389f81f8977bb99e2aa2968321ee0b1b1713c93060595755,3621x2840,REAL_PHOTO,"RH2288 V3 badge and pull label; right carrier details",front-right close-up,"front control/carrier detail",ACCEPT_WITH_SELLER_OVERLAY_EXCLUSION
content-6,1cc8e70ad7c971f4731451c73992366d6406a865cf8e85b67e9b6ef791c4b156,2800x1976,REAL_PHOTO,"Huawei logo; USB and carrier details",front-left close-up,"front control/carrier detail",ACCEPT_WITH_SELLER_OVERLAY_EXCLUSION
content-7,eee11ea3d6202a4d60dc109c1253adb8c8a6f6aba1af721c6670e833fa767d7e,2506x1330,REAL_PHOTO,"12-LFF complete front/top and factory top labels",front-top high angle,"front/top support",ACCEPT_WITH_SELLER_OVERLAY_EXCLUSION
content-8,b3ae61900611fcef26b5fbffd70b47c74882b57a175fc2f9b304063560fca92b,3000x2228,REAL_PHOTO,"H22M-03 model text on top label; carrier with 6 TB disk removed",front/detail,"identity and removable-carrier support only",ACCEPT_SUPPORT_ONLY
content-9,2ab9e6a679f50a2c10e7a4ff91b3f5ecaf6f337ca54441bb01c85f783d6c739f,2040x1317,REAL_PHOTO,"12-LFF unit with cover removed",open chassis/front,"assembly and fan-row support only",ACCEPT_SUPPORT_ONLY
content-10,3e312077b4972cc8a49072fa1d01e4a2d9182f9003efda4a6f37258d1aebc8e0,1877x1341,REAL_PHOTO,"Huawei qualification card only; not the H22M-03 nameplate",label close-up,"factory label support only",ACCEPT_SUPPORT_ONLY_NOT_NAMEPLATE
content-11,4da4723d2324bc09d5d61fd31d84748ed079cb1fcdd5ca152b2e177596406b25,1652x1154,REAL_PHOTO,"RH2288 V3 front-right badge",front-right close-up,"front branding/control detail",ACCEPT_WITH_SELLER_OVERLAY_EXCLUSION
content-12,66835d678522ed6770e17298176cae6ee4bc4f0a086529d64dd885fdb52f3046,3239x2069,REAL_PHOTO,"complete internal motherboard/fan/PSU layout",open-chassis top,"internal exclusion and side-lip support only",NOT_EXTERIOR_FACE
