file,original_url
content-3,https://img.alicdn.com/imgextra/i2/12226791/O1CN01zMOVtD202KUC6NY9Q_!!12226791.png
content-4,https://img.alicdn.com/imgextra/i2/12226791/O1CN01v1q9kg202KU5ouYpF_!!12226791.jpg
content-5,https://img.alicdn.com/imgextra/i2/12226791/O1CN01kRDoP8202KUBJIgE6_!!12226791.jpg
content-6,https://img.alicdn.com/imgextra/i3/12226791/O1CN01VG78iU202KUCn5Swj_!!12226791.png
content-7,https://img.alicdn.com/imgextra/i1/12226791/O1CN01KbZt3e202KUCn3n1J_!!12226791.jpg
content-8,https://img.alicdn.com/imgextra/i1/12226791/O1CN018JKPsG202KU55w8An_!!12226791.jpg
content-9,https://img.alicdn.com/imgextra/i4/12226791/O1CN01jVxfMd202KUGgPegD_!!12226791.png
content-10,https://img.alicdn.com/imgextra/i3/12226791/O1CN01koXuno202KU3msib5_!!12226791.png
content-11,https://img.alicdn.com/imgextra/i2/12226791/O1CN018q6YRI202KU5s2BCh_!!12226791.png
content-12,https://img.alicdn.com/imgextra/i1/12226791/O1CN01rJc63o202KUA5rYhb_!!12226791.jpg
content-13,https://img.alicdn.com/imgextra/i4/12226791/O1CN01v7Z1G0202KUCn3aYT_!!12226791.jpg
content-14,https://img.alicdn.com/imgextra/i3/12226791/O1CN01AtgK4P202KU9fT1Hf_!!12226791.jpg
content-15,https://img.alicdn.com/imgextra/i4/12226791/O1CN01EeTpdX202KUBJAYXL_!!12226791.png
content-16,https://img.alicdn.com/imgextra/i2/12226791/O1CN01M4UUQD202Khi9DZsI_!!12226791.png
content-17,https://img.alicdn.com/imgextra/i3/12226791/O1CN01k3ubls202KU58AlOp_!!12226791.png
content-18,https://img.alicdn.com/imgextra/i2/12226791/O1CN01Oha5di202KUFmpmFp_!!12226791.png
content-19,https://img.alicdn.com/imgextra/i4/12226791/O1CN01edqlxv202KUGgiWCE_!!12226791.png
content-20,https://img.alicdn.com/imgextra/i2/12226791/O1CN01QWPX49202KUCq5Mbx_!!12226791.png
content-21,https://img.alicdn.com/imgextra/i1/12226791/O1CN01KtznTs202KU9ibIuT_!!12226791.png
content-22,https://img.alicdn.com/imgextra/i3/12226791/O1CN01SbZs3s202KUEe0iPT_!!12226791.png
content-23,https://img.alicdn.com/imgextra/i2/12226791/O1CN01mp6d00202KUCn3eid_!!12226791.jpg
content-24,https://img.alicdn.com/imgextra/i3/12226791/O1CN01wmVrkR202KUEbylwm_!!12226791.png
ruten-318.jpg,https://a.rimg.com.tw/c1/222/e6f/zzh2ooo/8/3d/22632335258685_318.jpg
ruten-469.jpg,https://a.rimg.com.tw/c1/222/e6f/zzh2ooo/8/3d/22632335258685_469.jpg
ruten-567.jpg,https://a.rimg.com.tw/c1/222/e6f/zzh2ooo/8/3d/22632335258685_567.jpg
ruten-596.jpg,https://a.rimg.com.tw/c1/222/e6f/zzh2ooo/8/3d/22632335258685_596.jpg
ruten-812.jpg,https://a.rimg.com.tw/c1/222/e6f/zzh2ooo/8/3d/22632335258685_812.jpg
