path,sha256,visual_origin,face_or_angle,exact_configuration,inspection_role,result
source/originals/user-device-list.png,8ee991db9af36f19c3c3bff7a4c73dcd8df47f8a844e8e6febf5601dda095be1,user-screenshot,table composite,"row 6 front indicates 12-LFF; row 6 rear is mismatched",front variant clue only,"ACCEPT_FRONT_CLUE; REJECT_REAR"
source/originals/huawei-official-default-8sff.jpg,9f74ff685e2a7797e7f0b6055d3ae13334941e257b4cbf77753fc226269cb71c,official-photo,front-top three-quarter,"RH2288 V3 8-SFF",family branding/material only,REJECT_GEOMETRY_VARIANT
source/originals/huawei-official-rh2288-v3-01.jpg,2c38632f611f69469442e7682e06d69ef79817aaa00010d4cf8a0094578bf75a,official-render,front-side three-quarter,"RH2288 V3 12-LFF",front/side/top exact geometry and material support,ACCEPT
source/originals/huawei-official-rh2288-v3-02.jpg,8cc66c4522285a0e6528b17f91563a502f7841ff1ba2dbdd5cc34554b7e084ef,official-render,rear-side three-quarter,"RH2288 V3 12-LFF with rear disks and four-port NIC",side/top/chassis material only; rear option forbidden,ACCEPT_SHELL_ONLY_REJECT_REAR_OPTION
source/pdf-pages/datasheet-p001.png,314f684a597ffb066b2f6dfb47405d7b4a40b0bb1e326b6840c17f420e85646e,official-pdf-page,title/legal page,"RH2288 V3 family",document identity/legal support,ACCEPT
source/pdf-pages/datasheet-p002.png,fa121833b358f1387bea621ca5bd4a1e5ff171e7c950fe9402bf3964e21bd94f,official-pdf-page,data sheet,"RH2288 V3 8/10/12/25 variants",12-LFF option dimensions power/NIC/PCIe facts,ACCEPT
source/third-party/router-switch-12lff-front.jpg,01edeb6b3785a23854ea8cb832485e505aff83dc02ec17defc02857669a52573,real-photograph,near-front with top,"RH2288 V3 12-LFF",front primary/style,ACCEPT
source/third-party/zol-rh2288-v3-rear.jpg,ef0ab9535cd1809badc3658af8986bc57fe57693607df16e054b223934a30d9f,real-photograph,straight rear,"RH2288 V3 no rear disks SM211 dual AC PSU",rear primary/style,ACCEPT
source/third-party/qg/qg-2.jpg,a50c183c9dae71fa0665870dbe05077afaf3a99f79eb1a06c013991b7b12e469,stock-photo,front-side three-quarter,"RH2288 V3 family; gallery variant not stable",style lead only,REJECT_FINAL_SOURCE_LOCK
source/third-party/qg/qg-3.jpg,178816eda7283354edb9ff1fb0a27729c38a6fa1b789722381e02e474d6c93d8,stock-photo,rear-side three-quarter,"RH2288 V3 family; mixed gallery",style lead only,REJECT_FINAL_SOURCE_LOCK
source/third-party/qg/qg-4.jpg,0d02aaae7d697f33665f297b1e6969178010102ba619770abb5e464a25b1d2cd,stock-photo,front-opposite-side three-quarter,"RH2288 V3 family; gallery variant not stable",style lead only,REJECT_FINAL_SOURCE_LOCK
source/third-party/qg/qg-5.jpg,2b780f3e2fbf6517749be86720ae0f7bdc9322a2289a6e7d842355e97346a515,stock-render,straight rear,"side-by-side PSU rear incompatible with H22M-03 target",exclusion example,REJECT_REAR_MISMATCH
source/third-party/generic-bottom-reference-dell-r610.jpg,16299a556ae041edeae7fe55387977c8efc35afd9745a7f7aaa8b1a79cc41660,real-photograph,bottom,"different vendor/model",generic galvanized material only,ACCEPT_BOTTOM_MATERIAL_ONLY_TRANSFER_NO_FEATURES
