Serving HTTP on 127.0.0.1 port 4174 (http://127.0.0.1:4174/) ...
127.0.0.1 - - [24/Aug/2026 03:38:38] "GET /Juniper-MX204/qa/revalidation-2026-08-24/viewers/three.html?model=%2FJuniper-MX204%2Fmodel%2FJuniper-MX204.glb&expected=ebb52cb184647cf599e33fd3fdd7b441d15b85f367e4233a91ad9f494732d696&view=front&load_id=01-three-standard-front HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 03:38:38] "GET /Juniper-MX204/qa/viewers/vendor/three.module.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 03:38:38] "GET /Juniper-MX204/qa/viewers/vendor/GLTFLoader.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 03:38:38] "GET /Juniper-MX204/qa/viewers/utils/BufferGeometryUtils.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 03:38:38] "GET /Juniper-MX204/model/Juniper-MX204.glb?load_id=01-three-standard-front&nonce=919bbb1e-2a33-4f53-a5ad-e64080729eeb HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 03:38:49] "GET /Juniper-MX204/qa/revalidation-2026-08-24/viewers/three.html?model=%2FJuniper-MX204%2Fmodel%2FJuniper-MX204.glb&expected=ebb52cb184647cf599e33fd3fdd7b441d15b85f367e4233a91ad9f494732d696&view=rear&load_id=02-three-standard-rear HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 03:38:49] "GET /Juniper-MX204/model/Juniper-MX204.glb?load_id=02-three-standard-rear&nonce=6f70cd18-6b45-43f6-b739-b9770751999b HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 03:38:59] "GET /Juniper-MX204/qa/revalidation-2026-08-24/viewers/three.html?model=%2FJuniper-MX204%2Fmodel%2FJuniper-MX204.glb&expected=ebb52cb184647cf599e33fd3fdd7b441d15b85f367e4233a91ad9f494732d696&view=left&load_id=03-three-standard-left HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 03:38:59] "GET /Juniper-MX204/model/Juniper-MX204.glb?load_id=03-three-standard-left&nonce=4db902a1-5017-4ec9-b6c5-dc7272ac4eaa HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 03:39:10] "GET /Juniper-MX204/qa/revalidation-2026-08-24/viewers/three.html?model=%2FJuniper-MX204%2Fmodel%2FJuniper-MX204.glb&expected=ebb52cb184647cf599e33fd3fdd7b441d15b85f367e4233a91ad9f494732d696&view=right&load_id=04-three-standard-right HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 03:39:10] "GET /Juniper-MX204/model/Juniper-MX204.glb?load_id=04-three-standard-right&nonce=d9d0320d-636a-4b55-bebb-d379b1c3003d HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 03:39:22] "GET /Juniper-MX204/qa/revalidation-2026-08-24/viewers/three.html?model=%2FJuniper-MX204%2Fmodel%2FJuniper-MX204.glb&expected=ebb52cb184647cf599e33fd3fdd7b441d15b85f367e4233a91ad9f494732d696&view=top&load_id=05-three-standard-top HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 03:39:22] "GET /Juniper-MX204/model/Juniper-MX204.glb?load_id=05-three-standard-top&nonce=329c25b2-1037-4e76-8768-696310296e72 HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 03:39:30] "GET /Juniper-MX204/qa/revalidation-2026-08-24/viewers/three.html?model=%2FJuniper-MX204%2Fmodel%2FJuniper-MX204.glb&expected=ebb52cb184647cf599e33fd3fdd7b441d15b85f367e4233a91ad9f494732d696&view=bottom&load_id=06-three-standard-bottom HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 03:39:31] "GET /Juniper-MX204/model/Juniper-MX204.glb?load_id=06-three-standard-bottom&nonce=da2e17c8-e692-4506-8877-1fda10ec6b54 HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 03:39:42] "GET /Juniper-MX204/qa/revalidation-2026-08-24/viewers/three.html?model=%2FJuniper-MX204%2Fmodel%2FJuniper-MX204.glb&expected=ebb52cb184647cf599e33fd3fdd7b441d15b85f367e4233a91ad9f494732d696&view=front-left&load_id=07-three-standard-front-left HTTP/1.1" 200 -
