face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence
front,chassis face and occupied slot matrix,1,2,2,"top RE0 | RE1; bottom LMIC0 | LMIC1","body 440.9 x 88.9 mm inside ears",full front,"four separately seated FRU faceplates with visible seams and shallow recesses","silver-gray brushed metal with black slot gaps",https://www.juniper.net/documentation/us/en/hardware/mx304/topics/topic-map/mx304-chassis.html,VERIFIED
front,front rack ears,2,1,2,"physical left | physical right","overall span 482.6 mm; each extension about 20.85 mm",front plane only,"separate thin stamped parts; six real openings per ear: four large horizontal oblong and two small round","gray zinc/painted metal",https://www.juniper.net/content/dam/www/assets/images/us/en/image-library/mx-series/mx304/mx304-front-high.jpg,VERIFIED
front,JNP304-RE modules,2,1,2,"RE0 | RE1 in RE1/LMIC2","each about 203.5 x 40.1 mm",top row,"separate faceplates recessed into chassis; two projecting cyan ejector handles each","brushed silver aluminum; cyan molded handles; black vents",https://www.juniper.net/content/dam/www/assets/images/us/en/image-library/mx-series/mx304/mx304-front-high.jpg,VERIFIED
front,RE ejector handles,4,1,4,"two on RE0 | two on RE1","narrow vertical rounded handles",both ends of each RE,"project forward and cast side shadows","cyan-blue plastic with central metal screw",https://www.juniper.net/content/dam/www/assets/images/us/en/image-library/mx-series/mx304/mx304-front-high.jpg,VERIFIED
front,RE honeycomb ventilation groups,2,1,2,"one per RE","large left patch plus thin strip across upper face",upper part of each RE,"dark perforated recess behind metal face","black openings in silver face",https://www.juniper.net/content/dam/www/assets/images/us/en/image-library/mx-series/mx304/mx304-front-high.jpg,VERIFIED
front,RE RJ45 ports,4,1,4,"CONSOLE then MGMT on each RE","two equal RJ45 apertures per RE",middle-right of each RE,"recessed black connector cavities with metal rims","black plastic and brushed metal",https://www.juniper.net/documentation/us/en/hardware/mx304/topics/topic-map/mx304-rcb.html,VERIFIED
front,RE USB-A ports,2,1,2,"one per RE after MGMT","small vertical USB-A",right of MGMT on each RE,"recessed connector","blue insert and black/silver shell",https://www.juniper.net/content/dam/www/assets/images/us/en/image-library/mx-series/mx304/mx304-front-high.jpg,VERIFIED
front,RE controls and indicators,2,1,2,"OK/FAIL and alarm group | reset | ONLINE/OFFLINE MASTER DISK0 DISK1 per RE","small flush LEDs and one reset pinhole",lower/central and right region of each RE,"flush labels and shallow pinhole","black print and dark unlit indicators",https://www.juniper.net/documentation/us/en/hardware/mx304/topics/topic-map/mx304-rcb.html,VERIFIED
front,MX304-LMIC16-BASE modules,2,1,2,"LMIC0 | LMIC1","each about 203.5 x 40.1 mm",bottom row,"separate faceplates recessed into chassis; two projecting cyan ejector handles each","brushed silver face; cyan handles; black cages",https://www.juniper.net/documentation/us/en/hardware/mx304/topics/topic-map/mx304-system-overview.html,VERIFIED
front,LMIC ejector handles,4,1,4,"two on LMIC0 | two on LMIC1","narrow vertical rounded handles",both ends of each LMIC,"project forward and cast side shadows","cyan-blue plastic with central metal screw",https://www.juniper.net/content/dam/www/assets/images/us/en/image-library/mx-series/mx304/mx304-front-high.jpg,VERIFIED
front,empty QSFP-family port cages,32,2,16,"ports 0 through 15 on LMIC0 then ports 0 through 15 on LMIC1","16 per LMIC arranged 2 rows x 8",central field of each LMIC,"deep black cage openings with silver grille/cage lips; no optics installed","black cavities and silver perforated cage metal",https://www.juniper.net/content/dam/www/assets/images/us/en/image-library/mx-series/mx304/mx304-front-high.jpg,VERIFIED
front,LMIC port-group and status markings,2,1,2,"0-15 numbering and 400G markers; OK/FAIL/OFFLINE group per LMIC","fine flush printing",below and above cages plus near center-right,"texture-level printing; no invented serial text","dark gray/black factory print",https://community.juniper.net/blogs/reema-ray/2023/03/28/mx304-deepdive,VERIFIED
front,right chassis identity and vent strip,1,2,1,"RE1/MIC2 upper | Juniper Networks MX304 badge middle | LMIC1 lower","narrow full-height strip",physical right inside rack ear,"recessed black square vent grid; badge slightly proud","black grille; gray metal; dark factory badge with readable Juniper Networks MX304",https://www.juniper.net/content/dam/www/assets/images/us/en/image-library/mx-series/mx304/mx304-front-high.jpg,VERIFIED
