face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence
front,chassis face,1,1,1,full width,440.944x43.688 mm body,centered at +Z body plane,folded sheet-metal face with slight lip,dark gray textured painted metal,https://www.juniper.net/us/en/company/images/image-library-logos-and-product-photos/products/qfx5110-48s.html,VERIFIED
front,rack mounting ears,2,1,2,left ear then right ear,20.828 mm lateral extension each,front-only at device sides,separate galvanized plates with true holes,zinc/silver metal,https://switches-networks.sell.everychina.com/p-116654966/showimage.html,VERIFIED
front,rack-ear large through-holes,4,2,2,two vertically per ear,large circular openings,near top and bottom of each ear,true mesh cutouts,open holes with zinc edges,https://switches-networks.sell.everychina.com/p-116654966/showimage.html,VERIFIED
front,rack-ear small mounting holes,2,1,2,one centered per ear,small circular opening,center of each ear,true mesh cutouts,open holes with zinc edges,https://switches-networks.sell.everychina.com/p-116654966/showimage.html,VERIFIED
front,hex ventilation bands,2,2,1,upper then lower,nearly full body width,top and bottom edges,recessed/open perforation relief,dark honeycomb in gray metal,https://www.juniper.net/content/dam/www/assets/images/us/en/image-library/qfx-series/qfx5110-48s/qfx5110-48s-front-high.jpg,VERIFIED
front,GM timing RJ-45,1,1,1,before all data ports,about one SFP-pair width,upper device-left,recessed metal jack with green insert,silver/black/green,https://www.juniper.net/content/dam/www/assets/images/us/en/image-library/qfx-series/qfx5110-48s/qfx5110-48s-front-high.jpg,VERIFIED
front,PPS OUT coax,1,1,1,left of 10M OUT,small circular,lower device-left,projecting threaded connector,gold metal,https://www.juniper.net/content/dam/www/assets/images/us/en/image-library/qfx-series/qfx5110-48s/qfx5110-48s-front-high.jpg,VERIFIED
front,10M OUT coax,1,1,1,right of PPS OUT,small circular,lower device-left,projecting threaded connector,gold metal,https://www.juniper.net/content/dam/www/assets/images/us/en/image-library/qfx-series/qfx5110-48s/qfx5110-48s-front-high.jpg,VERIFIED
front,ESD terminal,1,1,1,left of coax group,small circular,far lower device-left,recessed/flush black terminal,black in gray metal,https://www.juniper.net/content/dam/www/assets/images/us/en/image-library/qfx-series/qfx5110-48s/qfx5110-48s-front-high.jpg,VERIFIED
front,SFP/SFP+ cages,48,2,24,"top even 0..46; bottom odd 1..47; four banks of 6 per row",dominant port field,center to device-right,recessed cages with individual metal lips,black interiors and silver lips,https://www.juniper.net/documentation/us/en/hardware/qfx5110/topics/topic-map/qfx5110-port-panel.html,VERIFIED
