index,run_id,loader,model_variant,view,model_path,model_bytes,model_sha256,page_url,page_title,dataset_ready,dataset_model_url,glb_resource_url,glb_transfer_size,glb_encoded_body_size,glb_decoded_body_size,glb_duration_ms,console_errors_at_navigation,console_warnings_at_navigation,screenshot_path,screenshot_bytes,screenshot_sha256,started_utc,completed_utc,status
1,R001-three-standard-front,three,standard,front,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/model/Lenovo-ThinkServer-SR655-2.5inch.glb,11964408,51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,http://127.0.0.1:8765/qa/revalidation-2026-08-24/viewers/three.html?model=standard&view=front&run=R001-three-standard-front&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,READY Three standard front R001-three-standard-front,1,/model/Lenovo-ThinkServer-SR655-2.5inch.glb?load=R001-three-standard-front&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,http://127.0.0.1:8765/model/Lenovo-ThinkServer-SR655-2.5inch.glb?load=R001-three-standard-front&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,11964708,11964408,11964408,329.69999999925494,,,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/qa/revalidation-2026-08-24/renders/three/standard/front.png,287548,331debcd5dbd56850997908998bb9fff62caaa5b9ff33d13040e8000fa1cf2fe,2026-08-23T19:36:26.799316+00:00,2026-08-23T19:36:42.224565+00:00,PASS
2,R002-three-standard-rear,three,standard,rear,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/model/Lenovo-ThinkServer-SR655-2.5inch.glb,11964408,51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,http://127.0.0.1:8765/qa/revalidation-2026-08-24/viewers/three.html?model=standard&view=rear&run=R002-three-standard-rear&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,READY Three standard rear R002-three-standard-rear,1,/model/Lenovo-ThinkServer-SR655-2.5inch.glb?load=R002-three-standard-rear&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,http://127.0.0.1:8765/model/Lenovo-ThinkServer-SR655-2.5inch.glb?load=R002-three-standard-rear&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,11964708,11964408,11964408,471.5999999977648,,,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/qa/revalidation-2026-08-24/renders/three/standard/rear.png,291722,fefbbef6bcec1f617535e61509edac71e1473fc23ef65416e60d8f7759c3ad76,2026-08-23T19:36:42.224640+00:00,2026-08-23T19:36:57.387169+00:00,PASS
3,R003-three-standard-right,three,standard,right,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/model/Lenovo-ThinkServer-SR655-2.5inch.glb,11964408,51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,http://127.0.0.1:8765/qa/revalidation-2026-08-24/viewers/three.html?model=standard&view=right&run=R003-three-standard-right&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,READY Three standard right R003-three-standard-right,1,/model/Lenovo-ThinkServer-SR655-2.5inch.glb?load=R003-three-standard-right&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,http://127.0.0.1:8765/model/Lenovo-ThinkServer-SR655-2.5inch.glb?load=R003-three-standard-right&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,11964708,11964408,11964408,654.2000000029802,,,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/qa/revalidation-2026-08-24/renders/three/standard/right.png,154794,4e492efd030adbeb70501e27ea15ec261816e75ccf5a280150d797983066837b,2026-08-23T19:36:57.387259+00:00,2026-08-23T19:37:11.206063+00:00,PASS
4,R004-three-standard-left,three,standard,left,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/model/Lenovo-ThinkServer-SR655-2.5inch.glb,11964408,51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,http://127.0.0.1:8765/qa/revalidation-2026-08-24/viewers/three.html?model=standard&view=left&run=R004-three-standard-left&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,READY Three standard left R004-three-standard-left,1,/model/Lenovo-ThinkServer-SR655-2.5inch.glb?load=R004-three-standard-left&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,http://127.0.0.1:8765/model/Lenovo-ThinkServer-SR655-2.5inch.glb?load=R004-three-standard-left&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,11964708,11964408,11964408,498.1000000014901,,,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/qa/revalidation-2026-08-24/renders/three/standard/left.png,167636,555e0b5452ab8d707e61b708c19c05b63279ac76a32836f0a46c93542f034097,2026-08-23T19:37:11.206145+00:00,2026-08-23T19:37:24.689869+00:00,PASS
5,R005-three-standard-top,three,standard,top,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/model/Lenovo-ThinkServer-SR655-2.5inch.glb,11964408,51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,http://127.0.0.1:8765/qa/revalidation-2026-08-24/viewers/three.html?model=standard&view=top&run=R005-three-standard-top&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,READY Three standard top R005-three-standard-top,1,/model/Lenovo-ThinkServer-SR655-2.5inch.glb?load=R005-three-standard-top&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,http://127.0.0.1:8765/model/Lenovo-ThinkServer-SR655-2.5inch.glb?load=R005-three-standard-top&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,11964708,11964408,11964408,474.20000000298023,,,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/qa/revalidation-2026-08-24/renders/three/standard/top.png,283474,45d7531066b6ae0b9fe18e1a5c2c0e46b0423504c43288e9713784db667ee84e,2026-08-23T19:37:24.689951+00:00,2026-08-23T19:37:39.071683+00:00,PASS
6,R006-three-standard-bottom,three,standard,bottom,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/model/Lenovo-ThinkServer-SR655-2.5inch.glb,11964408,51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,http://127.0.0.1:8765/qa/revalidation-2026-08-24/viewers/three.html?model=standard&view=bottom&run=R006-three-standard-bottom&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,READY Three standard bottom R006-three-standard-bottom,1,/model/Lenovo-ThinkServer-SR655-2.5inch.glb?load=R006-three-standard-bottom&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,http://127.0.0.1:8765/model/Lenovo-ThinkServer-SR655-2.5inch.glb?load=R006-three-standard-bottom&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,11964708,11964408,11964408,420.8999999985099,,,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/qa/revalidation-2026-08-24/renders/three/standard/bottom.png,172163,33339e03a5f12469e841cd5b6257b257f4d55268c16a9e6b1e469438d926e6ba,2026-08-23T19:37:39.071760+00:00,2026-08-23T19:37:55.584677+00:00,PASS
7,R007-three-standard-frontLeft,three,standard,frontLeft,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/model/Lenovo-ThinkServer-SR655-2.5inch.glb,11964408,51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,http://127.0.0.1:8765/qa/revalidation-2026-08-24/viewers/three.html?model=standard&view=frontLeft&run=R007-three-standard-frontLeft&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,READY Three standard frontLeft R007-three-standard-frontLeft,1,/model/Lenovo-ThinkServer-SR655-2.5inch.glb?load=R007-three-standard-frontLeft&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,http://127.0.0.1:8765/model/Lenovo-ThinkServer-SR655-2.5inch.glb?load=R007-three-standard-frontLeft&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,11964708,11964408,11964408,350.19999999925494,,,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/qa/revalidation-2026-08-24/renders/three/standard/frontLeft.png,174013,c5ab66c6688cff34f568811aee4958edd295121ad40c2598bf2fea7911727267,2026-08-23T19:37:55.584756+00:00,2026-08-23T19:38:09.926910+00:00,PASS
8,R008-three-standard-frontRight,three,standard,frontRight,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/model/Lenovo-ThinkServer-SR655-2.5inch.glb,11964408,51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,http://127.0.0.1:8765/qa/revalidation-2026-08-24/viewers/three.html?model=standard&view=frontRight&run=R008-three-standard-frontRight&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,READY Three standard frontRight R008-three-standard-frontRight,1,/model/Lenovo-ThinkServer-SR655-2.5inch.glb?load=R008-three-standard-frontRight&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,http://127.0.0.1:8765/model/Lenovo-ThinkServer-SR655-2.5inch.glb?load=R008-three-standard-frontRight&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,11964708,11964408,11964408,457.4000000022352,,,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/qa/revalidation-2026-08-24/renders/three/standard/frontRight.png,174951,d120fb098b79362196bf6b83efbb275c00bdd41d39e172215686ce57f45f518d,2026-08-23T19:38:09.926989+00:00,2026-08-23T19:38:24.927821+00:00,PASS
9,R009-three-standard-rearLeft,three,standard,rearLeft,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/model/Lenovo-ThinkServer-SR655-2.5inch.glb,11964408,51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,http://127.0.0.1:8765/qa/revalidation-2026-08-24/viewers/three.html?model=standard&view=rearLeft&run=R009-three-standard-rearLeft&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,READY Three standard rearLeft R009-three-standard-rearLeft,1,/model/Lenovo-ThinkServer-SR655-2.5inch.glb?load=R009-three-standard-rearLeft&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,http://127.0.0.1:8765/model/Lenovo-ThinkServer-SR655-2.5inch.glb?load=R009-three-standard-rearLeft&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,11964708,11964408,11964408,503.3999999985099,,,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/qa/revalidation-2026-08-24/renders/three/standard/rearLeft.png,172637,4c68bc9674447942b8a74223462feeba16046d6ae6c2108aa785f35cd6163c05,2026-08-23T19:38:24.927891+00:00,2026-08-23T19:38:41.138034+00:00,PASS
10,R010-three-standard-rearRight,three,standard,rearRight,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/model/Lenovo-ThinkServer-SR655-2.5inch.glb,11964408,51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,http://127.0.0.1:8765/qa/revalidation-2026-08-24/viewers/three.html?model=standard&view=rearRight&run=R010-three-standard-rearRight&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,READY Three standard rearRight R010-three-standard-rearRight,1,/model/Lenovo-ThinkServer-SR655-2.5inch.glb?load=R010-three-standard-rearRight&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,http://127.0.0.1:8765/model/Lenovo-ThinkServer-SR655-2.5inch.glb?load=R010-three-standard-rearRight&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,11964708,11964408,11964408,404.19999999925494,,,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/qa/revalidation-2026-08-24/renders/three/standard/rearRight.png,170861,4ac47d9d1981ae8f4d76021ee231527ec82f3f2c7098ef3131f86996303314b4,2026-08-23T19:38:41.138120+00:00,2026-08-23T19:38:58.378082+00:00,PASS
