face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence
front,rack latch assemblies,2,1,2,left ThinkSystem/VGA latch; right I/O/SR655 latch,full 2U,far left and right,projecting mechanical supports and recessed grips,black plastic/metal,https://lenovopress.lenovo.com/3dtours/sr655/,verified
front,2.5-inch carrier fronts,24,1,24,positions 0 through 23,uniform narrow SFF,between latches,recessed bays with projecting handles and seams,black plastic perforated faces with red top accents,https://pubs.lenovo.com/sr655/server_front_view,verified
front,VGA connector,1,1,1,on left latch,small,upper left,recessed metal connector,silver/black,https://pubs.lenovo.com/sr655/server_front_view,verified
front,pull-out information tag,1,1,1,near positions 12-15,small,top center,slightly recessed/flush,black,https://pubs.lenovo.com/sr655/server_front_view,verified
front,USB ports,2,2,1,upper then lower,small,right latch,recessed,blue/black,https://pubs.lenovo.com/sr655/server_front_view,verified
front,operator/status controls,1,1,1,power/ID/status group,small,upper right latch,flush/recessed,black/gray LEDs,https://pubs.lenovo.com/sr655/server_front_view,verified
front,factory branding groups,3,1,3,ThinkSystem left; position labels above carriers; SR655 right,small,left/top/right,flush printed/embossed,white/gray/red on black,https://lenovopress.lenovo.com/3dtours/sr655/,verified
rear,PCIe slot covers,8,3,3+3+2,slots 1-3; 4-6; 7-8,large,upper rear,individually recessed covers and dividers,silver metal with black honeycomb,https://pubs.lenovo.com/sr655/server_rear_view,verified
rear,OCP Ethernet ports,2,1,2,left to right,small,lower far left,recessed RJ45 group,silver/black,https://pubs.lenovo.com/sr655/server_rear_view,verified
rear,BMC management RJ45,1,1,1,after status wheel,small,lower left-center,recessed,black metal-shielded,https://pubs.lenovo.com/sr655/server_rear_view,verified
rear,VGA connector,1,1,1,after locator group,small,lower center,recessed,blue/silver,https://pubs.lenovo.com/sr655/server_rear_view,verified
rear,USB ports,2,2,1,upper/lower,small,lower center-right,recessed,blue/black,https://pubs.lenovo.com/sr655/server_rear_view,verified
rear,serial connector,1,1,1,after USB,small,lower center-right,recessed,silver,https://pubs.lenovo.com/sr655/server_rear_view,verified
rear,NMI and status controls,1,1,1,between serial and PSU,small,lower right-center,flush,rear sheet metal/black,https://pubs.lenovo.com/sr655/server_rear_view,verified
rear,AC PSU assemblies,2,1,2,PSU0 then PSU1,large,lower/right rear,projecting removable blocks with fans/C14/handles,black/silver with orange handles and green LEDs,https://lenovopress.lenovo.com/lp1161-thinksystem-sr655-server,verified
rear,rear drive bays,0,0,0,none,none,none,none,none,https://pubs.lenovo.com/sr655/server_rear_view,verified
right,upper rail/lip seam,1,1,1,front to rear,long,upper edge,shallow relief,galvanized gray,https://lenovopress.lenovo.com/3dtours/sr655/,verified
right,yellow warning label,1,1,1,front-side label,small,front third,flush label,yellow/black,https://lenovopress.lenovo.com/3dtours/sr655/,verified
right,circular bosses,4,1,4,spaced front to rear,small,mid-height,raised circular relief,galvanized gray,https://lenovopress.lenovo.com/3dtours/sr655/,verified
right,fastener/hole groups,6,1,6,asymmetric exact positions,small,side sheet,flush/recessed,dark/metal,https://lenovopress.lenovo.com/3dtours/sr655/,verified
left,upper rail/lip seam,1,1,1,rear to front,long,upper edge,shallow relief,galvanized gray,https://lenovopress.lenovo.com/3dtours/sr655/,verified
left,yellow warning label,0,0,0,none,none,none,none,none,https://lenovopress.lenovo.com/3dtours/sr655/,verified
left,circular bosses,4,1,4,distinct spacing from right,small,mid-height,raised circular relief,galvanized gray,https://lenovopress.lenovo.com/3dtours/sr655/,verified
left,fastener/hole groups,9,1,9,asymmetric exact positions,small,side sheet,flush/recessed,dark/metal,https://lenovopress.lenovo.com/3dtours/sr655/,verified
top,cover panels and seams,4,2,2,front fields then rear fields,large,whole top,stamped shallow panels,galvanized gray,https://lenovopress.lenovo.com/3dtours/sr655/,verified
top,cover latch,1,1,1,black/blue latch,medium,rear-center area,projecting/recessed handle,black with blue tip,https://lenovopress.lenovo.com/3dtours/sr655/,verified
top,rear ventilation field,1,1,1,honeycomb field,large,rear section,recessed/perforated dark pixels/relief,dark gray holes,https://lenovopress.lenovo.com/3dtours/sr655/,verified
top,service label area,1,1,1,factory service layout,large,front half,flush printed label,white/blue/black,https://www.ebay.com/itm/206238343567,verified
top,visible fastener rows,5,1,5,asymmetric groups,small,along seams/rear vent,flush/recessed,dark metal,https://lenovopress.lenovo.com/3dtours/sr655/,verified
bottom,bottom sheet,1,1,1,plain underside,full footprint,whole bottom,closed opaque plane,galvanized gray,https://lenovopress.lenovo.com/3dtours/sr655/,verified
bottom,stamped longitudinal seam,1,1,1,centerline kinked seam,long,centered front-to-rear,shallow stamped relief,galvanized gray,https://lenovopress.lenovo.com/3dtours/sr655/,verified
bottom,unsupported identifying details,0,0,0,none,none,none,none,none,https://lenovopress.lenovo.com/3dtours/sr655/,verified
